node_id,class_name,parent_id
97304,100,-1
97305,65,97304
97306,12,97305
97307,14,97306
97308,6,97305
97309,0,97308
97310,0,97308
97311,0,97308
97312,0,97308
97313,0,97308
97314,0,97308
97315,0,97308
97316,0,97308
97317,0,97308
97318,0,97308
97319,0,97308
97320,0,97308
97321,0,97308
97322,0,97308
97323,0,97308
97324,0,97308
97325,0,97308
97326,0,97308
97327,13,97308
97328,74,97304
97329,75,97328
97330,74,97304
97331,75,97330
97332,95,97304
97333,12,97332
97334,13,97333
97335,17,97332
97336,0,97335
97337,87,97332
97338,89,97337
97339,90,97338
97340,90,97338
97341,90,97338
97342,90,97338
97343,0,97338
97344,0,97338
97345,0,97338
97346,76,97337
97347,41,97346
97348,12,97347
97349,13,97348
97350,49,97347
97351,0,97347
97352,65,97346
97353,55,97352
97354,12,97353
97355,13,97354
97356,14,97353
97357,12,97352
97358,13,97357
97359,76,97337
97360,41,97359
97361,12,97360
97362,13,97361
97363,49,97360
97364,0,97360
97365,65,97359
97366,55,97365
97367,12,97366
97368,13,97367
97369,14,97366
97370,12,97365
97371,13,97370
97372,17,97337
97373,52,97372
97374,12,97373
97375,13,97374
97376,0,97373
97377,87,97332
97378,89,97377
97379,90,97378
97380,90,97378
97381,91,97377
97382,54,97381
97383,55,97382
97384,12,97383
97385,13,97384
97386,13,97383
97387,52,97382
97388,55,97387
97389,12,97388
97390,13,97389
97391,13,97388
97392,16,97387
97393,12,97392
97394,13,97393
97395,13,97392
97396,52,97382
97397,55,97396
97398,12,97397
97399,13,97398
97400,13,97397
97401,16,97396
97402,12,97401
97403,13,97402
97404,13,97401
97405,87,97332
97406,89,97405
97407,90,97406
97408,90,97406
97409,0,97406
97410,17,97405
97411,0,97410
97412,65,97405
97413,55,97412
97414,12,97413
97415,13,97414
97416,14,97413
97417,54,97412
97418,41,97417
97419,12,97418
97420,13,97419
97421,48,97418
97422,0,97418
97423,19,97417
97424,22,97423
97425,55,97423
97426,12,97425
97427,13,97426
97428,13,97425
97429,12,97417
97430,13,97429
97431,87,97304
97432,89,97431
97433,90,97432
97434,90,97432
97435,90,97432
97436,90,97432
97437,90,97432
97438,90,97432
97439,0,97432
97440,0,97432
97441,55,97432
97442,12,97441
97443,13,97442
97444,13,97441
97445,17,97431
97446,0,97445
97447,65,97431
97448,12,97447
97449,14,97448
97450,6,97447
97451,52,97450
97452,12,97451
97453,13,97452
97454,12,97451
97455,13,97454
97456,12,97451
97457,13,97456
97458,0,97451
97459,0,97451
97460,0,97451
97461,53,97451
97462,0,97461
97463,53,97451
97464,12,97463
97465,13,97464
97466,13,97450
97467,65,97431
97468,7,97467
97469,12,97468
97470,14,97469
97471,12,97468
97472,14,97471
97473,14,97468
97474,7,97467
97475,24,97474
97476,12,97475
97477,13,97476
97478,29,97475
97479,0,97475
97480,12,97474
97481,13,97480
97482,13,97474
97483,67,97431
97484,12,97483
97485,14,97484
97486,25,97483
97487,60,97483
97488,52,97487
97489,12,97488
97490,13,97489
97491,12,97488
97492,13,97491
97493,12,97488
97494,13,97493
97495,0,97488
97496,0,97488
97497,53,97488
97498,12,97497
97499,13,97498
97500,53,97488
97501,12,97500
97502,13,97501
97503,64,97487
97504,12,97503
97505,14,97504
97506,52,97503
97507,12,97506
97508,13,97507
97509,12,97506
97510,13,97509
97511,78,97431
97512,41,97511
97513,12,97512
97514,13,97513
97515,46,97512
97516,0,97512
97517,17,97511
97518,52,97517
97519,55,97518
97520,12,97519
97521,13,97520
97522,13,97519
97523,52,97518
97524,12,97523
97525,13,97524
97526,12,97523
97527,13,97526
97528,24,97523
97529,12,97528
97530,13,97529
97531,27,97528
97532,0,97528
97533,0,97523
97534,0,97523
97535,0,97523
97536,53,97523
97537,12,97536
97538,13,97537
97539,53,97523
97540,12,97539
97541,13,97540
97542,67,97511
97543,12,97542
97544,14,97543
97545,27,97542
97546,0,97542
97547,67,97511
97548,12,97547
97549,14,97548
97550,29,97547
97551,0,97547
97552,65,97431
97553,12,97552
97554,14,97553
97555,52,97552
97556,55,97555
97557,12,97556
97558,13,97557
97559,13,97556
97560,0,97555
97561,55,97555
97562,55,97561
97563,12,97562
97564,13,97563
97565,13,97562
97566,13,97561
97567,67,97431
97568,12,97567
97569,14,97568
97570,25,97567
97571,6,97567
97572,52,97571
97573,12,97572
97574,13,97573
97575,52,97572
97576,55,97575
97577,12,97576
97578,13,97577
97579,13,97576
97580,12,97575
97581,13,97580
97582,0,97575
97583,0,97575
97584,53,97575
97585,0,97584
97586,12,97572
97587,13,97586
97588,52,97571
97589,12,97588
97590,13,97589
97591,13,97571
97592,91,97431
97593,52,97592
97594,55,97593
97595,12,97594
97596,13,97595
97597,13,97594
97598,16,97593
97599,12,97598
97600,13,97599
97601,13,97598
97602,52,97431
97603,12,97602
97604,13,97603
97605,55,97602
97606,12,97605
97607,13,97606
97608,13,97605
97609,95,97304
97610,12,97609
97611,13,97610
97612,17,97609
97613,0,97612
97614,87,97609
97615,89,97614
97616,90,97615
97617,90,97615
97618,65,97614
97619,55,97618
97620,12,97619
97621,13,97620
97622,14,97619
97623,12,97618
97624,13,97623
97625,87,97609
97626,89,97625
97627,90,97626
97628,90,97626
97629,91,97625
97630,52,97629
97631,55,97630
97632,12,97631
97633,13,97632
97634,13,97631
97635,16,97630
97636,24,97635
97637,52,97636
97638,12,97637
97639,13,97638
97640,55,97637
97641,12,97640
97642,13,97641
97643,13,97640
97644,25,97636
97645,24,97636
97646,6,97645
97647,0,97646
97648,13,97646
97649,27,97645
97650,55,97645
97651,12,97650
97652,13,97651
97653,13,97650
97654,13,97635
97655,87,97304
97656,89,97655
97657,90,97656
97658,90,97656
97659,90,97656
97660,90,97656
97661,90,97656
97662,90,97656
97663,0,97656
97664,0,97656
97665,0,97656
97666,17,97655
97667,0,97666
97668,65,97655
97669,7,97668
97670,12,97669
97671,14,97670
97672,12,97669
97673,14,97672
97674,14,97669
97675,7,97668
97676,0,97675
97677,24,97675
97678,12,97677
97679,13,97678
97680,29,97677
97681,0,97677
97682,13,97675
97683,78,97655
97684,41,97683
97685,12,97684
97686,13,97685
97687,44,97684
97688,12,97684
97689,13,97688
97690,67,97683
97691,12,97690
97692,14,97691
97693,27,97690
97694,0,97690
97695,67,97683
97696,12,97695
97697,14,97696
97698,27,97695
97699,0,97695
97700,65,97655
97701,12,97700
97702,14,97701
97703,6,97700
97704,52,97703
97705,12,97704
97706,13,97705
97707,0,97704
97708,52,97703
97709,12,97708
97710,13,97709
97711,12,97708
97712,13,97711
97713,12,97708
97714,13,97713
97715,0,97708
97716,0,97708
97717,53,97708
97718,0,97717
97719,53,97708
97720,12,97719
97721,13,97720
97722,13,97703
97723,65,97655
97724,12,97723
97725,14,97724
97726,0,97723
97727,78,97655
97728,41,97727
97729,12,97728
97730,13,97729
97731,44,97728
97732,24,97728
97733,12,97732
97734,13,97733
97735,29,97732
97736,0,97732
97737,17,97727
97738,52,97737
97739,55,97738
97740,12,97739
97741,13,97740
97742,13,97739
97743,52,97738
97744,12,97743
97745,13,97744
97746,12,97743
97747,13,97746
97748,24,97743
97749,12,97748
97750,13,97749
97751,29,97748
97752,0,97748
97753,0,97743
97754,0,97743
97755,0,97743
97756,53,97743
97757,0,97756
97758,53,97743
97759,12,97758
97760,13,97759
97761,67,97727
97762,12,97761
97763,14,97762
97764,29,97761
97765,0,97761
97766,67,97727
97767,12,97766
97768,14,97767
97769,27,97766
97770,0,97766
97771,67,97655
97772,12,97771
97773,14,97772
97774,25,97771
97775,60,97771
97776,52,97775
97777,12,97776
97778,13,97777
97779,12,97776
97780,13,97779
97781,12,97776
97782,13,97781
97783,0,97776
97784,0,97776
97785,0,97776
97786,53,97776
97787,0,97786
97788,53,97776
97789,12,97788
97790,13,97789
97791,64,97775
97792,12,97791
97793,14,97792
97794,52,97791
97795,12,97794
97796,13,97795
97797,12,97794
97798,13,97797
97799,67,97655
97800,12,97799
97801,14,97800
97802,25,97799
97803,6,97799
97804,52,97803
97805,55,97804
97806,12,97805
97807,13,97806
97808,13,97805
97809,12,97804
97810,13,97809
97811,12,97804
97812,13,97811
97813,0,97804
97814,0,97804
97815,0,97804
97816,53,97804
97817,0,97816
97818,52,97803
97819,55,97818
97820,12,97819
97821,13,97820
97822,13,97819
97823,13,97803
97824,91,97655
97825,52,97824
97826,55,97825
97827,12,97826
97828,13,97827
97829,13,97826
97830,16,97825
97831,12,97830
97832,13,97831
97833,13,97830
97834,52,97655
97835,12,97834
97836,13,97835
97837,55,97834
97838,12,97837
97839,13,97838
97840,13,97837
97841,65,97304
97842,12,97841
97843,14,97842
97844,52,97841
97845,12,97844
97846,13,97845
97847,53,97844
97848,52,97847
97849,12,97848
97850,13,97849
97851,55,97848
97852,12,97851
97853,13,97852
97854,13,97851
97855,53,97848
97856,0,97855
97857,53,97844
97858,55,97857
97859,12,97858
97860,13,97859
97861,13,97858
97862,87,97304
97863,89,97862
97864,90,97863
97865,90,97863
97866,90,97863
97867,90,97863
97868,90,97863
97869,90,97863
97870,0,97863
97871,0,97863
97872,0,97863
97873,76,97862
97874,12,97873
97875,13,97874
97876,65,97873
97877,56,97876
97878,12,97877
97879,13,97878
97880,57,97877
97881,0,97880
97882,14,97877
97883,52,97876
97884,12,97883
97885,13,97884
97886,12,97883
97887,13,97886
97888,91,97862
97889,52,97888
97890,12,97889
97891,13,97890
97892,12,97889
97893,13,97892
97894,12,97889
97895,13,97894
97896,53,97889
97897,12,97896
97898,13,97897
97899,53,97889
97900,12,97899
97901,13,97900
97902,53,97889
97903,12,97902
97904,13,97903
97905,53,97889
97906,12,97905
97907,13,97906
97908,87,97304
97909,89,97908
97910,90,97909
97911,90,97909
97912,90,97909
97913,55,97909
97914,12,97913
97915,13,97914
97916,13,97913
97917,17,97908
97918,0,97917
97919,91,97908
97920,52,97919
97921,12,97920
97922,13,97921
97923,52,97920
97924,12,97923
97925,13,97924
97926,12,97923
97927,13,97926
97928,12,97923
97929,13,97928
97930,53,97923
97931,12,97930
97932,13,97931
97933,53,97923
97934,12,97933
97935,13,97934
97936,52,97920
97937,12,97936
97938,13,97937
97939,12,97936
97940,13,97939
97941,12,97936
97942,13,97941
97943,53,97936
97944,12,97943
97945,13,97944
97946,53,97936
97947,12,97946
97948,13,97947
97949,52,97920
97950,12,97949
97951,13,97950
97952,53,97949
97953,0,97952
97954,52,97908
97955,12,97954
97956,13,97955
97957,12,97954
97958,13,97957
97959,87,97304
97960,89,97959
97961,90,97960
97962,90,97960
97963,90,97960
97964,90,97960
97965,0,97960
97966,0,97960
97967,0,97960
97968,0,97960
97969,17,97959
97970,0,97969
97971,65,97959
97972,12,97971
97973,14,97972
97974,6,97971
97975,52,97974
97976,12,97975
97977,13,97976
97978,12,97975
97979,13,97978
97980,12,97975
97981,13,97980
97982,53,97975
97983,0,97982
97984,53,97975
97985,0,97984
97986,52,97974
97987,55,97986
97988,12,97987
97989,13,97988
97990,13,97987
97991,24,97986
