node_id,class_name,parent_id
107089,100,-1
107090,74,107089
107091,75,107090
107092,74,107089
107093,75,107092
107094,74,107089
107095,75,107094
107096,65,107089
107097,12,107096
107098,14,107097
107099,52,107096
107100,12,107099
107101,13,107100
107102,12,107099
107103,13,107102
107104,55,107099
107105,12,107104
107106,13,107105
107107,13,107104
107108,65,107089
107109,12,107108
107110,14,107109
107111,52,107108
107112,55,107111
107113,52,107112
107114,12,107113
107115,13,107114
107116,53,107113
107117,7,107116
107118,12,107117
107119,13,107118
107120,12,107117
107121,13,107120
107122,13,107117
107123,53,107113
107124,52,107123
107125,12,107124
107126,13,107125
107127,53,107124
107128,0,107127
107129,53,107113
107130,12,107129
107131,13,107130
107132,53,107113
107133,12,107132
107134,13,107133
107135,53,107113
107136,6,107135
107137,52,107136
107138,12,107137
107139,13,107138
107140,0,107137
107141,52,107136
107142,12,107141
107143,13,107142
107144,0,107141
107145,13,107136
107146,53,107113
107147,52,107146
107148,55,107147
107149,12,107148
107150,13,107149
107151,13,107148
107152,16,107147
107153,12,107152
107154,13,107153
107155,13,107152
107156,13,107112
107157,12,107111
107158,13,107157
107159,53,107111
107160,12,107159
107161,13,107160
107162,53,107111
107163,0,107162
107164,65,107089
107165,12,107164
107166,14,107165
107167,52,107164
107168,55,107167
107169,52,107168
107170,12,107169
107171,13,107170
107172,12,107169
107173,13,107172
107174,52,107169
107175,12,107174
107176,13,107175
107177,53,107174
107178,0,107177
107179,53,107169
107180,6,107179
107181,12,107180
107182,13,107181
107183,12,107180
107184,13,107183
107185,13,107180
107186,13,107168
107187,85,107089
107188,86,107187
107189,52,107188
107190,55,107189
107191,12,107190
107192,13,107191
107193,13,107190
107194,17,107187
107195,52,107194
107196,55,107195
107197,12,107196
107198,13,107197
107199,13,107196
107200,0,107195
107201,0,107195
107202,53,107195
107203,52,107202
107204,12,107203
107205,13,107204
107206,0,107203
