node_id,class_name,parent_id
107207,100,-1
107208,74,107207
107209,75,107208
107210,73,107207
107211,75,107210
107212,75,107210
107213,74,107207
107214,75,107213
107215,74,107207
107216,75,107215
107217,74,107207
107218,75,107217
107219,74,107207
107220,75,107219
107221,74,107207
107222,75,107221
107223,65,107207
107224,12,107223
107225,14,107224
107226,52,107223
107227,55,107226
107228,55,107227
107229,12,107228
107230,13,107229
107231,13,107228
107232,13,107227
107233,24,107226
107234,0,107233
107235,27,107233
107236,0,107233
107237,0,107226
107238,65,107207
107239,12,107238
107240,14,107239
107241,52,107238
107242,55,107241
107243,55,107242
107244,12,107243
107245,13,107244
107246,13,107243
107247,13,107242
107248,52,107241
107249,55,107248
107250,12,107249
107251,13,107250
107252,13,107249
107253,53,107241
107254,0,107253
107255,65,107207
107256,12,107255
107257,14,107256
107258,9,107255
107259,0,107258
107260,0,107258
107261,52,107258
107262,12,107261
107263,13,107262
107264,52,107261
107265,12,107264
107266,13,107265
107267,52,107264
107268,55,107267
107269,12,107268
107270,13,107269
107271,13,107268
107272,53,107264
107273,0,107272
107274,53,107264
107275,0,107274
107276,53,107264
107277,52,107276
107278,12,107277
107279,13,107278
107280,53,107261
107281,0,107280
107282,52,107258
107283,12,107282
107284,13,107283
107285,52,107282
107286,12,107285
107287,13,107286
107288,52,107285
107289,55,107288
107290,12,107289
107291,13,107290
107292,13,107289
107293,53,107285
107294,0,107293
107295,53,107285
107296,0,107295
107297,53,107285
107298,52,107297
107299,12,107298
107300,13,107299
107301,53,107282
107302,0,107301
107303,95,107207
107304,55,107303
107305,12,107304
107306,13,107305
107307,13,107304
107308,87,107303
107309,89,107308
107310,90,107309
107311,90,107309
107312,91,107308
107313,52,107312
107314,55,107313
107315,12,107314
107316,13,107315
107317,13,107314
107318,52,107313
107319,55,107318
107320,52,107319
107321,55,107320
107322,56,107321
107323,12,107322
107324,13,107323
107325,57,107322
107326,0,107325
107327,13,107322
107328,13,107321
107329,55,107320
107330,12,107329
107331,13,107330
107332,13,107329
107333,13,107319
107334,52,107318
107335,55,107334
107336,56,107335
107337,12,107336
107338,13,107337
107339,57,107336
107340,0,107339
107341,13,107336
107342,13,107335
107343,0,107334
107344,19,107318
107345,21,107344
107346,0,107344
107347,87,107303
107348,89,107347
107349,90,107348
107350,90,107348
107351,65,107347
107352,7,107351
107353,12,107352
107354,14,107353
107355,12,107352
107356,14,107355
107357,14,107352
107358,12,107351
107359,13,107358
107360,65,107347
107361,12,107360
107362,14,107361
107363,52,107360
107364,55,107363
107365,12,107364
107366,13,107365
107367,13,107364
107368,52,107363
107369,55,107368
107370,12,107369
107371,13,107370
107372,13,107369
107373,52,107368
107374,55,107373
107375,12,107374
107376,13,107375
107377,13,107374
107378,0,107373
107379,19,107368
107380,21,107379
107381,0,107379
107382,65,107347
107383,12,107382
107384,14,107383
107385,52,107382
107386,55,107385
107387,12,107386
107388,13,107387
107389,13,107386
107390,12,107385
107391,13,107390
107392,12,107385
107393,13,107392
107394,65,107347
107395,7,107394
107396,12,107395
107397,14,107396
107398,12,107395
107399,14,107398
107400,14,107395
107401,52,107394
107402,55,107401
107403,12,107402
107404,13,107403
107405,13,107402
107406,12,107401
107407,13,107406
107408,12,107401
107409,13,107408
107410,53,107401
107411,7,107410
107412,0,107411
107413,0,107411
107414,13,107411
107415,17,107347
107416,52,107415
107417,55,107416
107418,55,107417
107419,12,107418
107420,13,107419
107421,13,107418
107422,13,107417
107423,9,107416
107424,0,107423
107425,0,107423
107426,0,107423
107427,12,107423
107428,13,107427
107429,12,107423
107430,13,107429
107431,12,107423
107432,13,107431
107433,76,107347
107434,55,107433
107435,12,107434
107436,13,107435
107437,13,107434
107438,17,107433
107439,52,107438
107440,55,107439
107441,12,107440
107442,13,107441
107443,13,107440
107444,17,107433
107445,52,107444
107446,55,107445
107447,55,107446
107448,12,107447
107449,13,107448
107450,13,107447
107451,13,107446
107452,17,107433
107453,52,107452
107454,55,107453
107455,55,107454
107456,12,107455
107457,13,107456
107458,13,107455
107459,13,107454
