node_id,class_name,parent_id
109329,100,-1
109330,74,109329
109331,75,109330
109332,65,109329
109333,12,109332
109334,14,109333
109335,52,109332
109336,12,109335
109337,13,109336
109338,53,109335
109339,0,109338
109340,53,109335
109341,0,109340
109342,65,109329
109343,12,109342
109344,14,109343
109345,52,109342
109346,12,109345
109347,13,109346
109348,53,109345
109349,7,109348
109350,52,109349
109351,12,109350
109352,13,109351
109353,12,109350
109354,13,109353
109355,12,109349
109356,13,109355
109357,13,109349
109358,53,109345
109359,12,109358
109360,13,109359
109361,53,109345
109362,12,109361
109363,13,109362
109364,53,109345
109365,12,109364
109366,13,109365
109367,76,109329
109368,41,109367
109369,12,109368
109370,13,109369
109371,42,109368
109372,0,109368
109373,65,109367
109374,12,109373
109375,14,109374
109376,52,109373
109377,55,109376
109378,12,109377
109379,13,109378
109380,13,109377
109381,52,109376
109382,12,109381
109383,13,109382
109384,55,109381
109385,12,109384
109386,13,109385
109387,13,109384
109388,53,109376
109389,0,109388
109390,65,109367
109391,12,109390
109392,14,109391
109393,52,109390
109394,12,109393
109395,13,109394
109396,12,109393
109397,13,109396
109398,12,109393
109399,13,109398
109400,17,109367
109401,52,109400
109402,55,109401
109403,12,109402
109404,13,109403
109405,13,109402
109406,0,109401
109407,0,109401
