node_id,class_name,parent_id
109507,100,-1
109508,74,109507
109509,75,109508
109510,74,109507
109511,75,109510
109512,74,109507
109513,75,109512
109514,74,109507
109515,75,109514
109516,74,109507
109517,75,109516
109518,74,109507
109519,75,109518
109520,74,109507
109521,75,109520
109522,74,109507
109523,75,109522
109524,74,109507
109525,75,109524
109526,65,109507
109527,55,109526
109528,55,109527
109529,55,109528
109530,12,109529
109531,13,109530
109532,13,109529
109533,13,109528
109534,14,109527
109535,0,109526
109536,65,109507
109537,55,109536
109538,12,109537
109539,13,109538
109540,14,109537
109541,0,109536
109542,87,109507
109543,89,109542
109544,90,109543
109545,76,109542
109546,41,109545
109547,52,109546
109548,12,109547
109549,13,109548
109550,42,109546
109551,0,109546
109552,17,109545
109553,52,109552
109554,12,109553
109555,13,109554
109556,12,109553
109557,13,109556
109558,87,109507
109559,89,109558
109560,90,109559
109561,90,109559
109562,90,109559
109563,90,109559
109564,90,109559
109565,0,109559
109566,0,109559
109567,76,109558
109568,41,109567
109569,12,109568
109570,13,109569
109571,45,109568
109572,0,109568
109573,65,109567
109574,12,109573
109575,14,109574
109576,54,109573
109577,12,109576
109578,13,109577
109579,55,109576
109580,12,109579
109581,13,109580
109582,13,109579
109583,55,109576
109584,12,109583
109585,13,109584
109586,13,109583
109587,65,109567
109588,12,109587
109589,14,109588
109590,54,109587
109591,12,109590
109592,13,109591
109593,55,109590
109594,12,109593
109595,13,109594
109596,13,109593
109597,55,109590
109598,12,109597
109599,13,109598
109600,13,109597
109601,65,109558
109602,12,109601
109603,14,109602
109604,52,109601
109605,12,109604
109606,13,109605
109607,12,109604
109608,13,109607
109609,65,109558
109610,12,109609
109611,14,109610
109612,52,109609
109613,12,109612
109614,13,109613
109615,12,109612
109616,13,109615
109617,52,109612
109618,12,109617
109619,13,109618
109620,0,109617
109621,52,109617
109622,12,109621
109623,13,109622
109624,65,109558
109625,12,109624
109626,14,109625
109627,6,109624
109628,52,109627
109629,55,109628
109630,12,109629
109631,13,109630
109632,13,109629
109633,16,109628
109634,12,109633
109635,13,109634
109636,13,109633
109637,13,109627
109638,76,109558
109639,12,109638
109640,13,109639
109641,17,109638
109642,52,109641
109643,55,109642
109644,12,109643
109645,13,109644
109646,13,109643
109647,52,109642
109648,12,109647
109649,13,109648
109650,53,109647
109651,0,109650
109652,53,109647
109653,0,109652
109654,53,109647
109655,12,109654
109656,13,109655
109657,65,109558
109658,12,109657
109659,14,109658
109660,52,109657
109661,12,109660
109662,13,109661
109663,53,109660
109664,7,109663
109665,12,109664
109666,13,109665
109667,12,109664
109668,13,109667
109669,13,109664
109670,53,109660
109671,52,109670
109672,12,109671
109673,13,109672
109674,53,109671
109675,0,109674
109676,53,109660
109677,12,109676
109678,13,109677
109679,53,109660
109680,12,109679
109681,13,109680
109682,53,109660
109683,6,109682
109684,52,109683
109685,12,109684
109686,13,109685
109687,12,109684
109688,13,109687
109689,53,109684
109690,0,109689
109691,52,109683
109692,12,109691
109693,13,109692
109694,0,109691
109695,13,109683
109696,53,109660
109697,12,109696
109698,13,109697
109699,91,109558
109700,52,109699
109701,55,109700
109702,12,109701
109703,13,109702
109704,13,109701
109705,12,109700
109706,13,109705
109707,53,109700
109708,12,109707
109709,13,109708
109710,53,109700
109711,12,109710
109712,13,109711
109713,53,109700
109714,12,109713
109715,13,109714
109716,87,109507
109717,89,109716
109718,90,109717
109719,52,109718
109720,12,109719
109721,13,109720
109722,0,109719
109723,12,109719
109724,13,109723
109725,90,109717
109726,52,109725
109727,12,109726
109728,13,109727
109729,0,109726
109730,12,109726
109731,13,109730
109732,90,109717
109733,52,109732
109734,12,109733
109735,13,109734
109736,0,109733
109737,12,109733
109738,13,109737
109739,90,109717
109740,52,109739
109741,12,109740
109742,13,109741
109743,0,109740
109744,12,109740
109745,13,109744
109746,90,109717
109747,52,109746
109748,12,109747
109749,13,109748
109750,0,109747
109751,12,109747
109752,13,109751
109753,90,109717
109754,52,109753
109755,12,109754
109756,13,109755
109757,0,109754
109758,12,109754
109759,13,109758
109760,90,109717
109761,52,109760
109762,12,109761
109763,13,109762
109764,0,109761
109765,12,109761
109766,13,109765
109767,90,109717
109768,52,109767
109769,12,109768
109770,13,109769
109771,0,109768
109772,12,109768
109773,13,109772
109774,90,109717
109775,52,109774
109776,12,109775
109777,13,109776
109778,0,109775
109779,12,109775
109780,13,109779
109781,90,109717
109782,52,109781
109783,12,109782
109784,13,109783
109785,0,109782
109786,12,109782
109787,13,109786
109788,90,109717
109789,52,109788
109790,12,109789
109791,13,109790
109792,0,109789
109793,12,109789
109794,13,109793
109795,90,109717
109796,52,109795
109797,12,109796
109798,13,109797
109799,0,109796
109800,12,109796
109801,13,109800
109802,90,109717
109803,52,109802
109804,12,109803
109805,13,109804
109806,0,109803
109807,12,109803
109808,13,109807
109809,90,109717
109810,52,109809
109811,12,109810
109812,13,109811
109813,0,109810
109814,12,109810
109815,13,109814
109816,90,109717
109817,52,109816
109818,12,109817
109819,13,109818
109820,0,109817
109821,12,109817
109822,13,109821
109823,90,109717
109824,52,109823
109825,12,109824
109826,13,109825
109827,0,109824
109828,12,109824
109829,13,109828
109830,90,109717
109831,52,109830
109832,12,109831
109833,13,109832
109834,0,109831
109835,12,109831
109836,13,109835
109837,90,109717
109838,52,109837
109839,12,109838
109840,13,109839
109841,0,109838
109842,12,109838
109843,13,109842
109844,90,109717
109845,52,109844
109846,12,109845
109847,13,109846
109848,0,109845
109849,12,109845
109850,13,109849
109851,90,109717
109852,52,109851
109853,12,109852
109854,13,109853
109855,0,109852
109856,12,109852
109857,13,109856
109858,90,109717
109859,52,109858
109860,12,109859
109861,13,109860
109862,0,109859
109863,12,109859
109864,13,109863
109865,90,109717
109866,52,109865
109867,12,109866
109868,13,109867
109869,0,109866
109870,12,109866
109871,13,109870
109872,90,109717
109873,52,109872
109874,12,109873
109875,13,109874
109876,0,109873
109877,12,109873
109878,13,109877
109879,0,109717
109880,0,109717
109881,0,109717
109882,0,109717
109883,0,109717
109884,0,109717
109885,0,109717
109886,0,109717
109887,0,109717
109888,0,109717
109889,0,109717
109890,0,109717
109891,0,109717
109892,0,109717
109893,0,109717
109894,0,109717
109895,0,109717
109896,0,109717
109897,0,109717
109898,0,109717
109899,0,109717
109900,0,109717
109901,0,109717
109902,17,109716
109903,0,109902
109904,76,109716
109905,41,109904
109906,12,109905
109907,13,109906
109908,42,109905
109909,0,109905
109910,65,109904
109911,12,109910
109912,14,109911
109913,52,109910
109914,12,109913
109915,13,109914
109916,12,109913
109917,13,109916
109918,53,109913
109919,12,109918
109920,13,109919
109921,53,109913
109922,12,109921
109923,13,109922
109924,53,109913
109925,12,109924
109926,13,109925
109927,76,109904
109928,41,109927
109929,12,109928
109930,13,109929
109931,42,109928
109932,0,109928
109933,65,109927
109934,12,109933
109935,14,109934
109936,52,109933
109937,12,109936
109938,13,109937
109939,12,109936
109940,13,109939
109941,53,109936
109942,12,109941
109943,13,109942
109944,76,109927
109945,41,109944
109946,12,109945
109947,13,109946
109948,42,109945
109949,0,109945
109950,65,109944
109951,12,109950
109952,14,109951
109953,52,109950
109954,12,109953
109955,13,109954
109956,12,109953
109957,13,109956
109958,53,109953
109959,12,109958
109960,13,109959
109961,76,109944
109962,41,109961
109963,12,109962
109964,13,109963
109965,42,109962
109966,0,109962
109967,65,109961
109968,12,109967
109969,14,109968
109970,52,109967
109971,12,109970
109972,13,109971
109973,12,109970
109974,13,109973
109975,53,109970
109976,12,109975
109977,13,109976
109978,53,109970
109979,12,109978
109980,13,109979
109981,53,109970
109982,12,109981
109983,13,109982
109984,53,109970
109985,12,109984
109986,13,109985
109987,65,109716
109988,12,109987
109989,14,109988
109990,52,109987
109991,12,109990
109992,13,109991
109993,12,109990
109994,13,109993
109995,12,109990
109996,13,109995
109997,12,109990
109998,13,109997
109999,12,109990
110000,13,109999
110001,53,109990
110002,12,110001
110003,13,110002
110004,53,109990
110005,12,110004
110006,13,110005
110007,17,109716
110008,52,110007
110009,12,110008
110010,13,110009
110011,4,110008
110012,0,110011
110013,3,110011
110014,12,110013
110015,13,110014
110016,0,110011
110017,3,110011
110018,12,110017
110019,13,110018
110020,0,110011
110021,3,110011
110022,12,110021
110023,13,110022
110024,0,110011
110025,3,110011
110026,12,110025
110027,13,110026
110028,0,110011
110029,3,110011
110030,12,110029
110031,13,110030
110032,0,110011
110033,3,110011
110034,12,110033
110035,13,110034
110036,65,109716
110037,7,110036
110038,12,110037
110039,14,110038
110040,12,110037
110041,14,110040
110042,12,110037
110043,14,110042
110044,14,110037
110045,60,110036
110046,56,110045
110047,52,110046
110048,12,110047
110049,13,110048
110050,57,110046
110051,12,110050
110052,13,110051
110053,13,110046
110054,64,110045
110055,12,110054
110056,14,110055
110057,7,110054
110058,12,110057
110059,13,110058
110060,12,110057
110061,13,110060
110062,12,110057
110063,13,110062
110064,13,110057
110065,77,109716
110066,12,110065
110067,14,110066
110068,52,110065
110069,12,110068
110070,13,110069
110071,12,110068
110072,13,110071
110073,17,110065
110074,52,110073
110075,12,110074
110076,13,110075
110077,4,110074
110078,0,110077
110079,3,110077
110080,12,110079
110081,13,110080
110082,65,110065
110083,12,110082
110084,14,110083
110085,52,110082
110086,12,110085
110087,13,110086
110088,12,110085
110089,13,110088
110090,52,110085
110091,12,110090
110092,13,110091
110093,53,110090
110094,0,110093
110095,53,110090
110096,12,110095
110097,13,110096
110098,53,110090
110099,12,110098
110100,13,110099
110101,53,110090
110102,12,110101
110103,13,110102
110104,53,110090
110105,12,110104
110106,13,110105
110107,53,110085
110108,12,110107
110109,13,110108
110110,53,110085
110111,6,110110
110112,12,110111
110113,13,110112
110114,12,110111
110115,13,110114
110116,13,110111
110117,53,110085
110118,52,110117
110119,12,110118
110120,13,110119
110121,76,110065
110122,12,110121
110123,13,110122
110124,17,110121
110125,52,110124
110126,12,110125
110127,13,110126
110128,55,110125
110129,12,110128
110130,13,110129
110131,13,110128
110132,17,110121
110133,52,110132
110134,12,110133
110135,13,110134
110136,76,110065
110137,12,110136
110138,13,110137
110139,65,110136
110140,12,110139
110141,14,110140
110142,52,110139
110143,55,110142
110144,12,110143
110145,13,110144
110146,13,110143
110147,65,110065
110148,12,110147
110149,14,110148
110150,54,110147
110151,12,110150
110152,13,110151
110153,52,110150
110154,12,110153
110155,13,110154
110156,12,110153
110157,13,110156
110158,6,110150
110159,13,110158
110160,65,110065
110161,12,110160
110162,14,110161
110163,52,110160
110164,55,110163
110165,55,110164
110166,12,110165
110167,13,110166
110168,13,110165
110169,13,110164
110170,65,110065
110171,12,110170
110172,14,110171
110173,54,110170
110174,38,110173
110175,39,110174
110176,52,110174
110177,12,110176
110178,13,110177
110179,12,110174
110180,13,110179
110181,55,110173
110182,12,110181
110183,13,110182
110184,13,110181
110185,55,110173
110186,12,110185
110187,13,110186
110188,13,110185
110189,85,110065
110190,86,110189
110191,52,110190
110192,12,110191
110193,13,110192
110194,17,110189
110195,52,110194
110196,55,110195
110197,12,110196
110198,13,110197
110199,13,110196
110200,12,110195
110201,13,110200
110202,12,110195
110203,13,110202
110204,53,110195
110205,12,110204
110206,13,110205
110207,53,110195
110208,12,110207
110209,13,110208
110210,12,109716
110211,13,110210
