node_id,class_name,parent_id,Generator
41840,100,-1,0
41841,65,41840,0
41842,12,41841,0
41843,14,41842,0
41844,6,41841,0
41845,0,41844,0
41846,0,41844,0
41847,0,41844,0
41848,0,41844,0
41849,0,41844,0
41850,0,41844,0
41851,0,41844,0
41852,0,41844,0
41853,0,41844,0
41854,0,41844,0
41855,0,41844,0
41856,0,41844,0
41857,0,41844,0
41858,0,41844,0
41859,0,41844,0
41860,13,41844,0
41861,74,41840,0
41862,75,41861,0
41863,95,41840,0
41864,87,41863,0
41865,89,41864,0
41866,90,41865,0
41867,90,41865,0
41868,90,41865,0
41869,90,41865,0
41870,17,41864,0
41871,52,41870,0
41872,12,41871,0
41873,13,41872,0
41874,0,41871,0
41875,87,41863,0
41876,89,41875,0
41877,90,41876,0
41878,90,41876,0
41879,91,41875,0
41880,52,41879,0
41881,55,41880,0
41882,12,41881,0
41883,13,41882,0
41884,13,41881,0
41885,55,41880,0
41886,12,41885,0
41887,13,41886,0
41888,13,41885,0
41889,55,41880,0
41890,12,41889,0
41891,13,41890,0
41892,13,41889,0
41893,12,41880,0
41894,13,41893,0
41895,87,41840,0
41896,89,41895,0
41897,90,41896,0
41898,17,41895,0
41899,0,41898,0
41900,87,41895,0
41901,89,41900,0
41902,90,41901,0
41903,90,41901,0
41904,91,41900,0
41905,52,41904,0
41906,12,41905,0
41907,13,41906,0
41908,12,41905,0
41909,13,41908,0
41910,12,41905,0
41911,13,41910,0
41912,12,41905,0
41913,13,41912,0
41914,52,41900,0
41915,55,41914,0
41916,12,41915,0
41917,13,41916,0
41918,13,41915,0
41919,12,41914,0
41920,13,41919,0
41921,91,41895,0
41922,12,41921,0
41923,13,41922,0
41924,87,41840,0
41925,89,41924,0
41926,90,41925,0
41927,90,41925,0
41928,90,41925,0
41929,91,41924,0
41930,24,41929,0
41931,12,41930,0
41932,13,41931,0
41933,25,41930,0
41934,24,41930,0
41935,12,41934,0
41936,13,41935,0
41937,27,41934,0
41938,24,41934,0
41939,12,41938,0
41940,13,41939,0
41941,26,41938,0
41942,12,41938,0
41943,13,41942,0
41944,87,41840,0
41945,89,41944,0
41946,90,41945,0
41947,90,41945,0
41948,90,41945,0
41949,91,41944,0
41950,24,41949,0
41951,12,41950,0
41952,13,41951,0
41953,25,41950,0
41954,24,41950,0
41955,24,41954,0
41956,24,41955,0
41957,0,41956,0
41958,25,41956,0
41959,52,41956,0
41960,55,41959,0
41961,12,41960,0
41962,13,41961,0
41963,13,41960,0
41964,24,41959,0
41965,55,41964,0
41966,12,41965,0
41967,13,41966,0
41968,13,41965,0
41969,27,41964,0
41970,24,41964,0
41971,0,41970,0
41972,26,41970,0
41973,12,41970,0
41974,13,41973,0
41975,27,41955,0
41976,24,41955,0
41977,12,41976,0
41978,13,41977,0
41979,26,41976,0
41980,12,41976,0
41981,13,41980,0
41982,28,41954,0
41983,0,41954,0
41984,87,41840,0
41985,89,41984,0
41986,90,41985,0
41987,90,41985,0
41988,90,41985,0
41989,91,41984,0
41990,12,41989,0
41991,13,41990,0
41992,87,41840,0
41993,89,41992,0
41994,90,41993,0
41995,90,41993,0
41996,90,41993,0
41997,91,41992,0
41998,24,41997,0
41999,12,41998,0
42000,13,41999,0
42001,27,41998,0
42002,24,41998,0
42003,24,42002,0
42004,12,42003,0
42005,13,42004,0
42006,28,42003,0
42007,12,42003,0
42008,13,42007,0
42009,31,42002,0
42010,12,42002,0
42011,13,42010,0
42012,87,41840,0
42013,89,42012,0
42014,90,42013,0
42015,90,42013,0
42016,91,42012,0
42017,52,42016,0
42018,12,42017,0
42019,13,42018,0
42020,12,42017,0
42021,13,42020,0
42022,12,42017,0
42023,13,42022,0
42024,12,42017,0
42025,13,42024,0
42026,87,41840,0
42027,89,42026,0
42028,90,42027,0
42029,90,42027,0
42030,91,42026,0
42031,52,42030,0
42032,12,42031,0
42033,13,42032,0
42034,12,42031,0
42035,13,42034,0
42036,12,42031,0
42037,13,42036,0
42038,12,42031,0
42039,13,42038,0
42040,87,41840,0
42041,89,42040,0
42042,90,42041,0
42043,90,42041,0
42044,91,42040,0
42045,52,42044,0
42046,12,42045,0
42047,13,42046,0
42048,12,42045,0
42049,13,42048,0
42050,12,42045,0
42051,13,42050,0
42052,12,42045,0
42053,13,42052,0
42054,87,41840,0
42055,89,42054,0
42056,90,42055,0
42057,90,42055,0
42058,91,42054,0
42059,52,42058,0
42060,12,42059,0
42061,13,42060,0
42062,12,42059,0
42063,13,42062,0
42064,12,42059,0
42065,13,42064,0
42066,12,42059,0
42067,13,42066,0
42068,65,41840,0
42069,55,42068,0
42070,12,42069,0
42071,13,42070,0
42072,14,42069,0
42073,0,42068,0
42074,65,41840,0
42075,55,42074,0
42076,12,42075,0
42077,13,42076,0
42078,14,42075,0
42079,0,42074,0
42080,65,41840,0
42081,55,42080,0
42082,12,42081,0
42083,13,42082,0
42084,14,42081,0
42085,0,42080,0
42086,65,41840,0
42087,55,42086,0
42088,12,42087,0
42089,13,42088,0
42090,14,42087,0
42091,0,42086,0
42092,87,41840,0
