node_id,class_name,parent_id,Generator
48992,100,-1,0
48993,65,48992,0
48994,12,48993,0
48995,14,48994,0
48996,6,48993,0
48997,0,48996,0
48998,0,48996,0
48999,0,48996,0
49000,0,48996,0
49001,0,48996,0
49002,13,48996,0
49003,74,48992,0
49004,75,49003,0
49005,74,48992,0
49006,75,49005,0
49007,74,48992,0
49008,75,49007,0
49009,74,48992,0
49010,75,49009,0
49011,74,48992,0
49012,75,49011,0
49013,95,48992,0
49014,17,49013,0
49015,0,49014,0
49016,87,49013,0
49017,89,49016,0
49018,90,49017,0
49019,90,49017,0
49020,90,49017,0
49021,90,49017,0
49022,90,49017,0
49023,90,49017,0
49024,0,49017,0
49025,0,49017,0
49026,0,49017,0
49027,0,49017,0
49028,0,49017,0
49029,65,49016,0
49030,55,49029,0
49031,12,49030,0
49032,13,49031,0
49033,14,49030,0
49034,52,49029,0
49035,12,49034,0
49036,13,49035,0
49037,12,49034,0
49038,13,49037,0
49039,65,49016,0
49040,55,49039,0
49041,12,49040,0
49042,13,49041,0
49043,14,49040,0
49044,24,49039,0
49045,12,49044,0
49046,13,49045,0
49047,25,49044,0
49048,52,49044,0
49049,12,49048,0
49050,13,49049,0
49051,12,49048,0
49052,13,49051,0
49053,65,49016,0
49054,55,49053,0
49055,12,49054,0
49056,13,49055,0
49057,14,49054,0
49058,52,49053,0
49059,12,49058,0
49060,13,49059,0
49061,12,49058,0
49062,13,49061,0
49063,65,49016,0
49064,7,49063,0
49065,55,49064,0
49066,12,49065,0
49067,13,49066,0
49068,14,49065,0
49069,55,49064,0
49070,12,49069,0
49071,13,49070,0
49072,14,49069,0
49073,14,49064,0
49074,7,49063,0
49075,12,49074,0
49076,13,49075,0
49077,54,49074,0
49078,41,49077,0
49079,12,49078,0
49080,13,49079,0
49081,48,49078,0
49082,0,49078,0
49083,9,49077,0
49084,12,49077,0
49085,13,49084,0
49086,13,49074,0
49087,87,48992,0
49088,89,49087,0
49089,90,49088,0
49090,90,49088,0
49091,90,49088,0
49092,0,49088,0
49093,0,49088,0
49094,0,49088,0
49095,17,49087,0
49096,0,49095,0
49097,91,49087,0
49098,52,49097,0
49099,12,49098,0
49100,13,49099,0
49101,53,49098,0
49102,52,49101,0
49103,12,49102,0
49104,13,49103,0
49105,53,49102,0
49106,12,49105,0
49107,13,49106,0
49108,53,49102,0
49109,12,49108,0
49110,13,49109,0
49111,53,49102,0
49112,12,49111,0
49113,13,49112,0
49114,87,48992,0
49115,89,49114,0
49116,90,49115,0
49117,90,49115,0
49118,90,49115,0
49119,0,49115,0
49120,0,49115,0
49121,0,49115,0
49122,17,49114,0
49123,0,49122,0
49124,65,49114,0
49125,12,49124,0
49126,14,49125,0
49127,54,49124,0
49128,12,49127,0
49129,13,49128,0
49130,52,49127,0
49131,12,49130,0
49132,13,49131,0
49133,53,49130,0
49134,12,49133,0
49135,13,49134,0
49136,6,49127,0
49137,52,49136,0
49138,12,49137,0
49139,13,49138,0
49140,53,49137,0
49141,12,49140,0
49142,13,49141,0
49143,53,49137,0
49144,12,49143,0
49145,13,49144,0
49146,12,49136,0
49147,13,49146,0
49148,13,49136,0
49149,91,49114,0
49150,52,49149,0
49151,12,49150,0
49152,13,49151,0
49153,53,49150,0
49154,12,49153,0
49155,13,49154,0
49156,87,48992,0
49157,89,49156,0
49158,90,49157,0
49159,0,49157,0
49160,17,49156,0
49161,0,49160,0
49162,91,49156,0
49163,52,49162,0
49164,12,49163,0
49165,13,49164,0
49166,53,49163,0
49167,52,49166,0
49168,12,49167,0
49169,13,49168,0
49170,53,49167,0
49171,12,49170,0
49172,13,49171,0
49173,74,48992,0
49174,75,49173,0
49175,75,49173,0
49176,87,48992,0
49177,89,49176,0
49178,90,49177,0
49179,76,49176,0
49180,52,49179,0
49181,12,49180,0
49182,13,49181,0
49183,12,49180,0
49184,13,49183,0
49185,12,49180,0
49186,13,49185,0
49187,91,49179,0
49188,52,49187,0
49189,12,49188,0
49190,13,49189,0
49191,12,49188,0
49192,13,49191,0
49193,76,49179,0
49194,52,49193,0
49195,12,49194,0
49196,13,49195,0
49197,12,49194,0
49198,13,49197,0
49199,12,49194,0
49200,13,49199,0
49201,91,49193,0
49202,12,49201,0
49203,13,49202,0
49204,76,49193,0
49205,38,49204,0
49206,40,49205,0
49207,52,49205,0
49208,12,49207,0
49209,13,49208,0
49210,12,49207,0
49211,13,49210,0
49212,52,49205,0
49213,12,49212,0
49214,13,49213,0
49215,12,49212,0
49216,13,49215,0
49217,91,49204,0
49218,55,49217,0
49219,12,49218,0
49220,13,49219,0
49221,13,49218,0
49222,91,49176,0
49223,55,49222,0
49224,12,49223,0
49225,13,49224,0
49226,13,49223,0
49227,87,48992,0
49228,89,49227,0
49229,90,49228,0
49230,17,49227,0
49231,0,49230,0
49232,65,49227,0
49233,12,49232,0
49234,14,49233,0
49235,52,49232,0
49236,12,49235,0
49237,13,49236,0
49238,52,49235,0
49239,12,49238,0
49240,13,49239,0
49241,16,49238,0
49242,12,49241,0
49243,13,49242,0
49244,13,49241,0
49245,12,49235,0
49246,13,49245,0
49247,91,49227,0
49248,52,49247,0
49249,55,49248,0
49250,52,49249,0
49251,12,49250,0
49252,13,49251,0
49253,62,49250,0
49254,56,49253,0
49255,12,49254,0
49256,13,49255,0
49257,57,49254,0
49258,19,49257,0
49259,21,49258,0
49260,0,49258,0
49261,13,49254,0
49262,64,49253,0
49263,7,49262,0
49264,12,49263,0
49265,14,49264,0
49266,12,49263,0
49267,14,49266,0
49268,14,49263,0
49269,52,49262,0
49270,55,49269,0
49271,12,49270,0
49272,13,49271,0
49273,13,49270,0
49274,13,49249,0
49275,12,49248,0
49276,13,49275,0
49277,87,48992,0
49278,89,49277,0
49279,90,49278,0
49280,91,49277,0
49281,52,49280,0
49282,55,49281,0
49283,52,49282,0
49284,12,49283,0
49285,13,49284,0
49286,12,49283,0
49287,13,49286,0
49288,13,49282,0
49289,95,48992,0
49290,17,49289,0
49291,0,49290,0
49292,65,49289,0
49293,12,49292,0
49294,14,49293,0
49295,12,49292,0
49296,14,49295,0
49297,12,49292,0
49298,14,49297,0
49299,12,49292,0
49300,14,49299,0
49301,0,49292,0
49302,65,49289,0
49303,7,49302,0
49304,12,49303,0
49305,14,49304,0
49306,12,49303,0
49307,14,49306,0
49308,14,49303,0
49309,7,49302,0
49310,7,49309,0
49311,12,49310,0
49312,13,49311,0
49313,12,49310,0
49314,13,49313,0
49315,13,49310,0
49316,12,49309,0
49317,13,49316,0
49318,13,49309,0
49319,65,49289,0
49320,12,49319,0
49321,14,49320,0
49322,52,49319,0
49323,55,49322,0
49324,0,49323,0
49325,13,49323,0
49326,65,49289,0
49327,12,49326,0
49328,14,49327,0
49329,0,49326,0
49330,87,49289,0
49331,89,49330,0
49332,90,49331,0
49333,90,49331,0
49334,90,49331,0
49335,90,49331,0
49336,90,49331,0
49337,90,49331,0
49338,90,49331,0
49339,90,49331,0
49340,0,49331,0
49341,0,49331,0
49342,0,49331,0
49343,0,49331,0
49344,0,49331,0
49345,0,49331,0
49346,65,49330,0
49347,12,49346,0
49348,14,49347,0
49349,52,49346,0
49350,12,49349,0
49351,13,49350,0
49352,54,49349,0
49353,41,49352,0
49354,12,49353,0
49355,13,49354,0
49356,48,49353,0
49357,0,49353,0
49358,55,49352,0
49359,12,49358,0
49360,13,49359,0
49361,13,49358,0
49362,12,49352,0
49363,13,49362,0
49364,65,49330,0
49365,12,49364,0
49366,14,49365,0
49367,52,49364,0
49368,12,49367,0
49369,13,49368,0
49370,62,49367,0
49371,54,49370,0
49372,52,49371,0
49373,12,49372,0
49374,13,49373,0
49375,12,49372,0
49376,13,49375,0
49377,52,49371,0
49378,12,49377,0
49379,13,49378,0
49380,12,49371,0
49381,13,49380,0
49382,64,49370,0
49383,12,49382,0
49384,14,49383,0
49385,12,49382,0
49386,13,49385,0
49387,65,49330,0
49388,55,49387,0
49389,12,49388,0
49390,13,49389,0
49391,14,49388,0
49392,52,49387,0
49393,55,49392,0
49394,12,49393,0
49395,13,49394,0
49396,13,49393,0
49397,0,49392,0
49398,52,49392,0
49399,12,49398,0
49400,13,49399,0
49401,65,49330,0
49402,55,49401,0
49403,12,49402,0
49404,13,49403,0
49405,14,49402,0
49406,52,49401,0
49407,12,49406,0
49408,13,49407,0
49409,16,49406,0
49410,52,49409,0
49411,55,49410,0
49412,12,49411,0
49413,13,49412,0
49414,13,49411,0
49415,0,49410,0
49416,52,49410,0
49417,12,49416,0
49418,13,49417,0
49419,13,49409,0
49420,65,49330,0
49421,55,49420,0
49422,12,49421,0
49423,13,49422,0
49424,14,49421,0
49425,52,49420,0
49426,12,49425,0
49427,13,49426,0
49428,16,49425,0
49429,52,49428,0
49430,55,49429,0
49431,12,49430,0
49432,13,49431,0
49433,13,49430,0
49434,0,49429,0
49435,52,49429,0
49436,12,49435,0
49437,13,49436,0
49438,13,49428,0
49439,77,49330,0
49440,12,49439,0
49441,14,49440,0
49442,12,49439,0
49443,13,49442,0
49444,76,49439,0
49445,41,49444,0
49446,52,49445,0
49447,12,49446,0
49448,13,49447,0
49449,12,49446,0
49450,13,49449,0
49451,0,49446,0
49452,0,49446,0
49453,49,49445,0
49454,0,49445,0
49455,65,49444,0
49456,55,49455,0
49457,12,49456,0
49458,13,49457,0
49459,14,49456,0
49460,55,49455,0
49461,12,49460,0
49462,13,49461,0
49463,13,49460,0
49464,76,49330,0
49465,41,49464,0
49466,12,49465,0
49467,13,49466,0
49468,49,49465,0
49469,0,49465,0
49470,65,49464,0
49471,55,49470,0
49472,12,49471,0
49473,13,49472,0
49474,14,49471,0
49475,12,49470,0
49476,13,49475,0
49477,65,49330,0
49478,55,49477,0
49479,12,49478,0
49480,13,49479,0
49481,14,49478,0
49482,52,49477,0
49483,52,49482,0
49484,12,49483,0
49485,13,49484,0
49486,55,49483,0
49487,55,49486,0
49488,12,49487,0
49489,13,49488,0
49490,13,49487,0
49491,13,49486,0
49492,55,49482,0
49493,12,49492,0
49494,13,49493,0
49495,13,49492,0
49496,65,49330,0
49497,55,49496,0
49498,12,49497,0
49499,13,49498,0
49500,14,49497,0
49501,52,49496,0
49502,12,49501,0
49503,13,49502,0
