node_id,class_name,parent_id,Generator
30750,100,-1,0
30751,73,30750,0
30752,75,30751,0
30753,73,30750,0
30754,75,30753,0
30755,74,30750,0
30756,75,30755,0
30757,75,30755,0
30758,75,30755,0
30759,75,30755,0
30760,75,30755,0
30761,75,30755,0
30762,75,30755,0
30763,73,30750,0
30764,75,30763,0
30765,73,30750,0
30766,75,30765,0
30767,74,30750,0
30768,75,30767,0
30769,75,30767,0
30770,75,30767,0
30771,75,30767,0
30772,74,30750,0
30773,75,30772,0
30774,75,30772,0
30775,74,30750,0
30776,75,30775,0
30777,75,30775,0
