node_id,class_name,parent_id,Generator
60815,100,-1,0
60816,65,60815,0
60817,12,60816,0
60818,14,60817,0
60819,6,60816,0
60820,0,60819,0
60821,0,60819,0
60822,0,60819,0
60823,0,60819,0
60824,0,60819,0
60825,0,60819,0
60826,0,60819,0
60827,0,60819,0
60828,0,60819,0
60829,0,60819,0
60830,0,60819,0
60831,0,60819,0
60832,0,60819,0
60833,0,60819,0
60834,0,60819,0
60835,0,60819,0
60836,0,60819,0
60837,0,60819,0
60838,0,60819,0
60839,0,60819,0
60840,0,60819,0
60841,13,60819,0
60842,74,60815,0
60843,75,60842,0
60844,74,60815,0
60845,75,60844,0
60846,74,60815,0
60847,75,60846,0
60848,73,60815,0
60849,75,60848,0
60850,75,60848,0
60851,75,60848,0
60852,74,60815,0
60853,75,60852,0
60854,74,60815,0
60855,75,60854,0
60856,74,60815,0
60857,75,60856,0
60858,74,60815,0
60859,75,60858,0
60860,81,60815,0
60861,73,60860,0
60862,75,60861,0
60863,17,60860,0
60864,52,60863,0
60865,55,60864,0
60866,12,60865,0
60867,13,60866,0
60868,13,60865,0
60869,0,60864,0
60870,84,60860,0
60871,72,60870,0
60872,87,60815,0
60873,89,60872,0
60874,90,60873,0
60875,90,60873,0
60876,90,60873,0
60877,0,60873,0
60878,0,60873,0
60879,17,60872,0
60880,0,60879,0
60881,91,60872,0
60882,52,60881,0
60883,12,60882,0
60884,13,60883,0
60885,12,60882,0
60886,13,60885,0
60887,53,60882,0
60888,6,60887,0
60889,0,60888,0
60890,0,60888,0
60891,13,60888,0
60892,53,60882,0
60893,12,60892,0
60894,13,60893,0
60895,53,60882,0
60896,12,60895,0
60897,13,60896,0
60898,87,60815,0
60899,89,60898,0
60900,90,60899,0
60901,12,60900,0
60902,13,60901,0
60903,90,60899,0
60904,0,60899,0
60905,17,60898,0
60906,0,60905,0
60907,91,60898,0
60908,52,60907,0
60909,55,60908,0
60910,12,60909,0
60911,13,60910,0
60912,13,60909,0
60913,52,60908,0
60914,12,60913,0
60915,13,60914,0
60916,12,60913,0
60917,13,60916,0
60918,12,60908,0
60919,13,60918,0
60920,12,60898,0
60921,13,60920,0
60922,95,60815,0
60923,12,60922,0
60924,13,60923,0
60925,17,60922,0
60926,0,60925,0
60927,65,60922,0
60928,12,60927,0
60929,14,60928,0
60930,9,60927,0
60931,0,60930,0
60932,0,60930,0
60933,95,60815,0
60934,12,60933,0
60935,13,60934,0
60936,65,60933,0
60937,7,60936,0
60938,12,60937,0
60939,14,60938,0
60940,12,60937,0
60941,14,60940,0
60942,12,60937,0
60943,14,60942,0
60944,14,60937,0
60945,7,60936,0
60946,9,60945,0
60947,12,60945,0
60948,13,60947,0
60949,55,60945,0
60950,12,60949,0
60951,13,60950,0
60952,13,60949,0
60953,13,60945,0
60954,87,60933,0
60955,89,60954,0
60956,90,60955,0
60957,90,60955,0
60958,7,60957,0
60959,12,60958,0
60960,13,60959,0
60961,12,60958,0
60962,13,60961,0
60963,12,60958,0
60964,13,60963,0
60965,13,60958,0
60966,90,60955,0
60967,0,60955,0
