node_id,class_name,parent_id,Generator
68426,100,-1,0
68427,65,68426,0
68428,12,68427,0
68429,14,68428,0
68430,6,68427,0
68431,0,68430,0
68432,0,68430,0
68433,0,68430,0
68434,0,68430,0
68435,13,68430,0
68436,74,68426,0
68437,75,68436,0
68438,74,68426,0
68439,75,68438,0
68440,87,68426,0
68441,89,68440,0
68442,90,68441,0
68443,17,68440,0
68444,0,68443,0
68445,91,68440,0
68446,52,68445,0
68447,12,68446,0
68448,13,68447,0
68449,0,68446,0
68450,52,68446,0
68451,12,68450,0
68452,13,68451,0
68453,24,68450,0
68454,0,68453,0
68455,27,68453,0
68456,24,68453,0
68457,12,68456,0
68458,13,68457,0
68459,31,68456,0
68460,0,68456,0
68461,87,68426,0
68462,89,68461,0
68463,90,68462,0
68464,90,68462,0
68465,90,68462,0
68466,0,68462,0
68467,17,68461,0
68468,0,68467,0
68469,65,68461,0
68470,12,68469,0
68471,14,68470,0
68472,52,68469,0
68473,12,68472,0
68474,13,68473,0
68475,12,68472,0
68476,13,68475,0
68477,9,68472,0
68478,65,68461,0
68479,12,68478,0
68480,14,68479,0
68481,52,68478,0
68482,12,68481,0
68483,13,68482,0
68484,56,68481,0
68485,12,68484,0
68486,13,68485,0
68487,57,68484,0
68488,12,68487,0
68489,13,68488,0
68490,13,68484,0
68491,65,68461,0
68492,12,68491,0
68493,14,68492,0
68494,52,68491,0
68495,55,68494,0
68496,12,68495,0
68497,13,68496,0
68498,13,68495,0
68499,12,68494,0
68500,13,68499,0
68501,52,68494,0
68502,12,68501,0
68503,13,68502,0
68504,52,68501,0
68505,12,68504,0
68506,13,68505,0
68507,12,68504,0
68508,13,68507,0
68509,91,68461,0
68510,7,68509,0
68511,12,68510,0
68512,13,68511,0
68513,12,68510,0
68514,13,68513,0
68515,13,68510,0
68516,87,68426,0
68517,89,68516,0
68518,90,68517,0
68519,90,68517,0
68520,0,68517,0
68521,17,68516,0
68522,0,68521,0
68523,91,68516,0
68524,60,68523,0
68525,52,68524,0
68526,12,68525,0
68527,13,68526,0
68528,55,68525,0
68529,12,68528,0
68530,13,68529,0
68531,13,68528,0
68532,12,68525,0
68533,13,68532,0
68534,12,68525,0
68535,13,68534,0
68536,64,68524,0
68537,12,68536,0
68538,14,68537,0
68539,55,68536,0
68540,12,68539,0
68541,13,68540,0
68542,13,68539,0
68543,95,68426,0
68544,12,68543,0
68545,13,68544,0
68546,17,68543,0
68547,0,68546,0
68548,87,68543,0
68549,89,68548,0
68550,90,68549,0
68551,90,68549,0
68552,90,68549,0
68553,90,68549,0
68554,90,68549,0
68555,90,68549,0
68556,90,68549,0
68557,90,68549,0
68558,90,68549,0
68559,90,68549,0
68560,90,68549,0
