node_id,class_name,parent_id,Generator
69013,100,-1,0
69014,65,69013,0
69015,12,69014,0
69016,14,69015,0
69017,6,69014,0
69018,0,69017,0
69019,0,69017,0
69020,0,69017,0
69021,0,69017,0
69022,0,69017,0
69023,0,69017,0
69024,0,69017,0
69025,0,69017,0
69026,0,69017,0
69027,0,69017,0
69028,0,69017,0
69029,0,69017,0
69030,0,69017,0
69031,0,69017,0
69032,0,69017,0
69033,0,69017,0
69034,0,69017,0
69035,0,69017,0
69036,0,69017,0
69037,0,69017,0
69038,0,69017,0
69039,0,69017,0
69040,0,69017,0
69041,0,69017,0
69042,0,69017,0
69043,0,69017,0
69044,0,69017,0
69045,0,69017,0
69046,0,69017,0
69047,0,69017,0
69048,0,69017,0
69049,0,69017,0
69050,0,69017,0
69051,0,69017,0
69052,0,69017,0
69053,0,69017,0
69054,13,69017,0
69055,74,69013,0
69056,75,69055,0
69057,74,69013,0
69058,75,69057,0
69059,73,69013,0
69060,75,69059,0
69061,75,69059,0
69062,74,69013,0
69063,75,69062,0
69064,65,69013,0
69065,7,69064,0
69066,12,69065,0
69067,14,69066,0
69068,12,69065,0
69069,14,69068,0
69070,12,69065,0
69071,14,69070,0
69072,12,69065,0
69073,14,69072,0
69074,12,69065,0
69075,14,69074,0
69076,12,69065,0
69077,14,69076,0
69078,12,69065,0
69079,14,69078,0
69080,12,69065,0
69081,14,69080,0
69082,12,69065,0
69083,14,69082,0
69084,14,69065,0
69085,52,69064,0
69086,55,69085,0
69087,0,69086,0
69088,13,69086,0
69089,65,69013,0
69090,12,69089,0
69091,14,69090,0
69092,52,69089,0
69093,55,69092,0
69094,12,69093,0
69095,13,69094,0
69096,13,69093,0
69097,0,69092,0
69098,87,69013,0
69099,89,69098,0
69100,90,69099,0
69101,17,69098,0
69102,0,69101,0
69103,91,69098,0
69104,52,69103,0
69105,55,69104,0
69106,12,69105,0
69107,13,69106,0
69108,13,69105,0
69109,0,69104,0
69110,12,69104,0
69111,13,69110,0
69112,65,69013,0
69113,12,69112,0
69114,14,69113,0
69115,52,69112,0
69116,55,69115,0
69117,12,69116,0
69118,13,69117,0
69119,13,69116,0
69120,0,69115,0
69121,87,69013,0
69122,89,69121,0
69123,90,69122,0
69124,17,69121,0
69125,0,69124,0
69126,91,69121,0
69127,52,69126,0
69128,55,69127,0
69129,12,69128,0
69130,13,69129,0
69131,13,69128,0
69132,0,69127,0
69133,12,69127,0
69134,13,69133,0
69135,65,69013,0
69136,12,69135,0
69137,14,69136,0
69138,52,69135,0
69139,55,69138,0
69140,12,69139,0
69141,13,69140,0
69142,13,69139,0
69143,0,69138,0
69144,87,69013,0
69145,89,69144,0
69146,90,69145,0
69147,17,69144,0
69148,0,69147,0
69149,87,69144,0
69150,89,69149,0
69151,90,69150,0
69152,65,69149,0
69153,7,69152,0
69154,12,69153,0
69155,14,69154,0
69156,12,69153,0
69157,14,69156,0
69158,14,69153,0
69159,52,69152,0
69160,55,69159,0
69161,12,69160,0
69162,13,69161,0
69163,13,69160,0
69164,91,69149,0
69165,4,69164,0
69166,0,69165,0
69167,3,69165,0
69168,12,69167,0
69169,13,69168,0
69170,0,69165,0
69171,3,69165,0
69172,24,69171,0
69173,52,69172,0
69174,12,69173,0
69175,13,69174,0
69176,12,69173,0
69177,13,69176,0
69178,25,69172,0
69179,0,69172,0
69180,0,69165,0
69181,3,69165,0
69182,12,69181,0
69183,13,69182,0
69184,0,69165,0
69185,91,69144,0
69186,52,69185,0
69187,55,69186,0
69188,12,69187,0
69189,13,69188,0
69190,13,69187,0
