node_id,class_name,parent_id,Generator
77768,100,-1,0
77769,65,77768,0
77770,12,77769,0
77771,14,77770,0
77772,6,77769,0
77773,0,77772,0
77774,0,77772,0
77775,0,77772,0
77776,0,77772,0
77777,0,77772,0
77778,0,77772,0
77779,0,77772,0
77780,0,77772,0
77781,0,77772,0
77782,0,77772,0
77783,0,77772,0
77784,0,77772,0
77785,13,77772,0
77786,74,77768,0
77787,75,77786,0
77788,74,77768,0
77789,75,77788,0
77790,87,77768,0
77791,89,77790,0
77792,90,77791,0
77793,90,77791,0
77794,90,77791,0
77795,17,77790,0
77796,0,77795,0
77797,91,77790,0
77798,52,77797,0
77799,55,77798,0
77800,52,77799,0
77801,55,77800,0
77802,52,77801,0
77803,55,77802,0
77804,12,77803,0
77805,13,77804,0
77806,13,77803,0
77807,16,77802,0
77808,12,77807,0
77809,13,77808,0
77810,13,77807,0
77811,13,77801,0
77812,24,77800,0
77813,0,77812,0
77814,26,77812,0
77815,12,77812,0
77816,13,77815,0
77817,13,77799,0
77818,24,77798,0
77819,0,77818,0
77820,26,77818,0
77821,12,77818,0
77822,13,77821,0
77823,95,77768,0
77824,12,77823,0
77825,13,77824,0
77826,17,77823,0
77827,0,77826,0
77828,87,77823,0
77829,89,77828,0
77830,90,77829,0
77831,90,77829,0
77832,0,77829,0
77833,65,77828,0
77834,55,77833,0
77835,12,77834,0
77836,13,77835,0
77837,14,77834,0
77838,12,77833,0
77839,13,77838,0
77840,87,77823,0
77841,89,77840,0
77842,90,77841,0
77843,90,77841,0
77844,76,77840,0
77845,38,77844,0
77846,40,77845,0
77847,19,77845,0
77848,22,77847,0
77849,55,77847,0
77850,12,77849,0
77851,13,77850,0
77852,13,77849,0
77853,41,77845,0
77854,55,77853,0
77855,12,77854,0
77856,13,77855,0
77857,13,77854,0
77858,42,77853,0
77859,0,77853,0
77860,91,77844,0
77861,12,77860,0
77862,13,77861,0
77863,91,77840,0
77864,24,77863,0
77865,12,77864,0
77866,13,77865,0
77867,27,77864,0
77868,52,77864,0
