node_id,class_name,parent_id,Generator
82907,100,-1,0
82908,65,82907,0
82909,12,82908,0
82910,14,82909,0
82911,6,82908,0
82912,0,82911,0
82913,0,82911,0
82914,0,82911,0
82915,0,82911,0
82916,0,82911,0
82917,0,82911,0
82918,0,82911,0
82919,0,82911,0
82920,0,82911,0
82921,0,82911,0
82922,0,82911,0
82923,0,82911,0
82924,0,82911,0
82925,0,82911,0
82926,0,82911,0
82927,0,82911,0
82928,0,82911,0
82929,0,82911,0
82930,0,82911,0
82931,0,82911,0
82932,0,82911,0
82933,0,82911,0
82934,0,82911,0
82935,0,82911,0
82936,0,82911,0
82937,0,82911,0
82938,0,82911,0
82939,0,82911,0
82940,0,82911,0
82941,0,82911,0
82942,0,82911,0
82943,0,82911,0
82944,0,82911,0
82945,0,82911,0
82946,0,82911,0
82947,0,82911,0
82948,0,82911,0
82949,0,82911,0
82950,0,82911,0
82951,0,82911,0
82952,0,82911,0
82953,0,82911,0
82954,0,82911,0
82955,0,82911,0
82956,0,82911,0
82957,0,82911,0
82958,13,82911,0
82959,74,82907,0
82960,75,82959,0
82961,74,82907,0
82962,75,82961,0
82963,74,82907,0
82964,75,82963,0
82965,74,82907,0
82966,75,82965,0
82967,75,82965,0
82968,75,82965,0
82969,74,82907,0
82970,75,82969,0
82971,95,82907,0
82972,12,82971,0
82973,13,82972,0
82974,17,82971,0
82975,0,82974,0
82976,65,82971,0
82977,7,82976,0
82978,12,82977,0
82979,14,82978,0
82980,12,82977,0
82981,14,82980,0
82982,12,82977,0
82983,14,82982,0
82984,12,82977,0
82985,14,82984,0
82986,14,82977,0
82987,7,82976,0
82988,0,82987,0
82989,0,82987,0
82990,6,82987,0
82991,13,82990,0
82992,0,82987,0
82993,13,82987,0
82994,87,82971,0
82995,89,82994,0
82996,90,82995,0
82997,90,82995,0
82998,90,82995,0
82999,90,82995,0
83000,90,82995,0
83001,0,82995,0
83002,0,82995,0
83003,0,82995,0
83004,17,82994,0
83005,52,83004,0
83006,12,83005,0
83007,13,83006,0
83008,0,83005,0
83009,17,82994,0
83010,52,83009,0
83011,55,83010,0
83012,52,83011,0
83013,12,83012,0
83014,13,83013,0
83015,13,83011,0
83016,53,83010,0
83017,12,83016,0
83018,13,83017,0
83019,65,82994,0
83020,55,83019,0
83021,12,83020,0
83022,13,83021,0
83023,14,83020,0
83024,52,83019,0
83025,12,83024,0
83026,13,83025,0
83027,12,83024,0
83028,13,83027,0
83029,55,83024,0
83030,12,83029,0
83031,13,83030,0
83032,13,83029,0
83033,87,82971,0
83034,89,83033,0
83035,90,83034,0
83036,90,83034,0
83037,90,83034,0
83038,17,83033,0
83039,0,83038,0
83040,65,83033,0
83041,55,83040,0
83042,12,83041,0
83043,13,83042,0
83044,14,83041,0
83045,38,83040,0
83046,40,83045,0
83047,41,83045,0
83048,55,83047,0
83049,12,83048,0
83050,13,83049,0
83051,13,83048,0
83052,42,83047,0
83053,0,83047,0
83054,41,83045,0
83055,52,83054,0
83056,55,83055,0
83057,12,83056,0
83058,13,83057,0
83059,13,83056,0
83060,44,83054,0
83061,55,83054,0
83062,12,83061,0
83063,13,83062,0
83064,13,83061,0
83065,87,82971,0
83066,89,83065,0
83067,90,83066,0
83068,90,83066,0
83069,90,83066,0
83070,90,83066,0
83071,0,83066,0
83072,17,83065,0
83073,52,83072,0
83074,55,83073,0
83075,12,83074,0
83076,13,83075,0
83077,13,83074,0
83078,12,83073,0
83079,13,83078,0
83080,53,83073,0
83081,12,83080,0
83082,13,83081,0
83083,91,83065,0
83084,54,83083,0
83085,55,83084,0
83086,12,83085,0
83087,13,83086,0
83088,13,83085,0
83089,52,83084,0
83090,55,83089,0
83091,52,83090,0
83092,12,83091,0
83093,13,83092,0
83094,13,83090,0
83095,12,83089,0
83096,13,83095,0
83097,53,83089,0
83098,12,83097,0
83099,13,83098,0
83100,53,83089,0
83101,12,83100,0
83102,13,83101,0
83103,12,83084,0
83104,13,83103,0
83105,87,82907,0
83106,89,83105,0
83107,90,83106,0
83108,90,83106,0
83109,65,83105,0
83110,56,83109,0
83111,12,83110,0
83112,13,83111,0
83113,57,83110,0
83114,7,83113,0
83115,0,83114,0
83116,12,83114,0
83117,13,83116,0
83118,13,83114,0
83119,14,83110,0
83120,19,83109,0
83121,21,83120,0
83122,56,83120,0
83123,12,83122,0
83124,13,83123,0
83125,57,83122,0
83126,7,83125,0
83127,0,83126,0
83128,12,83126,0
83129,13,83128,0
83130,13,83126,0
83131,13,83122,0
83132,91,83105,0
83133,12,83132,0
83134,13,83133,0
83135,65,82907,0
83136,12,83135,0
83137,14,83136,0
83138,7,83135,0
83139,12,83138,0
