node_id,class_name,parent_id,Generator
109329,100,-1,0
109330,74,109329,0
109331,75,109330,0
109332,65,109329,0
109333,12,109332,0
109334,14,109333,0
109335,52,109332,0
109336,12,109335,0
109337,13,109336,0
109338,53,109335,0
109339,0,109338,0
109340,53,109335,0
109341,0,109340,0
109342,65,109329,0
109343,12,109342,0
109344,14,109343,0
109345,52,109342,0
109346,12,109345,0
109347,13,109346,0
109348,53,109345,0
109349,7,109348,0
109350,52,109349,0
109351,12,109350,0
109352,13,109351,0
109353,12,109350,0
109354,13,109353,0
109355,12,109349,0
109356,13,109355,0
109357,13,109349,0
109358,53,109345,0
109359,12,109358,0
109360,13,109359,0
109361,53,109345,0
109362,12,109361,0
109363,13,109362,0
109364,53,109345,0
109365,12,109364,0
109366,13,109365,0
109367,76,109329,0
109368,41,109367,0
109369,12,109368,0
109370,13,109369,0
109371,42,109368,0
109372,0,109368,0
109373,65,109367,0
109374,12,109373,0
109375,14,109374,0
109376,52,109373,0
109377,55,109376,0
109378,12,109377,0
109379,13,109378,0
109380,13,109377,0
109381,52,109376,0
109382,12,109381,0
109383,13,109382,0
109384,55,109381,0
109385,12,109384,0
109386,13,109385,0
109387,13,109384,0
109388,53,109376,0
109389,0,109388,0
109390,65,109367,0
109391,12,109390,0
109392,14,109391,0
109393,52,109390,0
109394,12,109393,0
109395,13,109394,0
109396,12,109393,0
109397,13,109396,0
109398,12,109393,0
109399,13,109398,0
109400,17,109367,0
109401,52,109400,0
109402,55,109401,0
109403,12,109402,0
109404,13,109403,0
109405,13,109402,0
109406,0,109401,0
109407,0,109401,0
