node_id,class_name,parent_id
5873,100,-1
5874,73,5873
5875,75,5874
5876,73,5873
5877,75,5876
5878,74,5873
5879,75,5878
5880,74,5873
5881,75,5880
5882,74,5873
5883,75,5882
5884,74,5873
5885,75,5884
5886,74,5873
5887,75,5886
5888,74,5873
5889,75,5888
5890,74,5873
5891,75,5890
5892,74,5873
5893,75,5892
5894,74,5873
5895,75,5894
5896,74,5873
5897,75,5896
5898,74,5873
5899,75,5898
5900,74,5873
5901,75,5900
5902,74,5873
5903,75,5902
5904,74,5873
5905,75,5904
5906,74,5873
5907,75,5906
5908,65,5873
5909,12,5908
5910,14,5909
5911,52,5908
5912,55,5911
5913,12,5912
5914,13,5913
5915,13,5912
5916,12,5911
5917,13,5916
5918,95,5873
5919,12,5918
5920,13,5919
5921,65,5918
5922,12,5921
5923,14,5922
5924,0,5921
5925,87,5918
5926,89,5925
5927,90,5926
5928,81,5925
5929,65,5928
5930,12,5929
5931,14,5930
5932,55,5929
5933,55,5932
5934,12,5933
5935,13,5934
5936,13,5933
5937,13,5932
5938,65,5928
5939,12,5938
5940,14,5939
5941,54,5938
5942,12,5941
5943,13,5942
5944,52,5941
5945,12,5944
5946,13,5945
5947,12,5944
5948,13,5947
5949,9,5941
5950,84,5928
5951,12,5950
5952,13,5951
5953,69,5950
5954,52,5953
5955,12,5954
5956,13,5955
5957,0,5954
5958,52,5954
5959,12,5958
5960,13,5959
5961,12,5958
5962,13,5961
5963,76,5925
5964,19,5963
5965,22,5964
5966,52,5964
5967,12,5966
5968,13,5967
5969,12,5966
5970,13,5969
5971,12,5966
5972,13,5971
5973,69,5963
5974,52,5973
5975,12,5974
5976,13,5975
5977,0,5974
5978,0,5974
5979,65,5925
5980,12,5979
5981,14,5980
5982,52,5979
5983,55,5982
5984,12,5983
5985,13,5984
5986,13,5983
5987,0,5982
5988,6,5982
5989,13,5988
5990,65,5925
5991,12,5990
5992,14,5991
5993,52,5990
5994,55,5993
5995,12,5994
5996,13,5995
5997,13,5994
5998,0,5993
5999,9,5993
6000,76,5925
6001,19,6000
6002,22,6001
6003,52,6001
6004,12,6003
6005,13,6004
6006,12,6003
6007,13,6006
6008,7,6003
6009,12,6008
6010,13,6009
6011,12,6008
6012,13,6011
6013,13,6008
6014,69,6000
6015,52,6014
6016,12,6015
6017,13,6016
6018,0,6015
6019,0,6015
6020,91,5925
6021,7,6020
6022,12,6021
6023,13,6022
6024,12,6021
6025,13,6024
6026,12,6021
6027,13,6026
6028,13,6021
6029,87,5918
6030,89,6029
6031,90,6030
6032,91,6029
6033,19,6032
6034,22,6033
6035,52,6033
6036,12,6035
6037,13,6036
6038,55,6035
6039,12,6038
6040,13,6039
6041,13,6038
6042,12,6035
6043,13,6042
6044,12,6029
6045,13,6044
6046,87,5918
6047,89,6046
6048,90,6047
6049,90,6047
6050,90,6047
6051,17,6046
6052,52,6051
6053,55,6052
6054,12,6053
6055,13,6054
6056,13,6053
6057,12,6052
6058,13,6057
6059,87,5918
6060,89,6059
6061,90,6060
6062,90,6060
6063,90,6060
6064,76,6059
6065,41,6064
6066,55,6065
6067,12,6066
6068,13,6067
6069,13,6066
6070,42,6065
6071,55,6065
6072,12,6071
6073,13,6072
6074,13,6071
6075,17,6064
6076,52,6075
6077,55,6076
6078,12,6077
6079,13,6078
6080,13,6077
6081,9,6076
6082,0,6081
6083,0,6081
6084,52,6081
6085,55,6084
6086,12,6085
6087,13,6086
6088,13,6085
6089,55,6084
6090,12,6089
6091,13,6090
6092,13,6089
6093,55,6081
6094,12,6093
6095,13,6094
6096,13,6093
6097,17,6064
6098,52,6097
6099,55,6098
6100,12,6099
6101,13,6100
6102,13,6099
6103,9,6098
6104,0,6103
6105,52,6103
6106,55,6105
6107,12,6106
6108,13,6107
6109,13,6106
6110,55,6105
6111,12,6110
6112,13,6111
6113,13,6110
6114,87,5918
6115,89,6114
6116,90,6115
6117,90,6115
6118,76,6114
6119,41,6118
6120,0,6119
6121,50,6119
6122,12,6119
6123,13,6122
6124,65,6118
6125,56,6124
6126,12,6125
6127,13,6126
6128,57,6125
6129,0,6128
6130,14,6125
6131,52,6124
6132,55,6131
6133,12,6132
6134,13,6133
6135,13,6132
6136,56,6131
6137,12,6136
6138,13,6137
6139,57,6136
6140,0,6139
6141,13,6136
6142,55,6131
6143,12,6142
6144,13,6143
6145,13,6142
6146,76,6114
6147,41,6146
6148,0,6147
6149,50,6147
6150,12,6147
6151,13,6150
6152,65,6146
6153,56,6152
6154,12,6153
6155,13,6154
6156,57,6153
6157,0,6156
6158,14,6153
6159,52,6152
6160,12,6159
6161,13,6160
6162,56,6159
6163,12,6162
6164,13,6163
6165,57,6162
6166,0,6165
6167,13,6162
6168,76,6114
6169,41,6168
6170,0,6169
6171,50,6169
6172,12,6169
6173,13,6172
6174,65,6168
6175,12,6174
6176,14,6175
6177,56,6174
6178,12,6177
6179,13,6178
6180,57,6177
6181,0,6180
6182,13,6177
6183,81,6168
6184,65,6183
6185,12,6184
6186,14,6185
6187,52,6184
6188,12,6187
6189,13,6188
6190,12,6187
6191,13,6190
6192,84,6183
6193,12,6192
6194,13,6193
6195,65,6192
6196,12,6195
6197,14,6196
6198,52,6195
6199,55,6198
6200,12,6199
6201,13,6200
6202,13,6199
6203,12,6198
6204,13,6203
6205,55,6198
6206,12,6205
6207,13,6206
6208,13,6205
6209,65,6168
6210,56,6209
6211,12,6210
6212,13,6211
6213,57,6210
6214,0,6213
6215,14,6210
6216,12,6209
6217,13,6216
6218,87,5918
6219,89,6218
6220,90,6219
6221,90,6219
6222,17,6218
6223,0,6222
6224,81,6218
6225,17,6224
6226,52,6225
6227,55,6226
6228,12,6227
6229,13,6228
6230,13,6227
6231,12,6226
6232,13,6231
6233,84,6224
6234,12,6233
6235,13,6234
6236,91,6233
6237,52,6236
6238,12,6237
6239,13,6238
6240,12,6237
6241,13,6240
6242,91,6224
6243,12,6242
6244,13,6243
6245,95,5873
6246,12,6245
6247,13,6246
6248,87,6245
6249,89,6248
6250,90,6249
6251,90,6249
6252,17,6248
6253,0,6252
6254,65,6248
6255,7,6254
6256,12,6255
6257,14,6256
6258,12,6255
6259,14,6258
6260,12,6255
6261,14,6260
6262,14,6255
6263,52,6254
6264,55,6263
6265,12,6264
6266,13,6265
6267,13,6264
6268,17,6248
6269,52,6268
6270,55,6269
6271,12,6270
6272,13,6271
6273,13,6270
6274,0,6269
6275,12,6269
6276,13,6275
6277,12,6269
6278,13,6277
6279,12,6269
6280,13,6279
6281,81,6248
6282,65,6281
6283,12,6282
6284,14,6283
6285,56,6282
6286,55,6285
6287,55,6286
6288,12,6287
6289,13,6288
6290,13,6287
6291,13,6286
6292,57,6285
6293,12,6292
6294,13,6293
6295,13,6285
6296,84,6281
6297,12,6296
6298,13,6297
6299,69,6296
6300,52,6299
6301,12,6300
6302,13,6301
6303,0,6300
6304,24,6300
6305,0,6304
6306,30,6304
6307,12,6304
6308,13,6307
6309,81,6248
6310,17,6309
6311,52,6310
6312,55,6311
6313,12,6312
6314,13,6313
6315,13,6312
6316,12,6311
6317,13,6316
6318,84,6309
6319,12,6318
6320,13,6319
6321,69,6318
6322,52,6321
6323,12,6322
6324,13,6323
6325,0,6322
6326,0,6322
6327,65,6248
6328,12,6327
6329,14,6328
6330,52,6327
6331,55,6330
6332,12,6331
6333,13,6332
6334,13,6331
6335,53,6330
6336,12,6335
6337,13,6336
6338,53,6330
6339,12,6338
6340,13,6339
6341,53,6330
6342,12,6341
6343,13,6342
6344,65,6248
6345,12,6344
6346,14,6345
6347,9,6344
6348,0,6347
6349,55,6347
6350,12,6349
6351,13,6350
6352,13,6349
6353,65,6248
6354,12,6353
6355,14,6354
6356,92,6353
6357,52,6356
6358,55,6357
6359,52,6358
6360,55,6359
6361,12,6360
6362,13,6361
6363,13,6360
6364,13,6358
6365,0,6357
6366,55,6357
6367,12,6366
6368,13,6367
6369,13,6366
6370,12,6357
6371,13,6370
6372,12,6357
6373,13,6372
6374,17,6248
6375,52,6374
6376,55,6375
6377,12,6376
6378,13,6377
6379,13,6376
6380,12,6375
6381,13,6380
6382,55,6248
6383,12,6382
6384,13,6383
6385,13,6382
6386,55,6248
6387,12,6386
6388,13,6387
6389,13,6386
6390,87,6245
6391,89,6390
6392,90,6391
6393,90,6391
