node_id,class_name,parent_id
7447,100,-1
7448,73,7447
7449,75,7448
7450,74,7447
7451,75,7450
7452,74,7447
7453,75,7452
7454,74,7447
7455,75,7454
7456,65,7447
7457,12,7456
7458,14,7457
7459,52,7456
7460,55,7459
7461,12,7460
7462,13,7461
7463,13,7460
7464,12,7459
7465,13,7464
7466,95,7447
7467,12,7466
7468,13,7467
7469,87,7466
7470,89,7469
7471,90,7470
7472,17,7469
7473,0,7472
7474,65,7469
7475,12,7474
7476,14,7475
7477,52,7474
7478,55,7477
7479,12,7478
7480,13,7479
7481,13,7478
7482,0,7477
7483,53,7477
7484,0,7483
7485,53,7477
7486,12,7485
7487,13,7486
7488,65,7469
7489,12,7488
7490,14,7489
7491,52,7488
7492,55,7491
7493,12,7492
7494,13,7493
7495,13,7492
7496,0,7491
7497,53,7491
7498,0,7497
7499,53,7491
7500,12,7499
7501,13,7500
7502,65,7469
7503,12,7502
7504,14,7503
7505,52,7502
7506,55,7505
7507,12,7506
7508,13,7507
7509,13,7506
7510,0,7505
7511,53,7505
7512,0,7511
7513,76,7469
7514,12,7513
7515,13,7514
7516,65,7513
7517,12,7516
7518,14,7517
7519,9,7516
7520,77,7513
7521,7,7520
7522,12,7521
7523,14,7522
7524,12,7521
7525,14,7524
7526,14,7521
7527,52,7520
7528,55,7527
7529,55,7528
7530,55,7529
7531,55,7530
7532,55,7531
7533,12,7532
7534,13,7533
7535,13,7532
7536,13,7531
7537,13,7530
7538,13,7529
7539,13,7528
7540,65,7520
7541,56,7540
7542,12,7541
7543,13,7542
7544,57,7541
7545,12,7544
7546,13,7545
7547,14,7541
7548,55,7540
7549,12,7548
7550,13,7549
7551,13,7548
7552,17,7513
7553,52,7552
7554,55,7553
7555,12,7554
7556,13,7555
7557,13,7554
7558,12,7553
7559,13,7558
7560,91,7513
7561,76,7469
7562,38,7561
7563,39,7562
7564,55,7562
7565,55,7564
7566,12,7565
7567,13,7566
7568,13,7565
7569,13,7564
7570,19,7562
7571,22,7570
7572,12,7570
7573,13,7572
7574,41,7562
7575,12,7574
7576,13,7575
7577,50,7574
7578,55,7574
7579,55,7578
7580,12,7579
7581,13,7580
7582,13,7579
7583,13,7578
7584,17,7561
7585,52,7584
7586,55,7585
7587,12,7586
7588,13,7587
7589,13,7586
7590,9,7585
7591,12,7590
7592,13,7591
7593,56,7590
7594,55,7593
7595,55,7594
7596,12,7595
7597,13,7596
7598,13,7595
7599,13,7594
7600,57,7593
7601,12,7600
7602,13,7601
7603,13,7593
7604,91,7561
7605,76,7469
7606,12,7605
7607,13,7606
7608,81,7605
7609,17,7608
7610,92,7609
7611,52,7610
7612,55,7611
7613,55,7612
7614,12,7613
7615,13,7614
7616,13,7613
7617,13,7612
7618,53,7611
7619,12,7618
7620,13,7619
7621,84,7608
7622,12,7621
7623,13,7622
7624,65,7621
7625,12,7624
7626,14,7625
7627,24,7624
7628,0,7627
7629,30,7627
7630,12,7627
7631,13,7630
7632,17,7621
7633,52,7632
7634,55,7633
7635,12,7634
7636,13,7635
7637,13,7634
7638,12,7633
7639,13,7638
7640,69,7621
7641,52,7640
7642,55,7641
7643,12,7642
7644,13,7643
7645,13,7642
7646,0,7641
7647,12,7641
7648,13,7647
7649,76,7469
7650,38,7649
7651,39,7650
7652,12,7650
7653,13,7652
7654,19,7650
7655,22,7654
7656,52,7654
7657,55,7656
7658,12,7657
7659,13,7658
7660,13,7657
7661,12,7656
7662,13,7661
7663,69,7649
7664,52,7663
7665,55,7664
7666,12,7665
7667,13,7666
7668,13,7665
7669,0,7664
7670,24,7664
7671,0,7670
7672,30,7670
7673,12,7670
7674,13,7673
7675,76,7469
7676,12,7675
7677,13,7676
7678,17,7675
7679,52,7678
7680,55,7679
7681,12,7680
7682,13,7681
7683,13,7680
7684,9,7679
7685,12,7684
7686,13,7685
7687,56,7684
7688,55,7687
7689,55,7688
7690,12,7689
7691,13,7690
7692,13,7689
7693,13,7688
7694,57,7687
7695,12,7694
7696,13,7695
7697,13,7687
7698,17,7675
7699,52,7698
7700,55,7699
7701,12,7700
7702,13,7701
7703,13,7700
7704,55,7699
7705,55,7704
7706,12,7705
7707,13,7706
7708,13,7705
7709,13,7704
7710,55,7469
7711,12,7710
7712,13,7711
7713,13,7710
7714,55,7469
7715,12,7714
7716,13,7715
7717,13,7714
