node_id,class_name,parent_id
1236,100,-1
1237,73,1236
1238,75,1237
1239,73,1236
1240,75,1239
1241,73,1236
1242,75,1241
1243,73,1236
1244,75,1243
1245,73,1236
1246,75,1245
1247,74,1236
1248,75,1247
1249,74,1236
1250,75,1249
1251,74,1236
1252,75,1251
1253,74,1236
1254,75,1253
1255,75,1253
1256,74,1236
1257,75,1256
1258,74,1236
1259,75,1258
1260,74,1236
1261,75,1260
1262,74,1236
1263,75,1262
1264,74,1236
1265,75,1264
1266,74,1236
1267,75,1266
1268,75,1266
1269,74,1236
1270,75,1269
1271,75,1269
1272,65,1236
1273,12,1272
1274,14,1273
1275,52,1272
1276,55,1275
1277,12,1276
1278,13,1277
1279,13,1276
1280,12,1275
1281,13,1280
1282,95,1236
1283,12,1282
1284,13,1283
1285,65,1282
1286,12,1285
1287,14,1286
1288,0,1285
1289,87,1282
1290,89,1289
1291,90,1290
1292,90,1290
1293,90,1290
1294,90,1290
1295,0,1290
1296,17,1289
1297,52,1296
1298,55,1297
1299,12,1298
1300,13,1299
1301,13,1298
1302,17,1289
1303,52,1302
1304,55,1303
1305,12,1304
1306,13,1305
1307,13,1304
1308,12,1303
1309,13,1308
1310,12,1303
1311,13,1310
1312,17,1289
1313,52,1312
1314,55,1313
1315,12,1314
1316,13,1315
1317,13,1314
1318,17,1289
1319,52,1318
1320,55,1319
1321,12,1320
1322,13,1321
1323,13,1320
1324,17,1289
1325,52,1324
1326,55,1325
1327,55,1326
1328,55,1327
1329,12,1328
1330,13,1329
1331,13,1328
1332,13,1327
1333,13,1326
1334,65,1289
1335,12,1334
1336,14,1335
1337,52,1334
1338,12,1337
1339,13,1338
1340,53,1337
1341,55,1340
1342,12,1341
1343,13,1342
1344,13,1341
1345,53,1337
1346,12,1345
1347,13,1346
1348,53,1337
1349,12,1348
1350,13,1349
1351,17,1289
1352,52,1351
1353,55,1352
1354,12,1353
1355,13,1354
1356,13,1353
1357,55,1352
1358,12,1357
1359,13,1358
1360,13,1357
1361,87,1289
1362,89,1361
1363,90,1362
1364,90,1362
1365,17,1361
1366,52,1365
1367,55,1366
1368,12,1367
1369,13,1368
1370,13,1367
1371,0,1366
1372,17,1361
1373,52,1372
1374,55,1373
1375,12,1374
1376,13,1375
1377,13,1374
1378,0,1373
1379,17,1289
1380,52,1379
1381,55,1380
1382,12,1381
1383,13,1382
1384,13,1381
1385,55,1380
1386,12,1385
1387,13,1386
1388,13,1385
1389,12,1380
1390,13,1389
1391,17,1289
1392,52,1391
1393,55,1392
1394,12,1393
1395,13,1394
1396,13,1393
1397,41,1392
1398,0,1397
1399,50,1397
1400,12,1397
1401,13,1400
1402,81,1289
1403,17,1402
1404,52,1403
1405,55,1404
1406,12,1405
1407,13,1406
1408,13,1405
1409,84,1402
1410,7,1409
1411,12,1410
1412,13,1411
1413,12,1410
1414,13,1413
1415,13,1410
1416,72,1409
1417,87,1282
1418,89,1417
1419,90,1418
1420,90,1418
1421,90,1418
1422,0,1418
1423,91,1417
1424,52,1423
1425,55,1424
1426,12,1425
1427,13,1426
1428,13,1425
1429,12,1424
1430,13,1429
1431,12,1424
1432,13,1431
1433,87,1282
1434,89,1433
1435,90,1434
1436,17,1433
1437,0,1436
1438,65,1433
1439,12,1438
1440,14,1439
1441,52,1438
1442,12,1441
1443,13,1442
1444,55,1441
1445,12,1444
1446,13,1445
1447,13,1444
1448,55,1441
1449,12,1448
1450,13,1449
1451,13,1448
1452,77,1433
1453,12,1452
1454,14,1453
1455,12,1452
1456,13,1455
1457,65,1452
1458,12,1457
1459,14,1458
1460,52,1457
1461,55,1460
1462,52,1461
1463,55,1462
1464,12,1463
1465,13,1464
1466,13,1463
1467,55,1462
1468,12,1467
1469,13,1468
1470,13,1467
1471,0,1462
1472,0,1462
1473,13,1461
1474,65,1452
1475,12,1474
1476,14,1475
1477,56,1474
1478,55,1477
1479,12,1478
1480,13,1479
1481,13,1478
1482,57,1477
1483,12,1482
1484,13,1483
1485,13,1477
1486,81,1452
1487,65,1486
1488,12,1487
1489,14,1488
1490,56,1487
1491,55,1490
1492,12,1491
1493,13,1492
1494,13,1491
1495,57,1490
1496,12,1495
1497,13,1496
1498,13,1490
1499,84,1486
1500,12,1499
1501,13,1500
1502,65,1499
1503,12,1502
1504,14,1503
1505,56,1502
1506,55,1505
1507,12,1506
1508,13,1507
1509,13,1506
1510,57,1505
1511,52,1510
1512,55,1511
1513,12,1512
1514,13,1513
1515,13,1512
1516,0,1511
1517,0,1511
1518,13,1505
1519,76,1452
1520,55,1519
1521,12,1520
1522,13,1521
1523,13,1520
1524,65,1519
1525,12,1524
1526,14,1525
1527,60,1524
1528,52,1527
1529,55,1528
1530,12,1529
1531,13,1530
1532,13,1529
1533,12,1528
1534,13,1533
1535,64,1527
1536,12,1535
1537,14,1536
1538,52,1535
1539,55,1538
1540,12,1539
1541,13,1540
1542,13,1539
1543,0,1538
1544,65,1519
1545,12,1544
1546,14,1545
1547,52,1544
1548,55,1547
1549,12,1548
1550,13,1549
1551,13,1548
1552,12,1547
1553,13,1552
1554,17,1452
1555,52,1554
1556,12,1555
1557,13,1556
1558,12,1555
1559,13,1558
1560,12,1555
1561,13,1560
1562,12,1555
1563,13,1562
1564,87,1282
1565,89,1564
1566,90,1565
1567,90,1565
1568,90,1565
1569,17,1564
1570,0,1569
1571,65,1564
1572,12,1571
1573,14,1572
1574,52,1571
1575,12,1574
1576,13,1575
1577,52,1574
1578,12,1577
1579,13,1578
1580,55,1577
1581,12,1580
1582,13,1581
1583,13,1580
1584,12,1577
1585,13,1584
1586,17,1564
1587,52,1586
1588,12,1587
1589,13,1588
1590,24,1587
1591,6,1590
1592,12,1591
1593,13,1592
1594,13,1591
1595,25,1590
1596,12,1590
1597,13,1596
1598,81,1564
1599,17,1598
1600,52,1599
1601,12,1600
1602,13,1601
1603,52,1600
1604,55,1603
1605,55,1604
1606,12,1605
1607,13,1606
1608,13,1605
1609,13,1604
1610,55,1603
1611,12,1610
1612,13,1611
1613,13,1610
1614,53,1600
1615,0,1614
1616,17,1598
1617,52,1616
1618,12,1617
1619,13,1618
1620,24,1617
1621,6,1620
1622,12,1621
1623,13,1622
1624,13,1621
1625,25,1620
1626,12,1620
1627,13,1626
1628,84,1598
1629,12,1628
1630,13,1629
1631,76,1628
1632,41,1631
1633,52,1632
1634,55,1633
1635,55,1634
1636,12,1635
1637,13,1636
1638,13,1635
1639,13,1634
1640,55,1633
1641,12,1640
1642,13,1641
1643,13,1640
1644,43,1632
1645,12,1632
1646,13,1645
1647,69,1631
1648,87,1282
1649,89,1648
1650,90,1649
1651,76,1648
1652,38,1651
1653,39,1652
1654,55,1652
1655,12,1654
1656,13,1655
1657,13,1654
1658,41,1652
1659,55,1658
1660,12,1659
1661,13,1660
1662,13,1659
1663,42,1658
1664,0,1658
1665,65,1651
1666,55,1665
1667,12,1666
1668,13,1667
1669,14,1666
1670,0,1665
1671,17,1651
1672,52,1671
1673,12,1672
1674,13,1673
1675,17,1651
1676,52,1675
1677,55,1676
1678,52,1677
1679,55,1678
1680,12,1679
1681,13,1680
1682,13,1679
1683,0,1678
1684,13,1677
1685,52,1676
1686,12,1685
1687,13,1686
1688,65,1651
1689,55,1688
1690,52,1689
1691,55,1690
1692,12,1691
1693,13,1692
1694,13,1691
1695,0,1690
1696,14,1689
1697,0,1688
1698,87,1282
1699,89,1698
1700,90,1699
1701,65,1698
1702,56,1701
1703,12,1702
1704,13,1703
1705,57,1702
1706,0,1705
1707,14,1702
1708,55,1701
1709,12,1708
1710,13,1709
1711,13,1708
1712,76,1698
1713,55,1712
1714,12,1713
1715,13,1714
1716,13,1713
1717,65,1712
1718,56,1717
1719,12,1718
1720,13,1719
1721,57,1718
1722,0,1721
1723,14,1718
1724,55,1717
1725,12,1724
1726,13,1725
1727,13,1724
1728,76,1698
1729,55,1728
1730,12,1729
1731,13,1730
1732,13,1729
1733,77,1728
1734,12,1733
1735,14,1734
1736,6,1733
1737,0,1736
1738,0,1736
1739,13,1736
1740,65,1733
1741,56,1740
1742,12,1741
1743,13,1742
1744,57,1741
1745,12,1744
1746,13,1745
1747,14,1741
1748,52,1740
1749,12,1748
1750,13,1749
1751,56,1748
1752,12,1751
1753,13,1752
1754,57,1751
1755,12,1754
1756,13,1755
1757,13,1751
1758,55,1748
1759,12,1758
1760,13,1759
1761,13,1758
1762,76,1698
1763,55,1762
1764,12,1763
1765,13,1764
1766,13,1763
1767,65,1762
1768,56,1767
1769,12,1768
1770,13,1769
1771,57,1768
1772,0,1771
1773,14,1768
1774,9,1767
1775,0,1774
1776,0,1774
1777,0,1774
1778,38,1774
1779,40,1778
1780,55,1778
1781,12,1780
1782,13,1781
1783,13,1780
1784,52,1778
1785,55,1784
1786,55,1785
1787,12,1786
1788,13,1787
1789,13,1786
1790,13,1785
1791,0,1784
1792,38,1774
1793,40,1792
1794,55,1792
1795,12,1794
1796,13,1795
1797,13,1794
1798,52,1792
1799,55,1798
1800,55,1799
1801,12,1800
1802,13,1801
1803,13,1800
1804,13,1799
1805,0,1798
1806,38,1774
1807,40,1806
1808,55,1806
1809,12,1808
1810,13,1809
1811,13,1808
1812,52,1806
1813,55,1812
1814,55,1813
1815,12,1814
1816,13,1815
1817,13,1814
1818,13,1813
1819,0,1812
1820,76,1698
1821,38,1820
1822,39,1821
1823,55,1821
1824,12,1823
1825,13,1824
1826,13,1823
1827,55,1821
1828,12,1827
1829,13,1828
1830,13,1827
1831,65,1820
1832,56,1831
1833,12,1832
1834,13,1833
1835,57,1832
1836,0,1835
1837,14,1832
1838,52,1831
1839,12,1838
1840,13,1839
1841,53,1838
1842,52,1841
1843,12,1842
1844,13,1843
1845,55,1842
1846,12,1845
1847,13,1846
1848,13,1845
1849,53,1838
1850,52,1849
1851,12,1850
1852,13,1851
1853,55,1850
1854,12,1853
1855,13,1854
1856,13,1853
1857,76,1820
1858,55,1857
1859,12,1858
1860,13,1859
1861,13,1858
1862,65,1857
1863,56,1862
1864,56,1863
1865,12,1864
1866,13,1865
1867,57,1864
1868,0,1867
1869,13,1864
1870,57,1863
1871,0,1870
1872,14,1863
1873,52,1862
1874,12,1873
1875,13,1874
1876,55,1873
1877,12,1876
1878,13,1877
1879,13,1876
1880,87,1282
1881,89,1880
1882,90,1881
1883,90,1881
1884,76,1880
1885,41,1884
1886,0,1885
1887,50,1885
1888,12,1885
1889,13,1888
1890,76,1884
1891,41,1890
1892,0,1891
1893,50,1891
1894,12,1891
1895,13,1894
1896,74,1890
1897,75,1896
1898,17,1890
1899,52,1898
1900,12,1899
1901,13,1900
1902,52,1899
1903,12,1902
1904,13,1903
1905,53,1899
1906,55,1905
1907,12,1906
1908,13,1907
1909,13,1906
1910,17,1884
1911,52,1910
1912,12,1911
1913,13,1912
1914,12,1911
1915,13,1914
1916,53,1911
1917,55,1916
1918,12,1917
1919,13,1918
1920,13,1917
1921,17,1884
1922,52,1921
1923,55,1922
1924,52,1923
1925,12,1924
1926,13,1925
1927,12,1924
1928,13,1927
1929,12,1924
1930,13,1929
1931,13,1923
1932,12,1922
1933,13,1932
1934,87,1282
1935,89,1934
1936,90,1935
1937,65,1934
1938,7,1937
1939,12,1938
1940,14,1939
1941,12,1938
1942,14,1941
1943,12,1938
1944,14,1943
1945,14,1938
1946,52,1937
1947,55,1946
1948,52,1947
1949,55,1948
1950,12,1949
1951,13,1950
1952,13,1949
1953,0,1948
1954,13,1947
1955,0,1946
1956,65,1934
1957,12,1956
1958,14,1957
1959,52,1956
1960,55,1959
1961,12,1960
1962,13,1961
1963,13,1960
1964,0,1959
1965,0,1959
1966,91,1934
1967,52,1966
1968,12,1967
1969,13,1968
1970,12,1967
1971,13,1970
1972,12,1967
1973,13,1972
1974,12,1934
1975,13,1974
1976,87,1282
1977,89,1976
1978,90,1977
1979,90,1977
1980,91,1976
1981,38,1980
1982,39,1981
1983,52,1981
1984,55,1983
1985,12,1984
1986,13,1985
1987,13,1984
1988,55,1983
1989,12,1988
1990,13,1989
1991,13,1988
1992,41,1981
1993,52,1992
1994,55,1993
1995,56,1994
1996,12,1995
1997,13,1996
1998,58,1995
1999,52,1998
2000,12,1999
2001,13,2000
2002,55,1999
2003,12,2002
2004,13,2003
2005,13,2002
2006,13,1995
2007,13,1994
2008,50,1992
2009,12,1992
2010,13,2009
2011,87,1282
2012,89,2011
2013,90,2012
2014,90,2012
2015,76,2011
2016,19,2015
2017,22,2016
2018,55,2016
2019,12,2018
2020,13,2019
2021,13,2018
2022,17,2015
2023,52,2022
2024,55,2023
2025,12,2024
2026,13,2025
2027,13,2024
2028,0,2023
2029,54,2023
2030,12,2029
2031,13,2030
2032,0,2029
2033,0,2029
2034,38,2023
2035,40,2034
2036,55,2034
2037,12,2036
2038,13,2037
2039,13,2036
2040,0,2034
2041,55,2023
2042,12,2041
2043,13,2042
2044,13,2041
2045,17,2015
2046,52,2045
2047,55,2046
2048,12,2047
2049,13,2048
2050,13,2047
2051,0,2046
2052,55,2046
2053,12,2052
2054,13,2053
2055,13,2052
2056,17,2011
2057,52,2056
2058,55,2057
2059,12,2058
2060,13,2059
2061,13,2058
2062,0,2057
2063,52,2057
2064,55,2063
2065,52,2064
2066,55,2065
2067,55,2066
2068,12,2067
2069,13,2068
2070,13,2067
2071,13,2066
2072,13,2064
2073,17,2011
2074,52,2073
2075,55,2074
2076,12,2075
2077,13,2076
2078,13,2075
2079,0,2074
2080,52,2074
