node_id,class_name,parent_id
2107,100,-1
2108,73,2107
2109,75,2108
2110,73,2107
2111,75,2110
2112,73,2107
2113,75,2112
2114,73,2107
2115,75,2114
2116,73,2107
2117,75,2116
2118,74,2107
2119,75,2118
2120,73,2107
2121,75,2120
2122,74,2107
2123,75,2122
2124,74,2107
2125,75,2124
2126,74,2107
2127,75,2126
2128,74,2107
2129,75,2128
2130,74,2107
2131,75,2130
2132,74,2107
2133,75,2132
2134,74,2107
2135,75,2134
2136,74,2107
2137,75,2136
2138,74,2107
2139,75,2138
2140,75,2138
2141,65,2107
2142,12,2141
2143,14,2142
2144,52,2141
2145,55,2144
2146,12,2145
2147,13,2146
2148,13,2145
2149,12,2144
2150,13,2149
2151,95,2107
2152,12,2151
2153,13,2152
2154,65,2151
2155,12,2154
2156,14,2155
2157,52,2154
2158,12,2157
2159,13,2158
2160,0,2157
2161,0,2157
2162,6,2157
2163,0,2162
2164,0,2162
2165,0,2162
2166,13,2162
2167,65,2151
2168,12,2167
2169,14,2168
2170,52,2167
2171,12,2170
2172,13,2171
2173,0,2170
2174,0,2170
2175,6,2170
2176,0,2175
2177,0,2175
2178,13,2175
2179,95,2107
2180,12,2179
2181,13,2180
2182,87,2179
2183,89,2182
2184,90,2183
2185,90,2183
2186,90,2183
2187,17,2182
2188,52,2187
2189,55,2188
2190,52,2189
2191,12,2190
2192,13,2191
2193,12,2190
2194,13,2193
2195,12,2190
2196,13,2195
2197,13,2189
2198,16,2188
2199,12,2198
2200,13,2199
2201,13,2198
2202,53,2188
2203,12,2202
2204,13,2203
2205,65,2182
2206,55,2205
2207,12,2206
2208,13,2207
2209,14,2206
2210,52,2205
2211,55,2210
2212,12,2211
2213,13,2212
2214,13,2211
2215,12,2210
2216,13,2215
2217,65,2182
2218,55,2217
2219,12,2218
2220,13,2219
2221,14,2218
2222,52,2217
2223,12,2222
2224,13,2223
2225,87,2179
2226,89,2225
2227,90,2226
2228,90,2226
2229,65,2225
2230,12,2229
2231,14,2230
2232,56,2229
2233,12,2232
2234,13,2233
2235,57,2232
2236,0,2235
2237,13,2232
2238,65,2225
2239,12,2238
2240,14,2239
2241,56,2238
2242,12,2241
2243,13,2242
2244,57,2241
2245,0,2244
2246,13,2241
2247,67,2225
2248,56,2247
2249,56,2248
2250,55,2249
2251,12,2250
2252,13,2251
2253,13,2250
2254,57,2249
2255,12,2254
2256,13,2255
2257,13,2249
2258,57,2248
2259,12,2258
2260,13,2259
2261,14,2248
2262,25,2247
2263,0,2247
2264,76,2225
2265,52,2264
2266,55,2265
2267,12,2266
2268,13,2267
2269,13,2266
2270,0,2265
2271,65,2264
2272,12,2271
2273,14,2272
2274,56,2271
2275,12,2274
2276,13,2275
2277,57,2274
2278,0,2277
2279,13,2274
2280,65,2264
2281,12,2280
2282,14,2281
2283,52,2280
2284,55,2283
2285,12,2284
2286,13,2285
2287,13,2284
2288,0,2283
2289,0,2283
2290,76,2264
2291,38,2290
2292,39,2291
2293,19,2291
2294,22,2293
2295,12,2293
2296,13,2295
2297,41,2291
2298,12,2297
2299,13,2298
2300,50,2297
2301,55,2297
2302,12,2301
2303,13,2302
2304,13,2301
2305,65,2290
2306,12,2305
2307,14,2306
2308,38,2305
2309,40,2308
2310,55,2308
2311,56,2310
2312,55,2311
2313,12,2312
2314,13,2313
2315,13,2312
2316,57,2311
2317,12,2316
2318,13,2317
2319,13,2311
2320,13,2310
2321,0,2308
2322,17,2264
2323,52,2322
2324,55,2323
2325,52,2324
2326,55,2325
2327,55,2326
2328,55,2327
2329,12,2328
2330,13,2329
2331,13,2328
2332,13,2327
2333,13,2326
2334,12,2325
2335,13,2334
2336,12,2325
2337,13,2336
2338,12,2325
2339,13,2338
2340,13,2324
2341,65,2264
2342,12,2341
2343,14,2342
2344,52,2341
2345,55,2344
2346,12,2345
2347,13,2346
2348,13,2345
2349,0,2344
2350,0,2344
2351,76,2264
2352,12,2351
2353,13,2352
2354,17,2351
2355,52,2354
2356,55,2355
2357,52,2356
2358,55,2357
2359,55,2358
2360,55,2359
2361,12,2360
2362,13,2361
2363,13,2360
2364,13,2359
2365,13,2358
2366,12,2357
2367,13,2366
2368,12,2357
2369,13,2368
2370,13,2356
2371,12,2355
2372,13,2371
2373,65,2225
2374,12,2373
2375,14,2374
2376,52,2373
2377,55,2376
2378,55,2377
2379,12,2378
2380,13,2379
2381,13,2378
2382,13,2377
2383,12,2376
2384,13,2383
2385,65,2225
2386,12,2385
2387,14,2386
2388,52,2385
2389,12,2388
2390,13,2389
2391,55,2388
2392,12,2391
2393,13,2392
2394,13,2391
2395,12,2388
2396,13,2395
2397,0,2388
2398,76,2225
2399,12,2398
2400,13,2399
2401,17,2398
2402,52,2401
2403,55,2402
2404,12,2403
2405,13,2404
2406,13,2403
2407,12,2402
2408,13,2407
2409,17,2225
2410,52,2409
2411,55,2410
2412,52,2411
2413,12,2412
2414,13,2413
2415,12,2412
2416,13,2415
2417,12,2412
2418,13,2417
2419,13,2411
2420,12,2410
2421,13,2420
2422,95,2107
2423,55,2422
2424,12,2423
2425,13,2424
2426,13,2423
2427,65,2422
2428,12,2427
2429,14,2428
2430,0,2427
2431,87,2422
2432,89,2431
2433,90,2432
2434,90,2432
2435,90,2432
2436,90,2432
2437,90,2432
2438,90,2432
2439,90,2432
2440,90,2432
2441,0,2432
2442,0,2432
2443,0,2432
2444,0,2432
2445,0,2432
2446,17,2431
2447,52,2446
2448,55,2447
2449,55,2448
2450,12,2449
2451,13,2450
2452,13,2449
2453,13,2448
2454,12,2447
2455,13,2454
2456,65,2431
2457,55,2456
2458,12,2457
2459,13,2458
2460,14,2457
2461,0,2456
2462,65,2431
2463,55,2462
2464,12,2463
2465,13,2464
2466,14,2463
2467,38,2462
2468,40,2467
2469,12,2467
2470,13,2469
2471,52,2467
2472,55,2471
2473,12,2472
2474,13,2473
2475,13,2472
2476,65,2431
2477,55,2476
2478,12,2477
2479,13,2478
2480,14,2477
2481,12,2476
2482,13,2481
2483,65,2431
2484,55,2483
2485,12,2484
2486,13,2485
2487,14,2484
2488,12,2483
2489,13,2488
2490,65,2431
2491,55,2490
2492,12,2491
2493,13,2492
2494,14,2491
2495,12,2490
2496,13,2495
2497,65,2431
2498,55,2497
2499,12,2498
2500,13,2499
2501,14,2498
2502,12,2497
2503,13,2502
2504,65,2431
2505,55,2504
2506,12,2505
2507,13,2506
2508,14,2505
2509,0,2504
2510,65,2431
2511,55,2510
2512,12,2511
2513,13,2512
2514,14,2511
2515,0,2510
2516,76,2431
2517,55,2516
2518,12,2517
2519,13,2518
2520,13,2517
2521,17,2516
2522,52,2521
2523,55,2522
2524,12,2523
2525,13,2524
2526,13,2523
2527,0,2522
2528,55,2522
2529,12,2528
2530,13,2529
2531,13,2528
2532,65,2516
2533,12,2532
2534,14,2533
2535,52,2532
2536,55,2535
2537,12,2536
2538,13,2537
2539,13,2536
2540,55,2535
2541,12,2540
2542,13,2541
2543,13,2540
2544,76,2516
2545,12,2544
2546,13,2545
2547,65,2544
2548,55,2547
2549,12,2548
2550,13,2549
2551,14,2548
2552,56,2547
2553,12,2552
2554,13,2553
2555,57,2552
2556,0,2555
2557,13,2552
2558,17,2516
2559,52,2558
2560,55,2559
2561,12,2560
2562,13,2561
2563,13,2560
2564,76,2516
2565,12,2564
2566,13,2565
2567,65,2564
2568,55,2567
2569,12,2568
2570,13,2569
2571,14,2568
2572,52,2567
2573,12,2572
2574,13,2573
2575,55,2572
2576,12,2575
2577,13,2576
2578,13,2575
2579,12,2572
2580,13,2579
2581,76,2431
2582,19,2581
2583,22,2582
2584,55,2582
2585,12,2584
2586,13,2585
2587,13,2584
2588,65,2581
2589,55,2588
2590,12,2589
2591,13,2590
2592,14,2589
2593,52,2588
2594,12,2593
2595,13,2594
2596,53,2593
2597,12,2596
2598,13,2597
2599,65,2431
2600,55,2599
2601,12,2600
2602,13,2601
2603,14,2600
2604,52,2599
2605,12,2604
2606,13,2605
2607,55,2604
2608,12,2607
2609,13,2608
2610,13,2607
2611,55,2604
2612,12,2611
2613,13,2612
2614,13,2611
2615,87,2422
2616,89,2615
2617,90,2616
2618,17,2615
2619,52,2618
2620,55,2619
2621,55,2620
2622,12,2621
2623,13,2622
2624,13,2621
2625,13,2620
2626,12,2619
2627,13,2626
2628,76,2615
2629,55,2628
2630,12,2629
2631,13,2630
2632,13,2629
2633,17,2628
2634,52,2633
2635,55,2634
2636,12,2635
2637,13,2636
2638,13,2635
2639,0,2634
2640,17,2628
2641,52,2640
2642,55,2641
2643,55,2642
2644,12,2643
2645,13,2644
2646,13,2643
2647,13,2642
2648,76,2615
2649,55,2648
2650,12,2649
2651,13,2650
2652,13,2649
2653,17,2648
2654,52,2653
2655,55,2654
2656,12,2655
2657,13,2656
2658,13,2655
2659,0,2654
2660,17,2648
2661,52,2660
2662,55,2661
2663,55,2662
2664,12,2663
2665,13,2664
2666,13,2663
2667,13,2662
2668,87,2422
2669,89,2668
2670,90,2669
2671,76,2668
2672,55,2671
2673,12,2672
2674,13,2673
2675,13,2672
2676,17,2671
2677,52,2676
2678,55,2677
2679,12,2678
2680,13,2679
2681,13,2678
2682,0,2677
2683,17,2671
2684,52,2683
2685,55,2684
2686,55,2685
2687,12,2686
2688,13,2687
2689,13,2686
2690,13,2685
2691,76,2668
2692,55,2691
2693,12,2692
2694,13,2693
2695,13,2692
2696,17,2691
2697,52,2696
2698,55,2697
2699,12,2698
2700,13,2699
2701,13,2698
2702,0,2697
2703,17,2691
2704,52,2703
2705,55,2704
2706,55,2705
2707,12,2706
2708,13,2707
2709,13,2706
2710,13,2705
2711,76,2668
2712,55,2711
2713,12,2712
2714,13,2713
2715,13,2712
2716,17,2711
2717,52,2716
2718,55,2717
2719,12,2718
2720,13,2719
2721,13,2718
2722,87,2422
2723,89,2722
2724,90,2723
2725,65,2722
2726,12,2725
2727,14,2726
2728,0,2725
2729,78,2722
2730,0,2729
2731,81,2729
2732,67,2731
2733,12,2732
2734,14,2733
2735,27,2732
2736,0,2732
2737,85,2731
2738,86,2737
2739,52,2738
2740,55,2739
2741,55,2740
2742,12,2741
2743,13,2742
2744,13,2741
2745,13,2740
2746,12,2738
2747,14,2746
2748,65,2737
2749,12,2748
2750,14,2749
2751,52,2748
2752,12,2751
2753,13,2752
2754,12,2751
2755,13,2754
2756,53,2751
2757,9,2756
2758,0,2757
2759,55,2757
2760,12,2759
2761,13,2760
2762,13,2759
2763,53,2751
2764,55,2763
2765,12,2764
2766,13,2765
2767,13,2764
2768,65,2737
2769,12,2768
2770,14,2769
2771,0,2768
2772,17,2737
2773,52,2772
2774,55,2773
2775,12,2774
2776,13,2775
2777,13,2774
2778,0,2773
2779,17,2737
2780,52,2779
2781,55,2780
2782,12,2781
2783,13,2782
2784,13,2781
2785,53,2780
2786,0,2785
2787,53,2780
2788,0,2787
2789,53,2780
2790,0,2789
2791,84,2731
2792,7,2791
2793,12,2792
2794,13,2793
2795,12,2792
2796,13,2795
2797,13,2792
2798,81,2791
2799,73,2798
2800,75,2799
2801,84,2798
2802,12,2801
2803,13,2802
2804,73,2801
2805,75,2804
2806,17,2791
2807,52,2806
2808,55,2807
2809,12,2808
2810,13,2809
2811,13,2808
2812,84,2731
2813,12,2812
2814,13,2813
2815,17,2812
2816,52,2815
2817,55,2816
2818,12,2817
2819,13,2818
2820,13,2817
