node_id,class_name,parent_id
9913,100,-1
9914,73,9913
9915,75,9914
9916,73,9913
9917,75,9916
9918,74,9913
9919,75,9918
9920,75,9918
9921,74,9913
9922,75,9921
9923,87,9913
9924,89,9923
9925,90,9924
9926,90,9924
9927,90,9924
9928,90,9924
9929,90,9924
9930,90,9924
9931,90,9924
9932,90,9924
9933,90,9924
9934,90,9924
9935,90,9924
9936,90,9924
9937,0,9924
9938,0,9924
9939,0,9924
9940,0,9924
9941,0,9924
9942,0,9924
9943,0,9924
9944,0,9924
9945,0,9924
9946,0,9924
9947,0,9924
9948,65,9923
9949,12,9948
9950,14,9949
9951,0,9948
9952,65,9923
9953,12,9952
9954,14,9953
9955,52,9952
9956,55,9955
9957,55,9956
9958,12,9957
9959,13,9958
9960,13,9957
9961,13,9956
9962,76,9923
9963,41,9962
9964,12,9963
9965,13,9964
9966,49,9963
9967,0,9963
9968,65,9962
9969,12,9968
9970,14,9969
9971,52,9968
9972,12,9971
9973,13,9972
9974,12,9971
9975,13,9974
9976,12,9971
9977,13,9976
9978,87,9923
9979,89,9978
9980,90,9979
9981,91,9978
9982,52,9981
9983,55,9982
9984,12,9983
9985,13,9984
9986,13,9983
9987,52,9982
9988,55,9987
9989,52,9988
9990,55,9989
9991,55,9990
9992,12,9991
9993,13,9992
9994,13,9991
9995,13,9990
9996,12,9989
9997,13,9996
9998,0,9989
9999,13,9988
10000,65,9923
10001,12,10000
10002,14,10001
10003,52,10000
10004,12,10003
10005,13,10004
10006,38,10003
10007,40,10006
10008,12,10006
10009,13,10008
10010,9,10006
10011,77,9923
10012,7,10011
10013,12,10012
10014,14,10013
10015,12,10012
10016,14,10015
10017,14,10012
10018,12,10011
10019,13,10018
10020,76,10011
10021,38,10020
10022,39,10021
10023,12,10021
10024,13,10023
10025,41,10021
10026,55,10025
10027,12,10026
10028,13,10027
10029,13,10026
10030,43,10025
10031,12,10025
10032,13,10031
10033,80,10020
10034,76,10011
10035,38,10034
10036,39,10035
10037,12,10035
10038,13,10037
10039,55,10035
10040,12,10039
10041,13,10040
10042,13,10039
10043,41,10035
10044,55,10043
10045,55,10044
10046,12,10045
10047,13,10046
10048,13,10045
10049,13,10044
10050,43,10043
10051,12,10043
10052,13,10051
10053,80,10034
10054,76,10011
10055,38,10054
10056,39,10055
10057,12,10055
10058,13,10057
10059,41,10055
10060,55,10059
10061,12,10060
10062,13,10061
10063,13,10060
10064,43,10059
10065,12,10059
10066,13,10065
10067,80,10054
10068,76,10011
10069,38,10068
10070,39,10069
10071,12,10069
10072,13,10071
10073,55,10069
10074,12,10073
10075,13,10074
10076,13,10073
10077,41,10069
