node_id,class_name,parent_id
10962,100,-1
10963,73,10962
10964,75,10963
10965,73,10962
10966,75,10965
10967,73,10962
10968,75,10967
10969,73,10962
10970,75,10969
10971,74,10962
10972,75,10971
10973,73,10962
10974,75,10973
10975,73,10962
10976,75,10975
10977,73,10962
10978,75,10977
10979,74,10962
10980,75,10979
10981,74,10962
10982,75,10981
10983,74,10962
10984,75,10983
10985,95,10962
10986,12,10985
10987,13,10986
10988,55,10985
10989,55,10988
10990,12,10989
10991,13,10990
10992,13,10989
10993,13,10988
10994,65,10985
10995,12,10994
10996,14,10995
10997,0,10994
10998,87,10985
10999,89,10998
11000,90,10999
11001,65,10998
11002,12,11001
11003,14,11002
11004,56,11001
11005,56,11004
11006,55,11005
11007,12,11006
11008,13,11007
11009,13,11006
11010,57,11005
11011,55,11010
11012,12,11011
11013,13,11012
11014,13,11011
11015,13,11005
11016,57,11004
11017,0,11016
11018,13,11004
11019,76,10998
11020,52,11019
11021,55,11020
11022,12,11021
11023,13,11022
11024,13,11021
11025,0,11020
11026,0,11020
11027,65,11019
11028,12,11027
11029,14,11028
11030,92,11027
11031,52,11030
11032,55,11031
11033,12,11032
11034,13,11033
11035,13,11032
11036,53,11031
11037,12,11036
11038,13,11037
11039,53,11031
11040,52,11039
11041,55,11040
11042,12,11041
11043,13,11042
11044,13,11041
11045,0,11040
11046,17,11019
11047,92,11046
11048,52,11047
11049,55,11048
11050,12,11049
11051,13,11050
11052,13,11049
11053,12,11048
11054,13,11053
11055,17,11019
11056,92,11055
11057,52,11056
11058,55,11057
11059,12,11058
11060,13,11059
11061,13,11058
11062,53,11057
11063,12,11062
11064,13,11063
11065,53,11057
11066,56,11065
11067,56,11066
11068,55,11067
11069,12,11068
11070,13,11069
11071,13,11068
11072,57,11067
11073,55,11072
11074,12,11073
11075,13,11074
11076,13,11073
11077,13,11067
11078,57,11066
11079,0,11078
11080,13,11066
11081,53,11057
11082,6,11081
11083,0,11082
11084,0,11082
11085,13,11082
11086,53,11057
11087,0,11086
11088,53,11057
11089,9,11088
11090,0,11089
11091,0,11089
11092,55,10998
11093,55,11092
11094,12,11093
11095,13,11094
11096,13,11093
11097,13,11092
11098,87,10985
11099,89,11098
11100,90,11099
11101,90,11099
11102,76,11098
11103,19,11102
11104,22,11103
11105,12,11103
11106,13,11105
11107,69,11102
11108,52,11107
11109,55,11108
11110,55,11109
11111,12,11110
11112,13,11111
11113,13,11110
11114,13,11109
11115,0,11108
11116,0,11108
11117,65,11098
11118,12,11117
11119,14,11118
11120,56,11117
11121,12,11120
11122,13,11121
11123,57,11120
11124,0,11123
11125,13,11120
11126,81,11098
11127,65,11126
11128,12,11127
11129,14,11128
11130,92,11127
11131,52,11130
11132,55,11131
11133,52,11132
11134,55,11133
11135,12,11134
11136,13,11135
11137,13,11134
11138,13,11132
11139,0,11131
11140,53,11131
11141,9,11140
11142,0,11141
11143,24,11141
11144,0,11143
11145,30,11143
11146,12,11143
11147,13,11146
11148,84,11126
11149,12,11148
11150,13,11149
11151,69,11148
11152,52,11151
11153,55,11152
