node_id,class_name,parent_id,Generator
5873,100,-1,0
5874,73,5873,0
5875,75,5874,0
5876,73,5873,0
5877,75,5876,0
5878,74,5873,0
5879,75,5878,0
5880,74,5873,0
5881,75,5880,0
5882,74,5873,0
5883,75,5882,0
5884,74,5873,0
5885,75,5884,0
5886,74,5873,0
5887,75,5886,0
5888,74,5873,0
5889,75,5888,0
5890,74,5873,0
5891,75,5890,0
5892,74,5873,0
5893,75,5892,0
5894,74,5873,0
5895,75,5894,0
5896,74,5873,0
5897,75,5896,0
5898,74,5873,0
5899,75,5898,0
5900,74,5873,0
5901,75,5900,0
5902,74,5873,0
5903,75,5902,0
5904,74,5873,0
5905,75,5904,0
5906,74,5873,0
5907,75,5906,0
5908,65,5873,0
5909,12,5908,0
5910,14,5909,0
5911,52,5908,0
5912,55,5911,0
5913,12,5912,0
5914,13,5913,0
5915,13,5912,0
5916,12,5911,0
5917,13,5916,0
5918,95,5873,0
5919,12,5918,0
5920,13,5919,0
5921,65,5918,0
5922,12,5921,0
5923,14,5922,0
5924,0,5921,0
5925,87,5918,0
5926,89,5925,0
5927,90,5926,0
5928,81,5925,0
5929,65,5928,0
5930,12,5929,0
5931,14,5930,0
5932,55,5929,0
5933,55,5932,0
5934,12,5933,0
5935,13,5934,0
5936,13,5933,0
5937,13,5932,0
5938,65,5928,0
5939,12,5938,0
5940,14,5939,0
5941,54,5938,0
5942,12,5941,0
5943,13,5942,0
5944,52,5941,0
5945,12,5944,0
5946,13,5945,0
5947,12,5944,0
5948,13,5947,0
5949,9,5941,0
5950,84,5928,0
5951,12,5950,0
5952,13,5951,0
5953,69,5950,0
5954,52,5953,0
5955,12,5954,0
5956,13,5955,0
5957,0,5954,0
5958,52,5954,0
5959,12,5958,0
5960,13,5959,0
5961,12,5958,0
5962,13,5961,0
5963,76,5925,0
5964,19,5963,0
5965,22,5964,0
5966,52,5964,0
5967,12,5966,0
5968,13,5967,0
5969,12,5966,0
5970,13,5969,0
5971,12,5966,0
5972,13,5971,0
5973,69,5963,0
5974,52,5973,0
5975,12,5974,0
5976,13,5975,0
5977,0,5974,0
5978,0,5974,0
5979,65,5925,0
5980,12,5979,0
5981,14,5980,0
5982,52,5979,0
5983,55,5982,0
5984,12,5983,0
5985,13,5984,0
5986,13,5983,0
5987,0,5982,0
5988,6,5982,0
5989,13,5988,0
5990,65,5925,0
5991,12,5990,0
5992,14,5991,0
5993,52,5990,0
5994,55,5993,0
5995,12,5994,0
5996,13,5995,0
5997,13,5994,0
5998,0,5993,0
5999,9,5993,0
6000,76,5925,0
6001,19,6000,0
6002,22,6001,0
6003,52,6001,0
6004,12,6003,0
6005,13,6004,0
6006,12,6003,0
6007,13,6006,0
6008,7,6003,0
6009,12,6008,0
6010,13,6009,0
6011,12,6008,0
6012,13,6011,0
6013,13,6008,0
6014,69,6000,0
6015,52,6014,0
6016,12,6015,0
6017,13,6016,0
6018,0,6015,0
6019,0,6015,0
6020,91,5925,0
6021,7,6020,0
6022,12,6021,0
6023,13,6022,0
6024,12,6021,0
6025,13,6024,0
6026,12,6021,0
6027,13,6026,0
6028,13,6021,0
6029,87,5918,0
6030,89,6029,0
6031,90,6030,0
6032,91,6029,0
6033,19,6032,0
6034,22,6033,0
6035,52,6033,0
6036,12,6035,0
6037,13,6036,0
6038,55,6035,0
6039,12,6038,0
6040,13,6039,0
6041,13,6038,0
6042,12,6035,0
6043,13,6042,0
6044,12,6029,0
6045,13,6044,0
6046,87,5918,0
6047,89,6046,0
6048,90,6047,0
6049,90,6047,0
6050,90,6047,0
6051,17,6046,0
6052,52,6051,0
6053,55,6052,0
6054,12,6053,0
6055,13,6054,0
6056,13,6053,0
6057,12,6052,0
6058,13,6057,0
6059,87,5918,0
6060,89,6059,0
6061,90,6060,0
6062,90,6060,0
6063,90,6060,0
6064,76,6059,0
6065,41,6064,0
6066,55,6065,0
6067,12,6066,0
6068,13,6067,0
6069,13,6066,0
6070,42,6065,0
6071,55,6065,0
6072,12,6071,0
6073,13,6072,0
6074,13,6071,0
6075,17,6064,0
6076,52,6075,0
6077,55,6076,0
6078,12,6077,0
6079,13,6078,0
6080,13,6077,0
6081,9,6076,0
6082,0,6081,0
6083,0,6081,0
6084,52,6081,0
6085,55,6084,0
6086,12,6085,0
6087,13,6086,0
6088,13,6085,0
6089,55,6084,0
6090,12,6089,0
6091,13,6090,0
6092,13,6089,0
6093,55,6081,0
6094,12,6093,0
6095,13,6094,0
6096,13,6093,0
6097,17,6064,0
6098,52,6097,0
6099,55,6098,0
6100,12,6099,0
6101,13,6100,0
6102,13,6099,0
6103,9,6098,0
6104,0,6103,0
6105,52,6103,0
6106,55,6105,0
6107,12,6106,0
6108,13,6107,0
6109,13,6106,0
6110,55,6105,0
6111,12,6110,0
6112,13,6111,0
6113,13,6110,0
6114,87,5918,0
6115,89,6114,0
6116,90,6115,0
6117,90,6115,0
6118,76,6114,0
6119,41,6118,0
6120,0,6119,0
6121,50,6119,0
6122,12,6119,0
6123,13,6122,0
6124,65,6118,0
6125,56,6124,0
6126,12,6125,0
6127,13,6126,0
6128,57,6125,0
6129,0,6128,0
