node_id,class_name,parent_id,Generator
10962,100,-1,0
10963,73,10962,0
10964,75,10963,0
10965,73,10962,0
10966,75,10965,0
10967,73,10962,0
10968,75,10967,0
10969,73,10962,0
10970,75,10969,0
10971,74,10962,0
10972,75,10971,0
10973,73,10962,0
10974,75,10973,0
10975,73,10962,0
10976,75,10975,0
10977,73,10962,0
10978,75,10977,0
10979,74,10962,0
10980,75,10979,0
10981,74,10962,0
10982,75,10981,0
10983,74,10962,0
10984,75,10983,0
10985,95,10962,0
10986,12,10985,0
10987,13,10986,0
10988,55,10985,0
10989,55,10988,0
10990,12,10989,0
10991,13,10990,0
10992,13,10989,0
10993,13,10988,0
10994,65,10985,0
10995,12,10994,0
10996,14,10995,0
10997,0,10994,0
10998,87,10985,1
10999,89,10998,1
11000,90,10999,1
11001,65,10998,1
11002,12,11001,1
11003,14,11002,1
11004,56,11001,1
11005,56,11004,1
11006,55,11005,1
11007,12,11006,1
11008,13,11007,1
11009,13,11006,1
11010,57,11005,1
11011,55,11010,1
11012,12,11011,1
11013,13,11012,1
11014,13,11011,1
11015,13,11005,1
11016,57,11004,1
11017,0,11016,1
11018,13,11004,1
11019,76,10998,1
11020,52,11019,1
11021,55,11020,1
11022,12,11021,1
11023,13,11022,1
11024,13,11021,1
11025,0,11020,1
11026,0,11020,1
11027,65,11019,1
11028,12,11027,1
11029,14,11028,1
11030,92,11027,1
11031,52,11030,1
11032,55,11031,1
11033,12,11032,1
11034,13,11033,1
11035,13,11032,1
11036,53,11031,1
11037,12,11036,1
11038,13,11037,1
11039,53,11031,1
11040,52,11039,1
11041,55,11040,1
11042,12,11041,1
11043,13,11042,1
11044,13,11041,1
11045,0,11040,1
11046,17,11019,1
11047,92,11046,1
11048,52,11047,1
11049,55,11048,1
11050,12,11049,1
11051,13,11050,1
11052,13,11049,1
11053,12,11048,1
11054,13,11053,1
11055,17,11019,1
11056,92,11055,1
11057,52,11056,1
11058,55,11057,1
11059,12,11058,1
11060,13,11059,1
11061,13,11058,1
11062,53,11057,1
11063,12,11062,1
11064,13,11063,1
11065,53,11057,1
11066,56,11065,1
11067,56,11066,1
11068,55,11067,1
11069,12,11068,1
11070,13,11069,1
11071,13,11068,1
11072,57,11067,1
11073,55,11072,1
11074,12,11073,1
11075,13,11074,1
11076,13,11073,1
11077,13,11067,1
11078,57,11066,1
11079,0,11078,1
11080,13,11066,1
11081,53,11057,1
11082,6,11081,1
11083,0,11082,1
11084,0,11082,1
11085,13,11082,1
11086,53,11057,1
11087,0,11086,1
11088,53,11057,1
11089,9,11088,1
11090,0,11089,1
11091,0,11089,1
11092,55,10998,1
11093,55,11092,1
11094,12,11093,1
11095,13,11094,1
11096,13,11093,1
11097,13,11092,1
11098,87,10985,1
11099,89,11098,1
11100,90,11099,1
11101,90,11099,1
11102,76,11098,1
11103,19,11102,1
11104,22,11103,1
11105,12,11103,1
11106,13,11105,1
11107,69,11102,1
11108,52,11107,1
11109,55,11108,1
11110,55,11109,1
11111,12,11110,1
11112,13,11111,1
11113,13,11110,1
11114,13,11109,1
11115,0,11108,1
11116,0,11108,1
11117,65,11098,1
11118,12,11117,1
11119,14,11118,1
11120,56,11117,1
11121,12,11120,1
11122,13,11121,1
11123,57,11120,1
11124,0,11123,1
11125,13,11120,1
11126,81,11098,1
11127,65,11126,1
11128,12,11127,1
11129,14,11128,1
11130,92,11127,1
11131,52,11130,1
11132,55,11131,1
11133,52,11132,1
11134,55,11133,1
11135,12,11134,1
11136,13,11135,1
11137,13,11134,1
11138,13,11132,1
11139,0,11131,1
11140,53,11131,1
11141,9,11140,1
11142,0,11141,1
11143,24,11141,1
11144,0,11143,1
11145,30,11143,1
11146,12,11143,1
11147,13,11146,1
11148,84,11126,1
11149,12,11148,1
11150,13,11149,1
11151,69,11148,1
11152,52,11151,1
11153,55,11152,1
11154,55,11153,1
11155,12,11154,1
11156,13,11155,1
11157,13,11154,1
11158,13,11153,1
11159,0,11152,1
11160,24,11152,1
11161,0,11160,1
11162,30,11160,1
11163,12,11160,1
11164,13,11163,1
11165,65,11098,1
11166,12,11165,1
11167,14,11166,1
11168,56,11165,1
11169,52,11168,1
11170,55,11169,1
11171,12,11170,1
11172,13,11171,1
11173,13,11170,1
11174,52,11169,1
11175,55,11174,1
11176,55,11175,1
11177,12,11176,1
11178,13,11177,1
11179,13,11176,1
11180,13,11175,1
11181,0,11174,1
11182,57,11168,1
11183,0,11182,1
11184,13,11168,1
11185,76,11098,1
11186,19,11185,1
11187,22,11186,1
11188,52,11186,1
11189,55,11188,1
11190,12,11189,1
11191,13,11190,1
11192,13,11189,1
11193,55,11188,1
11194,55,11193,1
11195,55,11194,1
11196,12,11195,1
11197,13,11196,1
11198,13,11195,1
11199,13,11194,1
11200,13,11193,1
11201,12,11188,1
11202,13,11201,1
11203,65,11185,1
11204,12,11203,1
11205,14,11204,1
11206,52,11203,1
11207,55,11206,1
11208,0,11207,1
11209,13,11207,1
11210,53,11206,1
11211,12,11210,1
11212,13,11211,1
11213,69,11185,1
11214,52,11213,1
11215,55,11214,1
11216,55,11215,1
11217,12,11216,1
11218,13,11217,1
11219,13,11216,1
11220,13,11215,1
11221,0,11214,1
11222,12,11214,1
11223,13,11222,1
11224,17,11098,1
11225,52,11224,1
11226,55,11225,1
11227,12,11226,1
11228,13,11227,1
11229,13,11226,1
11230,0,11225,1
11231,52,11225,1
11232,12,11231,1
11233,13,11232,1
11234,12,11231,1
11235,13,11234,1
11236,65,11098,1
11237,12,11236,1
11238,14,11237,1
11239,52,11236,1
11240,55,11239,1
11241,12,11240,1
11242,13,11241,1
11243,13,11240,1
11244,0,11239,1
11245,38,11239,1
11246,40,11245,1
11247,55,11245,1
11248,55,11247,1
11249,55,11248,1
11250,12,11249,1
11251,13,11250,1
11252,13,11249,1
11253,13,11248,1
11254,13,11247,1
11255,0,11245,1
11256,76,11098,1
11257,38,11256,1
11258,39,11257,1
11259,55,11257,1
11260,55,11259,1
11261,55,11260,1
11262,12,11261,1
11263,13,11262,1
11264,13,11261,1
11265,13,11260,1
11266,13,11259,1
11267,41,11257,1
11268,56,11267,1
11269,12,11268,1
11270,13,11269,1
11271,57,11268,1
11272,0,11271,1
11273,13,11268,1
11274,43,11267,1
11275,0,11267,1
11276,65,11256,1
11277,12,11276,1
11278,14,11277,1
11279,24,11276,1
11280,0,11279,1
11281,25,11279,1
11282,12,11279,1
11283,13,11282,1
11284,17,11098,1
11285,52,11284,1
11286,55,11285,1
11287,12,11286,1
11288,13,11287,1
11289,13,11286,1
11290,12,11285,1
11291,13,11290,1
11292,55,11098,1
11293,55,11292,1
11294,12,11293,1
11295,13,11294,1
11296,13,11293,1
11297,13,11292,1
11298,95,10962,0
11299,12,11298,0
11300,13,11299,0
11301,87,11298,0
11302,89,11301,0
11303,90,11302,0
11304,90,11302,0
11305,90,11302,0
11306,91,11301,0
11307,52,11306,0
11308,12,11307,0
11309,13,11308,0
11310,55,11307,0
