node_id,class_name,parent_id
1494,100,-1
1495,17,1494
1496,0,1495
1497,74,1494
1498,75,1497
1499,74,1494
1500,75,1499
1501,74,1494
1502,75,1501
1503,74,1494
1504,75,1503
1505,75,1503
1506,75,1503
1507,74,1494
1508,75,1507
1509,75,1507
1510,75,1507
1511,75,1507
1512,75,1507
1513,75,1507
1514,75,1507
1515,75,1507
1516,75,1507
1517,75,1507
1518,95,1494
1519,56,1518
1520,12,1519
1521,13,1520
1522,57,1519
1523,12,1522
1524,13,1523
1525,13,1519
1526,65,1518
1527,12,1526
1528,14,1527
1529,55,1526
1530,12,1529
1531,13,1530
1532,13,1529
1533,87,1518
1534,89,1533
1535,90,1534
1536,90,1534
1537,12,1536
1538,13,1537
1539,66,1533
1540,55,1539
1541,12,1540
1542,13,1541
1543,14,1540
1544,56,1539
1545,12,1544
1546,13,1545
1547,57,1544
1548,12,1547
1549,13,1548
1550,13,1544
1551,6,1539
1552,13,1551
1553,66,1533
1554,55,1553
1555,12,1554
1556,13,1555
1557,14,1554
1558,56,1553
1559,12,1558
1560,13,1559
1561,57,1558
1562,12,1561
1563,13,1562
1564,13,1558
1565,52,1553
1566,12,1565
1567,13,1566
1568,17,1533
1569,52,1568
1570,55,1569
1571,52,1570
1572,12,1571
1573,13,1572
1574,13,1570
1575,12,1569
1576,13,1575
1577,0,1533
1578,87,1518
1579,89,1578
1580,90,1579
1581,90,1579
1582,17,1578
1583,52,1582
1584,55,1583
1585,55,1584
1586,12,1585
1587,13,1586
1588,13,1585
1589,13,1584
1590,12,1583
1591,13,1590
1592,17,1578
1593,52,1592
1594,55,1593
1595,55,1594
1596,12,1595
1597,13,1596
1598,13,1595
1599,13,1594
1600,55,1593
1601,12,1600
1602,13,1601
1603,13,1600
1604,87,1518
1605,89,1604
1606,90,1605
1607,65,1604
1608,12,1607
1609,14,1608
1610,52,1607
1611,55,1610
1612,55,1611
1613,12,1612
1614,13,1613
1615,13,1612
1616,13,1611
1617,55,1610
1618,12,1617
1619,13,1618
1620,13,1617
1621,91,1604
1622,60,1621
1623,52,1622
1624,12,1623
1625,13,1624
1626,53,1623
1627,55,1626
1628,12,1627
1629,13,1628
1630,13,1627
1631,53,1623
1632,4,1631
1633,3,1632
1634,55,1633
1635,56,1634
1636,12,1635
1637,13,1636
1638,57,1635
1639,55,1638
1640,12,1639
1641,13,1640
1642,13,1639
1643,13,1635
1644,13,1634
1645,0,1632
1646,53,1623
1647,55,1646
1648,12,1647
1649,13,1648
1650,13,1647
1651,64,1622
1652,12,1651
1653,14,1652
1654,55,1651
1655,12,1654
1656,13,1655
1657,13,1654
1658,95,1494
1659,56,1658
1660,12,1659
1661,13,1660
1662,57,1659
1663,12,1662
1664,13,1663
1665,13,1659
1666,65,1658
1667,12,1666
1668,14,1667
1669,55,1666
1670,12,1669
1671,13,1670
1672,13,1669
1673,87,1658
1674,89,1673
1675,90,1674
1676,90,1674
1677,12,1676
1678,13,1677
1679,66,1673
1680,55,1679
1681,12,1680
1682,13,1681
1683,14,1680
1684,56,1679
1685,12,1684
1686,13,1685
1687,57,1684
1688,7,1687
1689,12,1688
1690,13,1689
1691,56,1688
1692,12,1691
1693,13,1692
1694,57,1691
1695,12,1694
1696,13,1695
1697,13,1691
1698,13,1688
1699,13,1684
1700,9,1679
1701,66,1673
1702,55,1701
1703,12,1702
1704,13,1703
1705,14,1702
1706,56,1701
1707,12,1706
1708,13,1707
1709,57,1706
1710,12,1709
1711,13,1710
1712,13,1706
1713,52,1701
1714,12,1713
1715,13,1714
1716,17,1673
1717,52,1716
1718,55,1717
1719,52,1718
1720,12,1719
1721,13,1720
1722,13,1718
1723,12,1717
1724,13,1723
1725,0,1673
1726,87,1658
1727,89,1726
1728,90,1727
1729,90,1727
1730,17,1726
1731,52,1730
1732,55,1731
1733,52,1732
1734,55,1733
1735,55,1734
1736,12,1735
1737,13,1736
1738,13,1735
1739,13,1734
1740,55,1733
1741,12,1740
1742,13,1741
1743,13,1740
1744,6,1733
1745,13,1744
1746,13,1732
1747,12,1731
1748,13,1747
1749,17,1726
1750,52,1749
1751,55,1750
1752,55,1751
1753,12,1752
1754,13,1753
1755,13,1752
1756,13,1751
1757,55,1750
1758,12,1757
1759,13,1758
1760,13,1757
1761,87,1658
1762,89,1761
1763,90,1762
1764,65,1761
1765,12,1764
1766,14,1765
1767,52,1764
1768,55,1767
1769,55,1768
1770,12,1769
1771,13,1770
1772,13,1769
1773,13,1768
1774,52,1767
1775,55,1774
1776,55,1775
1777,12,1776
1778,13,1777
1779,13,1776
1780,13,1775
1781,65,1761
1782,12,1781
1783,14,1782
1784,52,1781
1785,55,1784
1786,55,1785
1787,12,1786
1788,13,1787
1789,13,1786
1790,13,1785
1791,55,1784
1792,12,1791
1793,13,1792
1794,13,1791
1795,91,1761
1796,60,1795
1797,52,1796
1798,12,1797
1799,13,1798
1800,53,1797
1801,55,1800
1802,12,1801
1803,13,1802
1804,13,1801
1805,53,1797
1806,52,1805
1807,55,1806
1808,12,1807
1809,13,1808
1810,13,1807
1811,12,1806
1812,13,1811
1813,56,1806
1814,12,1813
1815,13,1814
1816,57,1813
1817,12,1816
1818,13,1817
1819,13,1813
1820,12,1806
1821,13,1820
1822,53,1797
1823,52,1822
1824,12,1823
1825,13,1824
1826,62,1823
1827,55,1826
1828,12,1827
1829,13,1828
1830,13,1827
1831,64,1826
1832,12,1831
1833,14,1832
1834,12,1831
1835,13,1834
1836,64,1796
1837,7,1836
1838,12,1837
1839,14,1838
1840,12,1837
1841,14,1840
1842,14,1837
1843,52,1836
1844,55,1843
1845,55,1844
1846,12,1845
1847,13,1846
1848,13,1845
1849,13,1844
1850,87,1658
1851,89,1850
1852,90,1851
1853,90,1851
1854,90,1851
1855,90,1851
1856,56,1855
1857,12,1856
1858,13,1857
1859,57,1856
1860,7,1859
1861,12,1860
1862,13,1861
1863,12,1860
1864,13,1863
1865,13,1860
1866,13,1856
1867,65,1850
1868,12,1867
1869,14,1868
1870,60,1867
1871,55,1870
1872,56,1871
1873,12,1872
1874,13,1873
1875,57,1872
1876,55,1875
1877,12,1876
1878,13,1877
1879,13,1876
1880,13,1872
1881,13,1871
1882,64,1870
1883,12,1882
1884,14,1883
1885,12,1882
1886,13,1885
1887,65,1850
1888,12,1887
1889,14,1888
1890,4,1887
1891,0,1890
1892,3,1890
1893,55,1892
1894,12,1893
1895,13,1894
1896,13,1893
1897,0,1890
1898,76,1850
1899,41,1898
1900,52,1899
1901,12,1900
1902,13,1901
1903,12,1900
1904,13,1903
1905,42,1899
1906,0,1899
1907,91,1898
1908,4,1907
1909,3,1908
1910,56,1909
1911,12,1910
1912,13,1911
1913,57,1910
1914,0,1913
1915,13,1910
1916,0,1908
1917,3,1908
1918,12,1917
1919,13,1918
1920,0,1908
1921,76,1898
1922,41,1921
1923,52,1922
1924,12,1923
1925,13,1924
1926,12,1923
1927,13,1926
1928,42,1922
1929,0,1922
1930,91,1921
1931,4,1930
1932,3,1931
1933,56,1932
1934,12,1933
1935,13,1934
1936,57,1933
1937,0,1936
1938,13,1933
1939,0,1931
1940,3,1931
1941,56,1940
1942,12,1941
1943,13,1942
1944,57,1941
1945,0,1944
1946,13,1941
1947,0,1931
1948,3,1931
1949,12,1948
1950,13,1949
1951,0,1931
1952,91,1921
1953,4,1952
1954,3,1953
1955,56,1954
1956,12,1955
1957,13,1956
1958,57,1955
1959,0,1958
1960,13,1955
1961,0,1953
1962,3,1953
1963,56,1962
1964,12,1963
1965,13,1964
1966,57,1963
1967,0,1966
1968,13,1963
1969,0,1953
1970,3,1953
1971,24,1970
1972,52,1971
1973,12,1972
1974,13,1973
1975,12,1972
1976,13,1975
1977,26,1971
1978,0,1971
1979,0,1953
1980,3,1953
1981,12,1980
1982,13,1981
1983,0,1953
1984,95,1494
1985,56,1984
1986,12,1985
1987,13,1986
1988,57,1985
1989,12,1988
1990,13,1989
1991,13,1985
1992,65,1984
1993,12,1992
1994,14,1993
1995,55,1992
1996,12,1995
1997,13,1996
1998,13,1995
1999,87,1984
2000,89,1999
2001,90,2000
2002,90,2000
2003,12,2002
2004,13,2003
2005,66,1999
2006,55,2005
2007,12,2006
2008,13,2007
2009,14,2006
2010,56,2005
2011,12,2010
2012,13,2011
2013,57,2010
2014,12,2013
2015,13,2014
2016,13,2010
2017,6,2005
2018,13,2017
2019,66,1999
2020,55,2019
2021,12,2020
2022,13,2021
2023,14,2020
2024,56,2019
2025,12,2024
2026,13,2025
2027,57,2024
2028,12,2027
2029,13,2028
2030,13,2024
2031,52,2019
2032,12,2031
2033,13,2032
2034,17,1999
2035,52,2034
2036,55,2035
2037,52,2036
2038,12,2037
2039,13,2038
2040,13,2036
2041,12,2035
2042,13,2041
2043,0,1999
2044,87,1984
