node_id,class_name,parent_id
217,100,-1
218,73,217
219,75,218
220,73,217
221,75,220
222,73,217
223,75,222
224,73,217
225,75,224
226,73,217
227,75,226
228,74,217
229,75,228
230,75,228
231,74,217
232,75,231
233,74,217
234,75,233
235,75,233
236,74,217
237,75,236
238,75,236
239,75,236
240,75,236
241,75,236
242,75,236
243,75,236
244,81,217
245,74,244
246,75,245
247,84,244
248,12,247
249,13,248
250,65,247
251,12,250
252,14,251
253,0,250
254,74,217
255,75,254
256,74,217
257,75,256
258,65,217
259,12,258
260,14,259
261,52,258
262,55,261
263,12,262
264,13,263
265,13,262
266,12,261
267,13,266
268,95,217
269,17,268
270,0,269
271,87,268
272,89,271
273,90,272
274,90,272
275,12,274
276,13,275
277,90,272
278,56,277
279,12,278
280,13,279
281,57,278
282,7,281
283,12,282
284,13,283
285,12,282
286,13,285
287,13,282
288,13,278
289,90,272
290,56,289
291,12,290
292,13,291
293,57,290
294,12,293
295,13,294
296,13,290
297,90,272
298,56,297
299,12,298
300,13,299
301,57,298
302,12,301
303,13,302
304,13,298
305,0,272
306,0,272
307,17,271
308,0,307
309,65,271
310,55,309
311,12,310
312,13,311
313,14,310
314,12,309
315,13,314
316,65,271
317,55,316
318,12,317
319,13,318
320,14,317
321,12,316
322,13,321
323,65,271
324,55,323
325,12,324
326,13,325
327,14,324
328,12,323
329,13,328
330,65,271
331,55,330
332,12,331
333,13,332
334,14,331
335,12,330
336,13,335
337,0,271
338,87,268
339,89,338
340,90,339
341,90,339
342,12,341
343,13,342
344,76,338
345,52,344
346,12,345
347,13,346
348,12,345
349,13,348
350,55,345
351,12,350
352,13,351
353,13,350
354,91,344
355,41,354
356,55,355
357,12,356
358,13,357
359,13,356
360,42,355
361,55,355
362,12,361
363,13,362
364,13,361
365,91,338
366,12,365
367,13,366
368,12,338
369,13,368
370,87,268
371,89,370
372,90,371
373,91,370
374,24,373
375,0,374
376,30,374
377,7,374
378,55,377
379,12,378
380,13,379
381,13,378
382,55,377
383,12,382
384,13,383
385,13,382
386,55,377
387,12,386
388,13,387
389,13,386
390,55,377
391,12,390
392,13,391
393,13,390
394,13,377
395,12,370
396,13,395
397,87,268
398,89,397
399,90,398
400,91,397
401,52,400
402,12,401
403,13,402
404,7,401
405,55,404
406,12,405
407,13,406
408,13,405
409,52,404
410,12,409
411,13,410
412,52,409
413,55,412
414,55,413
415,12,414
416,13,415
417,13,414
418,13,413
419,55,404
420,12,419
421,13,420
422,13,419
423,55,404
424,12,423
425,13,424
426,13,423
427,13,404
428,12,397
429,13,428
430,87,268
431,89,430
432,90,431
433,90,431
434,12,433
435,13,434
436,76,430
437,41,436
438,55,437
439,12,438
440,13,439
441,13,438
442,48,437
443,0,437
444,65,436
445,55,444
446,12,445
447,13,446
448,14,445
449,12,444
450,13,449
451,65,436
452,55,451
453,12,452
454,13,453
455,14,452
456,56,451
457,12,456
458,13,457
459,57,456
460,7,459
461,55,460
462,12,461
463,13,462
464,13,461
465,12,460
466,13,465
467,13,460
468,13,456
469,0,430
470,87,268
471,89,470
472,90,471
473,91,470
474,52,473
475,12,474
476,13,475
477,55,474
478,12,477
479,13,478
480,13,477
481,12,470
482,13,481
483,12,470
484,13,483
485,95,217
486,53,485
487,12,486
488,13,487
489,17,485
490,0,489
491,87,485
492,89,491
493,90,492
494,90,492
495,12,494
496,13,495
497,17,491
498,0,497
499,72,491
500,12,491
501,13,500
502,0,491
503,87,485
504,89,503
505,90,504
506,17,503
507,0,506
508,72,503
509,0,503
510,87,217
511,89,510
512,90,511
513,12,512
514,13,513
515,90,511
516,12,515
517,13,516
518,17,510
519,0,518
520,65,510
521,12,520
522,14,521
523,52,520
524,55,523
525,12,524
526,13,525
527,13,524
528,12,523
529,13,528
530,55,523
531,12,530
532,13,531
533,13,530
534,0,523
535,76,510
536,41,535
537,12,536
538,13,537
539,48,536
540,0,536
541,91,535
542,0,541
543,76,510
544,52,543
545,12,544
546,13,545
547,12,544
548,13,547
549,7,544
550,12,549
551,13,550
552,12,549
553,13,552
554,13,549
555,65,543
556,12,555
557,14,556
558,55,555
559,12,558
560,13,559
561,13,558
562,76,543
563,38,562
564,39,563
565,52,563
566,12,565
567,13,566
568,12,565
569,13,568
570,12,565
571,13,570
572,41,563
573,55,572
574,12,573
575,13,574
576,13,573
577,48,572
578,0,572
579,41,563
580,55,579
581,12,580
582,13,581
583,13,580
584,48,579
585,0,579
586,65,562
587,12,586
588,14,587
589,52,586
590,12,589
591,13,590
592,12,589
593,13,592
594,55,589
595,12,594
596,13,595
597,13,594
598,76,562
599,38,598
600,39,599
601,12,599
602,13,601
603,52,599
604,12,603
605,13,604
606,12,603
607,13,606
608,12,603
609,13,608
610,65,598
611,12,610
612,14,611
613,52,610
614,12,613
