node_id,class_name,parent_id
7856,100,-1
7857,73,7856
7858,75,7857
7859,73,7856
7860,75,7859
7861,74,7856
7862,75,7861
7863,75,7861
7864,75,7861
7865,75,7861
7866,75,7861
7867,75,7861
7868,75,7861
7869,74,7856
7870,75,7869
7871,75,7869
7872,75,7869
7873,75,7869
7874,74,7856
7875,75,7874
7876,74,7856
7877,75,7876
7878,74,7856
7879,75,7878
7880,74,7856
7881,75,7880
7882,75,7880
7883,75,7880
7884,75,7880
7885,74,7856
7886,75,7885
7887,75,7885
7888,74,7856
7889,75,7888
7890,65,7856
7891,12,7890
7892,14,7891
7893,52,7890
7894,55,7893
7895,12,7894
7896,13,7895
7897,13,7894
7898,12,7893
7899,13,7898
7900,65,7856
7901,12,7900
7902,14,7901
7903,56,7900
7904,12,7903
7905,13,7904
7906,57,7903
7907,7,7906
7908,12,7907
7909,13,7908
7910,12,7907
7911,13,7910
7912,13,7907
7913,13,7903
7914,87,7856
7915,89,7914
7916,90,7915
7917,12,7916
7918,13,7917
7919,66,7914
7920,12,7919
7921,14,7920
7922,56,7919
7923,12,7922
7924,13,7923
7925,57,7922
7926,7,7925
7927,12,7926
7928,13,7927
7929,12,7926
7930,13,7929
7931,13,7926
7932,13,7922
7933,9,7919
7934,77,7914
7935,7,7934
7936,12,7935
7937,14,7936
7938,12,7935
7939,14,7938
7940,14,7935
7941,52,7934
7942,55,7941
7943,55,7942
7944,12,7943
7945,13,7944
7946,13,7943
7947,13,7942
7948,65,7934
7949,56,7948
7950,12,7949
7951,13,7950
7952,57,7949
7953,12,7952
7954,13,7953
7955,14,7949
7956,52,7948
7957,12,7956
7958,13,7957
7959,12,7956
7960,13,7959
7961,91,7914
7962,9,7961
7963,0,7962
7964,0,7962
7965,0,7962
7966,0,7962
7967,55,7962
7968,12,7967
7969,13,7968
7970,13,7967
7971,55,7962
7972,12,7971
7973,13,7972
7974,13,7971
7975,12,7962
7976,13,7975
7977,0,7962
7978,12,7914
7979,13,7978
7980,87,7856
7981,89,7980
7982,90,7981
7983,12,7982
7984,13,7983
7985,17,7980
7986,0,7985
7987,76,7980
7988,52,7987
7989,12,7988
7990,13,7989
7991,12,7988
7992,13,7991
7993,91,7987
7994,52,7993
7995,12,7994
7996,13,7995
7997,12,7994
7998,13,7997
7999,76,7980
8000,52,7999
8001,12,8000
8002,13,8001
8003,12,8000
8004,13,8003
8005,65,7999
8006,12,8005
8007,14,8006
8008,0,8005
8009,76,7999
8010,52,8009
8011,12,8010
8012,13,8011
8013,12,8010
8014,13,8013
8015,65,8009
8016,12,8015
8017,14,8016
8018,0,8015
8019,76,8009
8020,52,8019
8021,12,8020
8022,13,8021
8023,12,8020
8024,13,8023
8025,65,8019
8026,12,8025
8027,14,8026
8028,52,8025
8029,12,8028
8030,13,8029
8031,12,8028
8032,13,8031
8033,65,8019
8034,12,8033
8035,14,8034
8036,55,8033
8037,12,8036
8038,13,8037
8039,13,8036
8040,66,7980
8041,12,8040
8042,14,8041
8043,12,8040
8044,13,8043
8045,9,8040
8046,0,8045
8047,0,8045
8048,55,8045
8049,12,8048
8050,13,8049
8051,13,8048
8052,12,8045
8053,13,8052
8054,65,7980
8055,12,8054
8056,14,8055
8057,52,8054
8058,12,8057
8059,13,8058
8060,12,8057
8061,13,8060
8062,0,8057
8063,0,8057
8064,76,7980
8065,38,8064
8066,39,8065
8067,12,8065
8068,13,8067
8069,52,8065
8070,12,8069
8071,13,8070
8072,12,8069
8073,13,8072
8074,76,8064
8075,41,8074
8076,12,8075
8077,13,8076
8078,42,8075
8079,7,8075
8080,7,8079
8081,13,8080
8082,13,8079
8083,65,8074
8084,12,8083
8085,14,8084
8086,7,8083
8087,13,8086
8088,65,8064
8089,56,8088
8090,12,8089
8091,13,8090
8092,57,8089
8093,0,8092
8094,14,8089
8095,60,8088
8096,52,8095
8097,12,8096
8098,13,8097
8099,12,8096
8100,13,8099
8101,64,8095
8102,12,8101
8103,14,8102
8104,12,8101
8105,13,8104
8106,91,7980
8107,12,8106
8108,13,8107
8109,12,7980
8110,13,8109
8111,66,7856
8112,12,8111
8113,14,8112
8114,56,8111
8115,12,8114
8116,13,8115
8117,57,8114
8118,7,8117
8119,12,8118
8120,13,8119
8121,12,8118
8122,13,8121
8123,13,8118
8124,13,8114
8125,9,8111
8126,0,8125
8127,0,8125
8128,0,8125
8129,12,8125
8130,13,8129
8131,12,8125
8132,13,8131
8133,12,8125
8134,13,8133
8135,87,7856
8136,89,8135
8137,90,8136
8138,12,8137
8139,13,8138
8140,91,8135
8141,52,8140
8142,12,8141
8143,13,8142
8144,56,8141
8145,12,8144
8146,13,8145
8147,57,8144
8148,0,8147
8149,13,8144
8150,63,8141
8151,12,8150
8152,13,8151
8153,52,8150
8154,12,8153
8155,13,8154
8156,12,8153
8157,13,8156
8158,64,8150
8159,7,8158
8160,12,8159
8161,14,8160
8162,12,8159
8163,14,8162
8164,14,8159
8165,52,8158
8166,55,8165
8167,56,8166
8168,12,8167
8169,13,8168
8170,57,8167
8171,0,8170
8172,13,8167
8173,13,8166
8174,12,8135
8175,13,8174
8176,87,7856
8177,89,8176
8178,90,8177
8179,12,8178
8180,13,8179
8181,17,8176
8182,0,8181
8183,65,8176
8184,7,8183
8185,12,8184
8186,14,8185
8187,12,8184
8188,14,8187
8189,14,8184
8190,7,8183
8191,56,8190
8192,12,8191
8193,13,8192
8194,57,8191
8195,0,8194
8196,13,8191
8197,56,8190
8198,12,8197
8199,13,8198
8200,57,8197
8201,0,8200
8202,13,8197
8203,13,8190
8204,76,8176
8205,52,8204
8206,55,8205
8207,12,8206
8208,13,8207
8209,13,8206
8210,0,8205
8211,0,8205
8212,91,8204
8213,52,8212
8214,12,8213
8215,13,8214
8216,12,8213
8217,13,8216
8218,76,8176
8219,38,8218
8220,39,8219
8221,41,8219
8222,12,8221
8223,13,8222
8224,42,8221
8225,0,8221
8226,41,8219
8227,12,8226
8228,13,8227
8229,50,8226
8230,12,8226
8231,13,8230
8232,65,8218
8233,12,8232
8234,14,8233
8235,56,8232
8236,12,8235
8237,13,8236
8238,57,8235
8239,12,8238
8240,13,8239
8241,13,8235
8242,65,8218
8243,12,8242
8244,14,8243
8245,52,8242
8246,12,8245
8247,13,8246
8248,12,8245
8249,13,8248
8250,12,8245
8251,13,8250
8252,76,8176
8253,19,8252
8254,22,8253
8255,38,8253
8256,40,8255
8257,52,8255
8258,12,8257
8259,13,8258
8260,12,8257
8261,13,8260
8262,12,8257
8263,13,8262
8264,52,8255
8265,12,8264
8266,13,8265
8267,12,8264
8268,13,8267
8269,52,8255
8270,12,8269
8271,13,8270
8272,12,8269
8273,13,8272
8274,69,8252
8275,52,8274
8276,12,8275
8277,13,8276
8278,4,8275
8279,0,8278
8280,3,8278
8281,12,8280
8282,13,8281
8283,0,8278
8284,3,8278
8285,12,8284
8286,13,8285
8287,0,8278
8288,3,8278
8289,52,8288
8290,12,8289
8291,13,8290
8292,12,8289
8293,13,8292
8294,0,8278
8295,65,8176
8296,12,8295
8297,14,8296
8298,52,8295
8299,55,8298
8300,12,8299
8301,13,8300
8302,13,8299
8303,0,8298
8304,76,8176
8305,38,8304
8306,39,8305
8307,41,8305
8308,12,8307
8309,13,8308
8310,49,8307
8311,0,8307
8312,52,8305
8313,12,8312
8314,13,8313
8315,12,8312
8316,13,8315
8317,65,8304
8318,12,8317
8319,14,8318
8320,52,8317
8321,12,8320
8322,13,8321
8323,62,8320
8324,52,8323
8325,12,8324
8326,13,8325
8327,12,8324
8328,13,8327
8329,64,8323
8330,12,8329
8331,14,8330
8332,12,8329
8333,13,8332
8334,65,8304
8335,12,8334
8336,14,8335
8337,56,8334
8338,12,8337
8339,13,8338
8340,57,8337
8341,12,8340
8342,13,8341
8343,13,8337
8344,91,8176
8345,12,8344
8346,13,8345
8347,12,8176
8348,13,8347
8349,87,7856
8350,89,8349
8351,90,8350
8352,12,8351
8353,13,8352
8354,17,8349
8355,0,8354
8356,65,8349
8357,12,8356
8358,14,8357
8359,52,8356
8360,12,8359
8361,13,8360
8362,12,8359
8363,13,8362
8364,91,8349
8365,52,8364
8366,55,8365
8367,12,8366
8368,13,8367
8369,13,8366
8370,12,8365
8371,13,8370
8372,53,8365
8373,0,8372
8374,12,8349
8375,13,8374
8376,87,7856
8377,89,8376
8378,90,8377
8379,12,8378
8380,13,8379
8381,17,8376
8382,0,8381
8383,65,8376
8384,12,8383
8385,14,8384
8386,52,8383
8387,55,8386
8388,12,8387
8389,13,8388
8390,13,8387
8391,12,8386
8392,13,8391
8393,91,8376
8394,52,8393
8395,12,8394
8396,13,8395
8397,12,8394
8398,13,8397
8399,12,8376
8400,13,8399
8401,87,7856
8402,89,8401
8403,90,8402
8404,56,8403
8405,12,8404
8406,13,8405
8407,57,8404
8408,7,8407
8409,12,8408
8410,13,8409
8411,12,8408
8412,13,8411
8413,13,8408
8414,13,8404
8415,17,8401
8416,0,8415
8417,65,8401
8418,12,8417
8419,14,8418
8420,63,8417
8421,12,8420
8422,13,8421
8423,52,8420
8424,12,8423
8425,13,8424
8426,12,8423
8427,13,8426
8428,64,8420
8429,7,8428
8430,12,8429
8431,14,8430
8432,12,8429
8433,14,8432
8434,14,8429
8435,52,8428
8436,55,8435
8437,12,8436
8438,13,8437
8439,13,8436
8440,91,8401
8441,52,8440
8442,55,8441
8443,12,8442
8444,13,8443
8445,13,8442
8446,12,8441
8447,13,8446
8448,53,8441
8449,0,8448
8450,12,8401
8451,13,8450
8452,87,7856
8453,89,8452
8454,90,8453
8455,12,8454
8456,13,8455
8457,17,8452
8458,0,8457
8459,65,8452
8460,12,8459
8461,14,8460
8462,52,8459
8463,55,8462
8464,12,8463
8465,13,8464
8466,13,8463
8467,12,8462
8468,13,8467
8469,91,8452
8470,63,8469
8471,12,8470
8472,13,8471
8473,52,8470
8474,12,8473
8475,13,8474
8476,12,8473
8477,13,8476
8478,64,8470
8479,7,8478
8480,12,8479
8481,14,8480
8482,12,8479
8483,14,8482
8484,14,8479
8485,52,8478
8486,55,8485
8487,12,8486
8488,13,8487
8489,13,8486
8490,56,8452
8491,12,8490
8492,13,8491
8493,57,8490
8494,7,8493
8495,12,8494
8496,13,8495
8497,12,8494
8498,13,8497
8499,13,8494
8500,13,8490
8501,65,7856
8502,12,8501
8503,14,8502
8504,56,8501
8505,12,8504
8506,13,8505
8507,57,8504
8508,7,8507
8509,6,8508
8510,12,8509
8511,13,8510
8512,13,8509
8513,12,8508
8514,13,8513
8515,13,8508
8516,13,8504
8517,87,7856
8518,89,8517
8519,90,8518
8520,12,8519
8521,13,8520
8522,90,8518
8523,56,8522
8524,12,8523
8525,13,8524
8526,57,8523
8527,12,8526
8528,13,8527
8529,13,8523
8530,76,8517
8531,41,8530
8532,12,8531
8533,13,8532
8534,48,8531
8535,0,8531
8536,91,8530
8537,0,8536
8538,91,8517
8539,52,8538
8540,12,8539
8541,13,8540
8542,12,8539
8543,13,8542
8544,56,8517
8545,12,8544
8546,13,8545
8547,57,8544
8548,12,8547
8549,13,8548
8550,13,8544
8551,65,7856
8552,12,8551
8553,14,8552
8554,56,8551
8555,12,8554
8556,13,8555
8557,57,8554
8558,7,8557
8559,6,8558
8560,12,8559
8561,13,8560
8562,13,8559
8563,12,8558
8564,13,8563
8565,13,8558
8566,13,8554
8567,87,7856
8568,89,8567
8569,90,8568
8570,12,8569
8571,13,8570
8572,90,8568
8573,56,8572
8574,12,8573
8575,13,8574
8576,57,8573
8577,12,8576
8578,13,8577
8579,13,8573
8580,76,8567
8581,38,8580
8582,40,8581
8583,41,8581
8584,12,8583
8585,13,8584
8586,48,8583
8587,0,8583
8588,41,8581
8589,12,8588
8590,13,8589
8591,42,8588
8592,0,8588
8593,91,8580
8594,0,8593
8595,91,8567
8596,52,8595
8597,12,8596
8598,13,8597
8599,12,8596
8600,13,8599
8601,56,8567
8602,12,8601
8603,13,8602
8604,57,8601
8605,12,8604
8606,13,8605
8607,13,8601
8608,65,7856
8609,12,8608
8610,14,8609
8611,52,8608
8612,12,8611
8613,13,8612
8614,0,8611
8615,53,8611
8616,0,8615
8617,95,7856
8618,12,8617
8619,13,8618
8620,17,8617
8621,0,8620
8622,87,8617
8623,89,8622
8624,90,8623
8625,90,8623
8626,12,8625
8627,13,8626
8628,90,8623
8629,12,8628
8630,13,8629
8631,90,8623
8632,12,8631
8633,13,8632
8634,90,8623
8635,56,8634
8636,12,8635
8637,13,8636
8638,57,8635
8639,12,8638
8640,13,8639
8641,13,8635
8642,90,8623
8643,56,8642
8644,12,8643
8645,13,8644
8646,57,8643
8647,12,8646
8648,13,8647
8649,13,8643
8650,65,8622
8651,55,8650
8652,12,8651
8653,13,8652
8654,14,8651
8655,12,8650
8656,13,8655
8657,65,8622
8658,55,8657
8659,12,8658
8660,13,8659
8661,14,8658
8662,12,8657
8663,13,8662
8664,65,8622
8665,55,8664
8666,12,8665
8667,13,8666
8668,14,8665
8669,12,8664
8670,13,8669
8671,65,8622
8672,55,8671
8673,12,8672
8674,13,8673
8675,14,8672
8676,12,8671
8677,13,8676
8678,65,8622
8679,55,8678
8680,12,8679
8681,13,8680
8682,14,8679
8683,12,8678
8684,13,8683
8685,0,8622
8686,87,8617
8687,89,8686
8688,90,8687
8689,56,8688
8690,12,8689
8691,13,8690
8692,57,8689
8693,12,8692
8694,13,8693
8695,13,8689
8696,90,8687
8697,12,8696
8698,13,8697
8699,65,8686
8700,12,8699
8701,14,8700
8702,55,8699
8703,55,8702
8704,12,8703
8705,13,8704
8706,13,8703
8707,13,8702
8708,65,8686
8709,12,8708
8710,14,8709
8711,55,8708
8712,55,8711
8713,12,8712
8714,13,8713
8715,13,8712
8716,13,8711
8717,65,8686
8718,12,8717
8719,14,8718
8720,52,8717
8721,12,8720
8722,13,8721
8723,55,8720
8724,12,8723
8725,13,8724
8726,13,8723
8727,65,8686
8728,12,8727
8729,14,8728
8730,52,8727
8731,12,8730
8732,13,8731
8733,12,8730
8734,13,8733
8735,55,8730
8736,12,8735
8737,13,8736
8738,13,8735
8739,65,8686
8740,12,8739
8741,14,8740
8742,52,8739
8743,12,8742
8744,13,8743
8745,12,8742
8746,13,8745
8747,55,8742
8748,12,8747
8749,13,8748
8750,13,8747
8751,91,8686
8752,52,8751
8753,12,8752
8754,13,8753
8755,12,8752
8756,13,8755
8757,12,8752
8758,13,8757
8759,12,8752
8760,13,8759
8761,12,8752
8762,13,8761
8763,12,8752
8764,13,8763
8765,12,8686
8766,13,8765
8767,12,8686
8768,13,8767
8769,87,8617
8770,89,8769
8771,90,8770
8772,65,8769
8773,12,8772
8774,14,8773
8775,52,8772
8776,12,8775
8777,13,8776
8778,55,8775
8779,12,8778
8780,13,8779
8781,13,8778
8782,55,8775
8783,12,8782
8784,13,8783
8785,13,8782
8786,65,8769
8787,12,8786
8788,14,8787
8789,52,8786
8790,12,8789
8791,13,8790
8792,55,8789
8793,12,8792
8794,13,8793
8795,13,8792
8796,65,8769
8797,12,8796
8798,14,8797
8799,52,8796
8800,12,8799
8801,13,8800
8802,12,8799
8803,13,8802
8804,55,8799
8805,12,8804
8806,13,8805
8807,13,8804
8808,65,8769
8809,12,8808
8810,14,8809
8811,52,8808
8812,12,8811
8813,13,8812
8814,12,8811
8815,13,8814
8816,55,8811
8817,12,8816
8818,13,8817
8819,13,8816
8820,91,8769
8821,52,8820
8822,12,8821
8823,13,8822
8824,12,8821
8825,13,8824
8826,12,8821
8827,13,8826
8828,12,8821
8829,13,8828
8830,12,8821
8831,13,8830
8832,12,8769
8833,13,8832
8834,87,8617
8835,89,8834
8836,90,8835
8837,90,8835
8838,12,8837
8839,13,8838
8840,76,8834
8841,52,8840
8842,12,8841
8843,13,8842
8844,12,8841
8845,13,8844
8846,12,8841
8847,13,8846
8848,91,8840
8849,41,8848
8850,7,8849
8851,55,8850
8852,12,8851
8853,13,8852
8854,13,8851
8855,55,8850
8856,12,8855
8857,13,8856
8858,13,8855
8859,55,8850
8860,12,8859
8861,13,8860
8862,13,8859
8863,55,8850
8864,12,8863
8865,13,8864
8866,13,8863
8867,55,8850
8868,12,8867
8869,13,8868
8870,13,8867
8871,13,8850
8872,42,8849
8873,7,8849
8874,55,8873
8875,12,8874
8876,13,8875
8877,13,8874
8878,55,8873
8879,12,8878
8880,13,8879
8881,13,8878
8882,55,8873
8883,12,8882
8884,13,8883
8885,13,8882
8886,55,8873
8887,12,8886
8888,13,8887
8889,13,8886
8890,55,8873
8891,12,8890
8892,13,8891
8893,13,8890
8894,13,8873
8895,91,8834
8896,12,8895
8897,13,8896
8898,12,8834
8899,13,8898
8900,87,7856
8901,89,8900
8902,90,8901
8903,56,8902
8904,12,8903
8905,13,8904
8906,57,8903
8907,12,8906
8908,13,8907
8909,13,8903
8910,17,8900
8911,0,8910
8912,77,8900
8913,12,8912
8914,14,8913
8915,12,8912
8916,13,8915
8917,81,8912
8918,17,8917
8919,92,8918
8920,52,8919
8921,55,8920
8922,12,8921
8923,13,8922
8924,13,8921
8925,12,8920
8926,13,8925
8927,84,8917
8928,12,8927
8929,13,8928
8930,17,8927
8931,52,8930
8932,55,8931
8933,12,8932
8934,13,8933
8935,13,8932
8936,0,8931
8937,56,8900
8938,12,8937
8939,13,8938
8940,57,8937
8941,12,8940
8942,13,8941
8943,13,8937
