node_id,class_name,parent_id
14032,100,-1
14033,73,14032
14034,75,14033
14035,73,14032
14036,75,14035
14037,73,14032
14038,75,14037
14039,73,14032
14040,75,14039
14041,73,14032
14042,75,14041
14043,74,14032
14044,75,14043
14045,75,14043
14046,74,14032
14047,75,14046
14048,74,14032
14049,75,14048
14050,75,14048
14051,74,14032
14052,75,14051
14053,75,14051
14054,75,14051
14055,75,14051
14056,75,14051
14057,75,14051
14058,75,14051
14059,81,14032
14060,74,14059
14061,75,14060
14062,84,14059
14063,12,14062
14064,13,14063
14065,65,14062
14066,12,14065
14067,14,14066
14068,0,14065
14069,74,14032
14070,75,14069
14071,74,14032
14072,75,14071
14073,65,14032
14074,12,14073
14075,14,14074
14076,52,14073
14077,55,14076
14078,12,14077
14079,13,14078
14080,13,14077
14081,12,14076
14082,13,14081
14083,95,14032
14084,17,14083
14085,0,14084
14086,87,14083
14087,89,14086
14088,90,14087
14089,90,14087
14090,12,14089
14091,13,14090
14092,90,14087
14093,56,14092
14094,12,14093
14095,13,14094
14096,57,14093
14097,7,14096
14098,12,14097
14099,13,14098
14100,12,14097
14101,13,14100
14102,13,14097
14103,13,14093
14104,90,14087
14105,56,14104
14106,12,14105
14107,13,14106
14108,57,14105
14109,12,14108
14110,13,14109
14111,13,14105
14112,90,14087
14113,56,14112
14114,12,14113
14115,13,14114
14116,57,14113
14117,12,14116
14118,13,14117
14119,13,14113
14120,0,14087
14121,0,14087
14122,17,14086
14123,0,14122
14124,65,14086
14125,55,14124
14126,12,14125
14127,13,14126
14128,14,14125
14129,12,14124
14130,13,14129
14131,65,14086
14132,55,14131
14133,12,14132
14134,13,14133
14135,14,14132
14136,12,14131
14137,13,14136
14138,65,14086
14139,55,14138
14140,12,14139
14141,13,14140
14142,14,14139
14143,12,14138
14144,13,14143
14145,65,14086
14146,55,14145
14147,12,14146
14148,13,14147
14149,14,14146
14150,12,14145
14151,13,14150
14152,0,14086
14153,87,14083
14154,89,14153
14155,90,14154
14156,90,14154
14157,12,14156
14158,13,14157
14159,76,14153
14160,52,14159
14161,12,14160
14162,13,14161
14163,12,14160
14164,13,14163
14165,55,14160
14166,12,14165
14167,13,14166
14168,13,14165
14169,91,14159
14170,41,14169
14171,55,14170
14172,12,14171
14173,13,14172
14174,13,14171
14175,42,14170
14176,55,14170
14177,12,14176
14178,13,14177
14179,13,14176
14180,91,14153
14181,12,14180
14182,13,14181
14183,12,14153
14184,13,14183
14185,87,14083
14186,89,14185
14187,90,14186
14188,91,14185
14189,24,14188
14190,0,14189
14191,30,14189
14192,7,14189
14193,55,14192
14194,12,14193
14195,13,14194
14196,13,14193
14197,55,14192
14198,12,14197
14199,13,14198
14200,13,14197
14201,55,14192
14202,12,14201
14203,13,14202
14204,13,14201
14205,55,14192
14206,12,14205
14207,13,14206
14208,13,14205
14209,13,14192
14210,12,14185
14211,13,14210
14212,87,14083
14213,89,14212
14214,90,14213
14215,91,14212
14216,52,14215
14217,12,14216
14218,13,14217
14219,7,14216
14220,55,14219
14221,12,14220
14222,13,14221
14223,13,14220
14224,52,14219
14225,12,14224
14226,13,14225
14227,52,14224
14228,55,14227
14229,55,14228
14230,12,14229
14231,13,14230
14232,13,14229
14233,13,14228
14234,55,14219
14235,12,14234
14236,13,14235
14237,13,14234
14238,55,14219
14239,12,14238
14240,13,14239
14241,13,14238
14242,13,14219
14243,12,14212
14244,13,14243
14245,87,14083
14246,89,14245
14247,90,14246
14248,90,14246
14249,12,14248
14250,13,14249
14251,76,14245
14252,41,14251
14253,55,14252
14254,12,14253
14255,13,14254
14256,13,14253
14257,48,14252
14258,0,14252
14259,65,14251
14260,55,14259
14261,12,14260
14262,13,14261
14263,14,14260
14264,12,14259
14265,13,14264
14266,65,14251
14267,55,14266
14268,12,14267
14269,13,14268
14270,14,14267
14271,56,14266
14272,12,14271
14273,13,14272
14274,57,14271
14275,7,14274
14276,55,14275
14277,12,14276
14278,13,14277
14279,13,14276
14280,12,14275
14281,13,14280
14282,13,14275
14283,13,14271
14284,0,14245
14285,87,14083
14286,89,14285
14287,90,14286
14288,91,14285
14289,52,14288
14290,12,14289
14291,13,14290
14292,55,14289
14293,12,14292
14294,13,14293
14295,13,14292
14296,12,14285
14297,13,14296
14298,12,14285
14299,13,14298
14300,95,14032
14301,53,14300
14302,12,14301
14303,13,14302
14304,17,14300
14305,0,14304
14306,87,14300
14307,89,14306
14308,90,14307
14309,90,14307
14310,12,14309
14311,13,14310
14312,17,14306
14313,0,14312
14314,72,14306
14315,12,14306
14316,13,14315
14317,0,14306
14318,87,14300
14319,89,14318
14320,90,14319
14321,17,14318
14322,0,14321
14323,72,14318
14324,0,14318
14325,87,14032
14326,89,14325
14327,90,14326
14328,12,14327
14329,13,14328
14330,90,14326
14331,12,14330
14332,13,14331
14333,17,14325
14334,0,14333
14335,65,14325
14336,12,14335
14337,14,14336
14338,52,14335
14339,55,14338
14340,12,14339
14341,13,14340
14342,13,14339
14343,12,14338
14344,13,14343
14345,55,14338
14346,12,14345
14347,13,14346
14348,13,14345
14349,0,14338
14350,76,14325
14351,41,14350
14352,12,14351
14353,13,14352
