node_id,class_name,parent_id
15309,100,-1
15310,74,15309
15311,75,15310
15312,73,15309
15313,75,15312
15314,74,15309
15315,75,15314
15316,73,15309
15317,75,15316
15318,74,15309
15319,75,15318
15320,75,15318
15321,74,15309
15322,75,15321
15323,75,15321
15324,75,15321
15325,75,15321
15326,75,15321
15327,75,15321
15328,75,15321
15329,75,15321
15330,75,15321
15331,75,15321
15332,75,15321
15333,75,15321
15334,75,15321
15335,75,15321
15336,74,15309
15337,75,15336
15338,75,15336
15339,75,15336
15340,75,15336
15341,75,15336
15342,75,15336
15343,75,15336
15344,74,15309
15345,75,15344
15346,65,15309
15347,12,15346
15348,14,15347
15349,0,15346
15350,65,15309
15351,12,15350
15352,14,15351
15353,0,15350
15354,65,15309
15355,12,15354
15356,14,15355
15357,0,15354
15358,87,15309
15359,89,15358
15360,90,15359
15361,12,15360
15362,13,15361
15363,91,15358
15364,38,15363
15365,39,15364
15366,52,15364
15367,12,15366
15368,13,15367
15369,12,15366
15370,13,15369
15371,41,15364
15372,52,15371
15373,12,15372
15374,13,15373
15375,12,15372
15376,13,15375
15377,42,15371
15378,0,15371
15379,12,15358
15380,13,15379
15381,87,15309
15382,89,15381
15383,90,15382
15384,90,15382
15385,0,15382
15386,0,15382
15387,65,15381
15388,12,15387
15389,14,15388
15390,38,15387
15391,40,15390
15392,12,15390
15393,13,15392
15394,9,15390
15395,65,15381
15396,12,15395
15397,14,15396
15398,38,15395
15399,40,15398
15400,12,15398
15401,13,15400
15402,9,15398
15403,70,15381
15404,52,15403
15405,55,15404
15406,52,15405
15407,55,15406
15408,12,15407
15409,13,15408
15410,13,15407
15411,13,15405
15412,52,15404
15413,55,15412
15414,12,15413
15415,13,15414
15416,13,15413
15417,91,15381
15418,52,15417
15419,12,15418
15420,13,15419
15421,12,15418
15422,13,15421
15423,9,15418
15424,0,15423
15425,0,15423
15426,52,15423
15427,12,15426
15428,13,15427
15429,12,15426
15430,13,15429
15431,12,15426
15432,13,15431
15433,52,15423
15434,12,15433
15435,13,15434
15436,12,15433
15437,13,15436
15438,12,15433
15439,13,15438
15440,12,15381
15441,13,15440
15442,87,15309
15443,89,15442
15444,90,15443
15445,17,15442
15446,0,15445
15447,91,15442
15448,7,15447
15449,55,15448
15450,56,15449
15451,55,15450
15452,12,15451
15453,13,15452
15454,13,15451
15455,57,15450
15456,0,15455
15457,13,15450
15458,13,15449
15459,55,15448
15460,56,15459
15461,55,15460
15462,12,15461
15463,13,15462
15464,13,15461
15465,57,15460
15466,0,15465
15467,13,15460
15468,13,15459
15469,13,15448
15470,56,15442
15471,12,15470
15472,13,15471
15473,57,15470
15474,7,15473
15475,56,15474
15476,12,15475
15477,13,15476
15478,57,15475
15479,7,15478
15480,12,15479
15481,13,15480
15482,12,15479
15483,13,15482
15484,13,15479
15485,13,15475
15486,56,15474
15487,12,15486
15488,13,15487
15489,57,15486
15490,7,15489
15491,12,15490
15492,13,15491
15493,12,15490
15494,13,15493
15495,13,15490
15496,13,15486
15497,13,15474
15498,13,15470
15499,87,15309
15500,89,15499
15501,90,15500
15502,12,15501
15503,13,15502
15504,17,15499
15505,0,15504
15506,91,15499
15507,38,15506
15508,39,15507
15509,52,15507
15510,12,15509
15511,13,15510
