node_id,class_name,parent_id,Generator
18081,100,-1,0
18082,74,18081,0
18083,75,18082,0
18084,75,18082,0
18085,74,18081,0
18086,75,18085,0
18087,75,18085,0
18088,75,18085,0
18089,74,18081,0
18090,75,18089,0
18091,75,18089,0
18092,95,18081,0
18093,53,18092,0
18094,12,18093,0
18095,13,18094,0
18096,17,18092,0
18097,0,18096,0
18098,87,18092,0
18099,89,18098,0
18100,90,18099,0
18101,17,18098,0
18102,0,18101,0
18103,72,18098,0
18104,12,18098,0
18105,13,18104,0
18106,12,18098,0
18107,13,18106,0
18108,95,18081,0
18109,53,18108,0
18110,12,18109,0
18111,13,18110,0
18112,17,18108,0
18113,0,18112,0
18114,87,18108,0
18115,89,18114,0
18116,90,18115,0
18117,90,18115,0
18118,56,18117,0
18119,12,18118,0
18120,13,18119,0
18121,57,18118,0
18122,12,18121,0
18123,13,18122,0
18124,13,18118,0
18125,17,18114,0
18126,0,18125,0
18127,72,18114,0
18128,12,18114,0
18129,13,18128,0
18130,0,18114,0
18131,87,18108,0
18132,89,18131,0
18133,90,18132,0
18134,90,18132,0
18135,12,18134,0
18136,13,18135,0
18137,90,18132,0
18138,56,18137,0
18139,12,18138,0
18140,13,18139,0
18141,57,18138,0
18142,12,18141,0
18143,13,18142,0
18144,13,18138,0
18145,90,18132,0
18146,12,18145,0
18147,13,18146,0
18148,0,18132,0
18149,0,18132,0
18150,17,18131,0
18151,0,18150,0
18152,72,18131,0
18153,12,18131,0
18154,13,18153,0
18155,56,18131,0
18156,12,18155,0
18157,13,18156,0
18158,57,18155,0
18159,12,18158,0
18160,13,18159,0
18161,13,18155,0
18162,87,18108,0
18163,89,18162,0
18164,90,18163,0
18165,90,18163,0
18166,12,18165,0
18167,13,18166,0
18168,17,18162,0
18169,0,18168,0
18170,72,18162,0
18171,12,18162,0
18172,13,18171,0
18173,0,18162,0
18174,87,18108,0
18175,89,18174,0
18176,90,18175,0
18177,17,18174,0
18178,0,18177,0
18179,69,18174,0
18180,52,18179,0
18181,12,18180,0
18182,13,18181,0
18183,4,18180,0
18184,0,18183,0
18185,3,18183,0
18186,55,18185,0
18187,55,18186,0
18188,12,18187,0
18189,13,18188,0
18190,13,18187,0
18191,13,18186,0
18192,0,18183,0
18193,3,18183,0
18194,55,18193,0
18195,55,18194,0
18196,12,18195,0
18197,13,18196,0
18198,13,18195,0
18199,13,18194,0
18200,0,18183,0
18201,56,18174,0
18202,12,18201,0
18203,13,18202,0
18204,57,18201,0
18205,12,18204,0
18206,13,18205,0
18207,13,18201,0
18208,95,18081,0
18209,12,18208,0
18210,13,18209,0
18211,17,18208,0
18212,0,18211,0
18213,87,18208,0
18214,89,18213,0
18215,90,18214,0
18216,90,18214,0
18217,12,18216,0
18218,13,18217,0
18219,65,18213,0
18220,55,18219,0
18221,12,18220,0
18222,13,18221,0
18223,14,18220,0
18224,12,18219,0
18225,13,18224,0
18226,66,18213,0
18227,55,18226,0
18228,12,18227,0
18229,13,18228,0
18230,14,18227,0
18231,56,18226,0
18232,12,18231,0
18233,13,18232,0
18234,57,18231,0
18235,12,18234,0
18236,13,18235,0
18237,13,18231,0
18238,6,18226,0
18239,13,18238,0
18240,0,18213,0
18241,87,18208,0
18242,89,18241,0
18243,90,18242,0
18244,90,18242,0
18245,12,18244,0
18246,13,18245,0
18247,76,18241,0
18248,19,18247,0
18249,22,18248,0
18250,41,18248,0
18251,55,18250,0
18252,55,18251,0
18253,12,18252,0
18254,13,18253,0
18255,13,18252,0
18256,13,18251,0
18257,42,18250,0
18258,0,18250,0
18259,17,18247,0
18260,52,18259,0
18261,55,18260,0
18262,55,18261,0
18263,12,18262,0
18264,13,18263,0
18265,13,18262,0
18266,13,18261,0
18267,12,18260,0
18268,13,18267,0
18269,0,18241,0
18270,87,18208,0
18271,89,18270,0
18272,90,18271,0
18273,17,18270,0
18274,52,18273,0
18275,55,18274,0
18276,55,18275,0
18277,12,18276,0
18278,13,18277,0
18279,13,18276,0
18280,13,18275,0
18281,55,18274,0
18282,12,18281,0
18283,13,18282,0
18284,13,18281,0
18285,65,18270,0
18286,55,18285,0
18287,12,18286,0
18288,13,18287,0
18289,14,18286,0
18290,6,18285,0
18291,13,18290,0
18292,0,18270,0
