node_id,class_name,parent_id,Generator
15309,100,-1,0
15310,74,15309,0
15311,75,15310,0
15312,73,15309,0
15313,75,15312,0
15314,74,15309,0
15315,75,15314,0
15316,73,15309,0
15317,75,15316,0
15318,74,15309,0
15319,75,15318,0
15320,75,15318,0
15321,74,15309,0
15322,75,15321,0
15323,75,15321,0
15324,75,15321,0
15325,75,15321,0
15326,75,15321,0
15327,75,15321,0
15328,75,15321,0
15329,75,15321,0
15330,75,15321,0
15331,75,15321,0
15332,75,15321,0
15333,75,15321,0
15334,75,15321,0
15335,75,15321,0
15336,74,15309,0
15337,75,15336,0
15338,75,15336,0
15339,75,15336,0
15340,75,15336,0
15341,75,15336,0
15342,75,15336,0
15343,75,15336,0
15344,74,15309,0
15345,75,15344,0
15346,65,15309,0
15347,12,15346,0
15348,14,15347,0
15349,0,15346,0
15350,65,15309,0
15351,12,15350,0
15352,14,15351,0
15353,0,15350,0
15354,65,15309,0
15355,12,15354,0
15356,14,15355,0
15357,0,15354,0
15358,87,15309,0
15359,89,15358,0
15360,90,15359,0
15361,12,15360,0
15362,13,15361,0
15363,91,15358,0
15364,38,15363,0
15365,39,15364,0
15366,52,15364,0
15367,12,15366,0
15368,13,15367,0
15369,12,15366,0
15370,13,15369,0
15371,41,15364,0
15372,52,15371,0
15373,12,15372,0
15374,13,15373,0
15375,12,15372,0
15376,13,15375,0
15377,42,15371,0
15378,0,15371,0
15379,12,15358,0
15380,13,15379,0
15381,87,15309,0
15382,89,15381,0
15383,90,15382,0
15384,90,15382,0
15385,0,15382,0
15386,0,15382,0
15387,65,15381,0
15388,12,15387,0
15389,14,15388,0
15390,38,15387,0
15391,40,15390,0
15392,12,15390,0
15393,13,15392,0
15394,9,15390,0
15395,65,15381,0
15396,12,15395,0
15397,14,15396,0
15398,38,15395,0
15399,40,15398,0
15400,12,15398,0
15401,13,15400,0
15402,9,15398,0
15403,70,15381,0
15404,52,15403,0
15405,55,15404,0
15406,52,15405,0
15407,55,15406,0
15408,12,15407,0
15409,13,15408,0
15410,13,15407,0
15411,13,15405,0
15412,52,15404,0
15413,55,15412,0
15414,12,15413,0
15415,13,15414,0
15416,13,15413,0
15417,91,15381,0
15418,52,15417,0
15419,12,15418,0
15420,13,15419,0
15421,12,15418,0
15422,13,15421,0
15423,9,15418,0
15424,0,15423,0
15425,0,15423,0
15426,52,15423,0
15427,12,15426,0
15428,13,15427,0
15429,12,15426,0
15430,13,15429,0
15431,12,15426,0
15432,13,15431,0
15433,52,15423,0
15434,12,15433,0
15435,13,15434,0
15436,12,15433,0
15437,13,15436,0
15438,12,15433,0
15439,13,15438,0
15440,12,15381,0
15441,13,15440,0
15442,87,15309,0
15443,89,15442,0
15444,90,15443,0
15445,17,15442,0
15446,0,15445,0
15447,91,15442,0
15448,7,15447,0
15449,55,15448,0
15450,56,15449,0
15451,55,15450,0
15452,12,15451,0
15453,13,15452,0
15454,13,15451,0
15455,57,15450,0
15456,0,15455,0
15457,13,15450,0
15458,13,15449,0
15459,55,15448,0
15460,56,15459,0
15461,55,15460,0
15462,12,15461,0
15463,13,15462,0
15464,13,15461,0
15465,57,15460,0
15466,0,15465,0
15467,13,15460,0
15468,13,15459,0
15469,13,15448,0
15470,56,15442,0
15471,12,15470,0
15472,13,15471,0
15473,57,15470,0
15474,7,15473,0
15475,56,15474,0
15476,12,15475,0
15477,13,15476,0
15478,57,15475,0
15479,7,15478,0
15480,12,15479,0
15481,13,15480,0
15482,12,15479,0
15483,13,15482,0
