node_id,class_name,parent_id,Generator
17682,100,-1,0
17683,73,17682,0
17684,75,17683,0
17685,73,17682,0
17686,75,17685,0
17687,73,17682,0
17688,75,17687,0
17689,73,17682,0
17690,75,17689,0
17691,81,17682,0
17692,74,17691,0
17693,75,17692,0
17694,84,17691,0
17695,12,17694,0
17696,13,17695,0
17697,65,17694,0
17698,12,17697,0
17699,14,17698,0
17700,0,17697,0
17701,74,17682,0
17702,75,17701,0
17703,75,17701,0
17704,74,17682,0
17705,75,17704,0
17706,75,17704,0
17707,87,17682,0
17708,89,17707,0
17709,90,17708,0
17710,12,17709,0
17711,13,17710,0
17712,17,17707,0
17713,0,17712,0
17714,91,17707,0
17715,24,17714,0
17716,24,17715,0
17717,55,17716,0
17718,12,17717,0
17719,13,17718,0
17720,13,17717,0
17721,25,17716,0
17722,0,17716,0
17723,25,17715,0
17724,55,17715,0
17725,12,17724,0
17726,13,17725,0
17727,13,17724,0
17728,12,17707,0
17729,13,17728,0
17730,87,17682,0
17731,89,17730,0
17732,90,17731,0
17733,12,17732,0
17734,13,17733,0
17735,90,17731,0
17736,12,17735,0
17737,13,17736,0
17738,17,17730,0
17739,0,17738,0
17740,65,17730,0
17741,12,17740,0
17742,14,17741,0
17743,52,17740,0
17744,12,17743,0
17745,13,17744,0
17746,12,17743,0
17747,13,17746,0
17748,12,17743,0
17749,13,17748,0
17750,65,17730,0
17751,12,17750,0
17752,14,17751,0
17753,52,17750,0
17754,55,17753,0
17755,12,17754,0
17756,13,17755,0
17757,13,17754,0
17758,12,17753,0
17759,13,17758,0
17760,76,17730,0
17761,52,17760,0
17762,12,17761,0
17763,13,17762,0
17764,12,17761,0
17765,13,17764,0
17766,55,17761,0
17767,12,17766,0
17768,13,17767,0
17769,13,17766,0
17770,65,17760,0
17771,12,17770,0
17772,14,17771,0
17773,55,17770,0
17774,12,17773,0
17775,13,17774,0
17776,13,17773,0
17777,76,17760,0
17778,52,17777,0
17779,12,17778,0
17780,13,17779,0
17781,12,17778,0
17782,13,17781,0
17783,12,17778,0
17784,13,17783,0
17785,76,17777,0
17786,41,17785,0
17787,55,17786,0
17788,12,17787,0
17789,13,17788,0
17790,13,17787,0
17791,49,17786,0
17792,0,17786,0
17793,76,17785,0
17794,38,17793,0
17795,39,17794,0
17796,41,17794,0
17797,55,17796,0
17798,12,17797,0
17799,13,17798,0
17800,13,17797,0
17801,48,17796,0
17802,0,17796,0
17803,41,17794,0
17804,55,17803,0
17805,12,17804,0
17806,13,17805,0
17807,13,17804,0
17808,48,17803,0
17809,0,17803,0
17810,65,17793,0
17811,12,17810,0
17812,14,17811,0
17813,55,17810,0
17814,12,17813,0
17815,13,17814,0
17816,13,17813,0
17817,69,17793,0
17818,52,17817,0
17819,12,17818,0
17820,13,17819,0
17821,4,17818,0
17822,0,17821,0
