node_id,class_name,parent_id
140,100,-1
141,73,140
142,75,141
143,73,140
144,75,143
145,17,140
146,52,145
147,55,146
148,55,147
149,12,148
150,13,149
151,13,148
152,13,147
153,0,146
154,52,146
155,55,154
156,55,155
157,12,156
158,13,157
159,13,156
160,13,155
161,0,154
162,65,140
163,12,162
164,14,163
165,0,162
166,65,140
167,12,166
168,14,167
169,6,166
170,0,169
171,0,169
172,0,169
173,0,169
174,13,169
175,65,140
176,12,175
177,14,176
178,6,175
179,0,178
180,13,178
181,65,140
182,12,181
183,14,182
184,0,181
185,65,140
186,12,185
187,14,186
188,0,185
189,65,140
190,12,189
191,14,190
192,0,189
193,65,140
194,12,193
195,14,194
196,0,193
197,74,140
198,75,197
199,65,140
200,12,199
201,14,200
202,56,199
203,12,202
204,13,203
205,58,202
206,0,205
207,13,202
208,65,140
209,12,208
210,14,209
211,12,208
212,13,211
213,65,140
214,12,213
215,14,214
216,6,213
217,0,216
218,13,216
219,65,140
220,12,219
221,14,220
222,0,219
223,65,140
224,12,223
225,14,224
226,0,223
227,65,140
228,12,227
229,14,228
230,0,227
231,65,140
232,12,231
233,14,232
234,6,231
235,0,234
236,13,234
237,65,140
238,12,237
239,14,238
240,0,237
241,65,140
242,12,241
243,14,242
244,9,241
245,65,140
246,12,245
247,14,246
248,6,245
249,7,248
250,0,249
251,0,249
252,0,249
253,0,249
254,0,249
255,13,249
256,13,248
257,65,140
258,12,257
259,14,258
260,6,257
261,7,260
262,0,261
263,0,261
264,0,261
265,6,261
266,0,265
267,13,265
268,0,261
269,13,261
270,13,260
271,65,140
272,12,271
273,14,272
274,6,271
275,7,274
276,0,275
277,0,275
278,0,275
279,0,275
280,0,275
281,0,275
282,0,275
283,13,275
284,13,274
285,65,140
286,12,285
287,14,286
288,6,285
289,0,288
290,13,288
