node_id,class_name,parent_id
2604,100,-1
2605,17,2604
2606,0,2605
2607,74,2604
2608,75,2607
2609,75,2607
2610,95,2604
2611,12,2610
2612,13,2611
2613,65,2610
2614,12,2613
2615,14,2614
2616,0,2613
2617,65,2610
2618,12,2617
2619,14,2618
2620,0,2617
2621,87,2610
2622,89,2621
2623,90,2622
2624,90,2622
2625,90,2622
2626,90,2622
2627,90,2622
2628,0,2622
2629,0,2622
2630,0,2622
2631,0,2622
2632,17,2621
2633,0,2632
2634,65,2621
2635,55,2634
2636,12,2635
2637,13,2636
2638,14,2635
2639,38,2634
2640,40,2639
2641,12,2639
2642,13,2641
2643,55,2639
2644,12,2643
2645,13,2644
2646,13,2643
2647,65,2621
2648,12,2647
2649,14,2648
2650,52,2647
2651,55,2650
2652,0,2651
2653,13,2651
2654,55,2650
2655,12,2654
2656,13,2655
2657,13,2654
2658,55,2650
2659,12,2658
2660,13,2659
2661,13,2658
2662,76,2621
2663,12,2662
2664,13,2663
2665,67,2662
2666,12,2665
2667,14,2666
2668,25,2665
2669,24,2665
2670,0,2669
2671,25,2669
2672,52,2669
2673,12,2672
2674,13,2673
2675,12,2672
2676,13,2675
2677,17,2621
2678,52,2677
2679,55,2678
2680,52,2679
2681,12,2680
2682,13,2681
2683,13,2679
2684,12,2678
2685,13,2684
2686,65,2621
2687,55,2686
2688,12,2687
2689,13,2688
2690,14,2687
2691,12,2686
2692,13,2691
2693,65,2621
2694,55,2693
2695,12,2694
2696,13,2695
2697,14,2694
2698,12,2693
2699,13,2698
2700,87,2610
2701,89,2700
2702,90,2701
2703,90,2701
2704,91,2700
2705,52,2704
2706,12,2705
2707,13,2706
2708,12,2705
2709,13,2708
2710,55,2705
2711,12,2710
2712,13,2711
2713,13,2710
2714,87,2610
2715,89,2714
2716,90,2715
2717,65,2714
2718,12,2717
2719,14,2718
2720,6,2717
2721,7,2720
2722,0,2721
2723,55,2721
2724,12,2723
2725,13,2724
2726,13,2723
2727,13,2721
2728,13,2720
2729,76,2714
2730,55,2729
2731,12,2730
2732,13,2731
2733,13,2730
2734,17,2729
2735,52,2734
2736,55,2735
2737,12,2736
2738,13,2737
2739,13,2736
2740,7,2735
2741,0,2740
2742,55,2740
2743,12,2742
2744,13,2743
2745,13,2742
2746,13,2740
2747,76,2714
2748,55,2747
2749,12,2748
2750,13,2749
2751,13,2748
2752,17,2747
2753,52,2752
2754,55,2753
2755,12,2754
2756,13,2755
2757,13,2754
2758,7,2753
2759,0,2758
2760,55,2758
2761,12,2760
2762,13,2761
2763,13,2760
2764,13,2758
2765,91,2714
2766,12,2765
2767,13,2766
2768,12,2714
2769,13,2768
2770,87,2610
2771,89,2770
2772,90,2771
2773,91,2770
2774,52,2773
2775,12,2774
2776,13,2775
2777,55,2774
2778,12,2777
2779,13,2778
2780,13,2777
2781,12,2770
2782,13,2781
2783,95,2604
2784,12,2783
2785,13,2784
2786,65,2783
2787,12,2786
2788,14,2787
2789,0,2786
2790,65,2783
2791,12,2790
2792,14,2791
2793,0,2790
2794,95,2604
2795,12,2794
2796,13,2795
2797,65,2794
2798,12,2797
2799,14,2798
2800,0,2797
2801,95,2604
2802,12,2801
2803,13,2802
2804,65,2801
2805,12,2804
2806,14,2805
2807,0,2804
2808,95,2604
2809,12,2808
2810,13,2809
2811,65,2808
2812,12,2811
2813,14,2812
2814,0,2811
