node_id,class_name,parent_id
12832,100,-1
12833,17,12832
12834,0,12833
12835,74,12832
12836,75,12835
12837,74,12832
12838,75,12837
12839,95,12832
12840,12,12839
12841,13,12840
12842,17,12839
12843,0,12842
12844,65,12839
12845,12,12844
12846,14,12845
12847,0,12844
12848,87,12839
12849,89,12848
12850,90,12849
12851,90,12849
12852,90,12849
12853,90,12849
12854,90,12849
12855,0,12849
12856,0,12849
12857,0,12849
12858,17,12848
12859,0,12858
12860,65,12848
12861,56,12860
12862,12,12861
12863,13,12862
12864,57,12861
12865,0,12864
12866,14,12861
12867,55,12860
12868,12,12867
12869,13,12868
12870,13,12867
12871,65,12848
12872,56,12871
12873,12,12872
12874,13,12873
12875,57,12872
12876,0,12875
12877,14,12872
12878,12,12871
12879,13,12878
12880,65,12848
12881,12,12880
12882,14,12881
12883,54,12880
12884,41,12883
12885,12,12884
12886,13,12885
12887,48,12884
12888,0,12884
12889,55,12883
12890,12,12889
12891,13,12890
12892,13,12889
12893,12,12883
12894,13,12893
12895,91,12848
12896,52,12895
12897,12,12896
12898,13,12897
12899,55,12896
12900,12,12899
12901,13,12900
12902,13,12899
12903,53,12896
12904,12,12903
12905,13,12904
12906,53,12896
12907,12,12906
12908,13,12907
12909,53,12896
12910,12,12909
12911,13,12910
