node_id,class_name,parent_id
12912,100,-1
12913,17,12912
12914,0,12913
12915,73,12912
12916,75,12915
12917,73,12912
12918,75,12917
12919,74,12912
12920,75,12919
12921,74,12912
12922,75,12921
12923,74,12912
12924,75,12923
12925,75,12923
12926,74,12912
12927,75,12926
12928,75,12926
12929,75,12926
12930,74,12912
12931,75,12930
12932,65,12912
12933,12,12932
12934,14,12933
12935,0,12932
12936,65,12912
12937,12,12936
12938,14,12937
12939,0,12936
12940,65,12912
12941,12,12940
12942,14,12941
12943,0,12940
12944,65,12912
12945,12,12944
12946,14,12945
12947,9,12944
12948,0,12947
12949,0,12947
12950,95,12912
12951,17,12950
12952,0,12951
12953,65,12950
12954,12,12953
12955,14,12954
12956,0,12953
12957,87,12950
12958,89,12957
12959,90,12958
12960,90,12958
12961,90,12958
12962,90,12958
12963,90,12958
12964,90,12958
12965,90,12958
12966,90,12958
12967,90,12958
12968,90,12958
12969,90,12958
12970,90,12958
12971,90,12958
12972,90,12958
12973,12,12958
12974,13,12973
12975,0,12958
12976,0,12958
12977,0,12958
12978,0,12958
12979,0,12958
12980,0,12958
12981,0,12958
12982,0,12958
12983,0,12958
12984,12,12958
12985,13,12984
12986,17,12957
12987,0,12986
12988,65,12957
12989,55,12988
12990,12,12989
12991,13,12990
12992,14,12989
12993,12,12988
12994,13,12993
12995,65,12957
12996,55,12995
12997,12,12996
12998,13,12997
12999,14,12996
13000,12,12995
13001,13,13000
13002,65,12957
13003,55,13002
13004,12,13003
13005,13,13004
13006,14,13003
13007,12,13002
13008,13,13007
13009,65,12957
13010,55,13009
13011,12,13010
13012,13,13011
13013,14,13010
13014,12,13009
13015,13,13014
13016,65,12957
13017,55,13016
13018,12,13017
13019,13,13018
13020,14,13017
13021,12,13016
13022,13,13021
13023,65,12957
13024,55,13023
13025,12,13024
13026,13,13025
13027,14,13024
13028,12,13023
13029,13,13028
13030,65,12957
13031,55,13030
13032,12,13031
13033,13,13032
13034,14,13031
13035,12,13030
13036,13,13035
13037,65,12957
13038,55,13037
13039,12,13038
13040,13,13039
13041,14,13038
13042,38,13037
13043,40,13042
13044,12,13042
13045,13,13044
13046,9,13042
13047,65,12957
13048,55,13047
