node_id,class_name,parent_id
14199,100,-1
14200,17,14199
14201,0,14200
14202,74,14199
14203,75,14202
14204,75,14202
14205,74,14199
14206,75,14205
14207,95,14199
14208,12,14207
14209,13,14208
14210,17,14207
14211,0,14210
14212,65,14207
14213,12,14212
14214,14,14213
14215,0,14212
14216,87,14207
14217,89,14216
14218,90,14217
14219,90,14217
14220,90,14217
14221,90,14217
14222,90,14217
14223,90,14217
14224,0,14217
14225,0,14217
14226,0,14217
14227,17,14216
14228,0,14227
14229,65,14216
14230,12,14229
14231,14,14230
14232,54,14229
14233,41,14232
14234,12,14233
14235,13,14234
14236,48,14233
14237,0,14233
14238,55,14232
14239,12,14238
14240,13,14239
14241,13,14238
14242,12,14232
14243,13,14242
14244,91,14216
14245,52,14244
14246,12,14245
14247,13,14246
14248,12,14245
14249,13,14248
14250,55,14245
14251,12,14250
14252,13,14251
14253,13,14250
14254,55,14245
14255,12,14254
14256,13,14255
14257,13,14254
14258,53,14245
14259,12,14258
14260,13,14259
14261,53,14245
14262,12,14261
14263,13,14262
14264,53,14245
14265,12,14264
14266,13,14265
14267,53,14245
14268,12,14267
14269,13,14268
14270,87,14207
14271,89,14270
14272,90,14271
14273,90,14271
14274,90,14271
14275,90,14271
14276,0,14271
14277,0,14271
14278,17,14270
14279,0,14278
14280,65,14270
14281,12,14280
14282,14,14281
14283,54,14280
14284,41,14283
14285,12,14284
14286,13,14285
14287,48,14284
14288,0,14284
14289,55,14283
14290,12,14289
14291,13,14290
14292,13,14289
14293,12,14283
14294,13,14293
14295,65,14270
14296,55,14295
14297,12,14296
14298,13,14297
14299,14,14296
14300,52,14295
14301,12,14300
14302,13,14301
14303,12,14300
14304,13,14303
14305,53,14300
14306,12,14305
14307,13,14306
14308,53,14300
14309,12,14308
14310,13,14309
14311,17,14270
14312,52,14311
14313,55,14312
14314,12,14313
14315,13,14314
14316,13,14313
14317,55,14312
14318,12,14317
14319,13,14318
14320,13,14317
14321,91,14270
14322,55,14321
14323,12,14322
14324,13,14323
14325,13,14322
