node_id,class_name,parent_id
14663,100,-1
14664,17,14663
14665,0,14664
14666,73,14663
14667,75,14666
14668,74,14663
14669,75,14668
14670,75,14668
14671,75,14668
14672,74,14663
14673,75,14672
14674,95,14663
14675,12,14674
14676,13,14675
14677,17,14674
14678,0,14677
14679,65,14674
14680,12,14679
14681,14,14680
14682,0,14679
14683,87,14674
14684,89,14683
14685,90,14684
14686,90,14684
14687,90,14684
14688,90,14684
14689,0,14684
14690,17,14683
14691,52,14690
14692,55,14691
14693,52,14692
14694,12,14693
14695,13,14694
14696,13,14692
14697,12,14691
14698,13,14697
14699,53,14691
14700,12,14699
14701,13,14700
14702,65,14683
14703,55,14702
14704,12,14703
14705,13,14704
14706,14,14703
14707,12,14702
14708,13,14707
14709,87,14674
14710,89,14709
14711,90,14710
14712,90,14710
14713,90,14710
14714,90,14710
14715,90,14710
14716,90,14710
14717,0,14710
14718,0,14710
14719,0,14710
14720,17,14709
14721,0,14720
14722,65,14709
14723,12,14722
14724,14,14723
14725,54,14722
14726,41,14725
14727,12,14726
14728,13,14727
14729,48,14726
14730,0,14726
14731,55,14725
14732,12,14731
14733,13,14732
14734,13,14731
14735,12,14725
14736,13,14735
14737,91,14709
14738,52,14737
14739,12,14738
14740,13,14739
14741,12,14738
14742,13,14741
14743,55,14738
14744,12,14743
14745,13,14744
14746,13,14743
14747,0,14738
14748,53,14738
14749,12,14748
14750,13,14749
14751,53,14738
14752,12,14751
14753,13,14752
14754,53,14738
14755,12,14754
14756,13,14755
14757,53,14738
14758,12,14757
14759,13,14758
14760,87,14674
14761,89,14760
14762,90,14761
14763,90,14761
14764,90,14761
14765,90,14761
14766,90,14761
14767,90,14761
14768,0,14761
14769,0,14761
14770,0,14761
14771,0,14761
14772,17,14760
14773,0,14772
14774,65,14760
14775,12,14774
14776,14,14775
14777,38,14774
14778,40,14777
14779,12,14777
14780,13,14779
14781,55,14777
14782,12,14781
14783,13,14782
14784,13,14781
14785,76,14760
14786,41,14785
14787,0,14786
14788,50,14786
14789,12,14786
14790,13,14789
14791,17,14785
14792,52,14791
14793,55,14792
14794,12,14793
14795,13,14794
14796,13,14793
14797,0,14792
14798,12,14792
14799,13,14798
14800,76,14785
14801,41,14800
14802,56,14801
14803,12,14802
14804,13,14803
14805,57,14802
14806,0,14805
14807,13,14802
14808,43,14801
14809,55,14801
14810,12,14809
14811,13,14810
14812,13,14809
14813,69,14800
14814,52,14813
14815,12,14814
14816,13,14815
14817,0,14814
14818,65,14760
14819,56,14818
14820,12,14819
14821,13,14820
14822,57,14819
14823,0,14822
14824,14,14819
14825,55,14818
14826,12,14825
14827,13,14826
14828,13,14825
14829,65,14760
14830,56,14829
14831,12,14830
14832,13,14831
14833,57,14830
14834,0,14833
14835,14,14830
14836,12,14829
14837,13,14836
14838,91,14760
14839,52,14838
14840,12,14839
14841,13,14840
14842,55,14839
14843,12,14842
14844,13,14843
14845,13,14842
14846,53,14839
14847,12,14846
14848,13,14847
14849,53,14839
14850,12,14849
14851,13,14850
14852,53,14839
14853,12,14852
14854,13,14853
14855,53,14839
14856,12,14855
14857,13,14856
14858,87,14674
14859,89,14858
14860,90,14859
14861,90,14859
14862,90,14859
14863,0,14859
14864,17,14858
14865,0,14864
14866,65,14858
14867,12,14866
14868,14,14867
14869,52,14866
14870,12,14869
14871,13,14870
14872,12,14869
14873,13,14872
14874,53,14869
14875,12,14874
14876,13,14875
14877,17,14858
14878,52,14877
14879,55,14878
14880,12,14879
14881,13,14880
14882,13,14879
14883,12,14878
14884,13,14883
14885,91,14858
14886,12,14885
14887,13,14886
