node_id,class_name,parent_id
16892,100,-1
16893,17,16892
16894,0,16893
16895,74,16892
16896,75,16895
16897,75,16895
16898,75,16895
16899,75,16895
16900,75,16895
16901,74,16892
16902,75,16901
16903,74,16892
16904,75,16903
16905,74,16892
16906,75,16905
16907,74,16892
16908,75,16907
16909,74,16892
16910,75,16909
16911,74,16892
16912,75,16911
16913,95,16892
16914,12,16913
16915,13,16914
16916,12,16913
16917,13,16916
16918,12,16913
16919,13,16918
16920,12,16913
16921,13,16920
16922,12,16913
16923,13,16922
16924,17,16913
16925,0,16924
16926,87,16913
16927,89,16926
16928,90,16927
16929,90,16927
16930,90,16927
16931,90,16927
16932,90,16927
16933,90,16927
16934,90,16927
16935,0,16927
16936,0,16927
16937,0,16927
16938,17,16926
16939,0,16938
16940,65,16926
16941,55,16940
16942,12,16941
16943,13,16942
16944,14,16941
16945,52,16940
16946,12,16945
16947,13,16946
16948,12,16945
16949,13,16948
16950,65,16926
16951,55,16950
16952,12,16951
16953,13,16952
16954,14,16951
16955,52,16950
16956,12,16955
16957,13,16956
16958,12,16955
16959,13,16958
16960,65,16926
16961,55,16960
16962,12,16961
16963,13,16962
16964,14,16961
16965,52,16960
16966,12,16965
16967,13,16966
16968,12,16965
16969,13,16968
16970,65,16926
16971,55,16970
16972,12,16971
16973,13,16972
16974,14,16971
16975,52,16970
16976,12,16975
16977,13,16976
16978,12,16975
16979,13,16978
16980,65,16926
16981,55,16980
16982,12,16981
16983,13,16982
16984,14,16981
16985,52,16980
16986,12,16985
16987,13,16986
16988,12,16985
16989,13,16988
16990,65,16926
16991,55,16990
16992,12,16991
16993,13,16992
16994,14,16991
16995,52,16990
16996,12,16995
16997,13,16996
16998,12,16995
16999,13,16998
17000,12,16995
17001,13,17000
17002,12,16995
17003,13,17002
17004,12,16995
17005,13,17004
17006,17,16926
17007,52,17006
17008,55,17007
17009,12,17008
17010,13,17009
17011,13,17008
17012,12,17007
17013,13,17012
17014,53,17007
17015,0,17014
