node_id,class_name,parent_id
17857,100,-1
17858,17,17857
17859,0,17858
17860,73,17857
17861,75,17860
17862,74,17857
17863,75,17862
17864,74,17857
17865,75,17864
17866,74,17857
17867,75,17866
17868,75,17866
17869,65,17857
17870,12,17869
17871,14,17870
17872,52,17869
17873,55,17872
17874,12,17873
17875,13,17874
17876,13,17873
17877,12,17872
17878,13,17877
17879,95,17857
17880,12,17879
17881,13,17880
17882,17,17879
17883,0,17882
17884,65,17879
17885,12,17884
17886,14,17885
17887,7,17884
17888,0,17887
17889,0,17887
17890,13,17887
17891,65,17879
17892,12,17891
17893,14,17892
17894,7,17891
17895,0,17894
17896,13,17894
17897,87,17879
17898,89,17897
17899,90,17898
17900,90,17898
17901,90,17898
17902,90,17898
17903,0,17898
17904,0,17898
17905,17,17897
17906,52,17905
17907,55,17906
17908,12,17907
17909,13,17908
17910,13,17907
17911,12,17906
17912,13,17911
17913,65,17897
17914,55,17913
17915,12,17914
17916,13,17915
17917,14,17914
17918,12,17913
17919,13,17918
17920,65,17897
17921,55,17920
17922,12,17921
17923,13,17922
17924,14,17921
17925,38,17920
17926,40,17925
17927,12,17925
17928,13,17927
17929,55,17925
17930,12,17929
17931,13,17930
17932,13,17929
17933,65,17897
17934,55,17933
17935,12,17934
17936,13,17935
17937,14,17934
17938,12,17933
17939,13,17938
17940,87,17879
17941,89,17940
17942,90,17941
17943,90,17941
17944,90,17941
17945,90,17941
17946,90,17941
17947,0,17941
17948,0,17941
17949,0,17941
17950,17,17940
17951,0,17950
17952,65,17940
17953,12,17952
17954,14,17953
17955,9,17952
17956,0,17955
17957,0,17955
17958,0,17955
17959,0,17955
17960,0,17955
17961,0,17955
17962,65,17940
17963,12,17962
17964,14,17963
17965,52,17962
17966,12,17965
17967,13,17966
17968,12,17965
17969,13,17968
17970,53,17965
17971,12,17970
17972,13,17971
17973,53,17965
17974,12,17973
17975,13,17974
17976,53,17965
17977,12,17976
17978,13,17977
17979,81,17940
17980,17,17979
17981,52,17980
17982,55,17981
17983,12,17982
17984,13,17983
17985,13,17982
17986,12,17981
17987,13,17986
17988,17,17979
17989,52,17988
17990,55,17989
17991,12,17990
17992,13,17991
17993,13,17990
17994,0,17989
17995,12,17989
17996,13,17995
17997,84,17979
17998,12,17997
17999,13,17998
18000,17,17997
18001,52,18000
18002,55,18001
18003,12,18002
18004,13,18003
18005,13,18002
18006,0,18001
18007,12,18001
18008,13,18007
18009,12,18001
18010,13,18009
18011,65,17997
18012,12,18011
18013,14,18012
18014,55,18011
18015,12,18014
18016,13,18015
18017,13,18014
18018,76,17997
18019,38,18018
18020,39,18019
18021,55,18019
18022,12,18021
18023,13,18022
18024,13,18021
18025,55,18019
18026,12,18025
18027,13,18026
18028,13,18025
18029,65,18018
18030,12,18029
18031,14,18030
18032,52,18029
18033,55,18032
18034,0,18033
18035,13,18033
18036,55,18032
18037,12,18036
18038,13,18037
18039,13,18036
18040,12,18032
18041,13,18040
18042,17,17997
18043,52,18042
18044,55,18043
18045,12,18044
18046,13,18045
18047,13,18044
18048,55,18043
18049,12,18048
18050,13,18049
18051,13,18048
18052,91,17997
18053,7,18052
18054,12,18053
18055,13,18054
18056,12,18053
18057,13,18056
18058,55,18053
18059,12,18058
18060,13,18059
18061,13,18058
18062,13,18053
18063,17,17940
18064,52,18063
18065,55,18064
18066,55,18065
18067,12,18066
18068,13,18067
18069,13,18066
18070,13,18065
18071,55,18064
18072,12,18071
18073,13,18072
18074,13,18071
18075,55,18064
18076,12,18075
18077,13,18076
18078,13,18075
18079,12,18064
18080,13,18079
18081,65,17940
18082,12,18081
18083,14,18082
18084,0,18081
18085,76,17940
18086,38,18085
18087,39,18086
18088,55,18086
18089,12,18088
18090,13,18089
18091,13,18088
18092,55,18086
18093,12,18092
18094,13,18093
18095,13,18092
18096,65,18085
18097,12,18096
18098,14,18097
18099,24,18096
18100,55,18099
18101,12,18100
18102,13,18101
18103,13,18100
18104,25,18099
18105,0,18099
18106,91,17940
18107,7,18106
18108,9,18107
18109,12,18107
18110,13,18109
18111,0,18107
18112,13,18107
18113,12,17940
18114,13,18113
18115,87,17879
18116,89,18115
18117,90,18116
18118,90,18116
18119,17,18115
18120,0,18119
18121,17,18115
18122,52,18121
18123,55,18122
18124,12,18123
18125,13,18124
18126,13,18123
18127,12,18122
18128,13,18127
18129,17,18115
18130,52,18129
18131,55,18130
18132,12,18131
18133,13,18132
18134,13,18131
18135,12,18130
18136,13,18135
18137,17,18115
18138,52,18137
18139,55,18138
18140,12,18139
18141,13,18140
18142,13,18139
18143,12,18138
18144,13,18143
18145,17,18115
18146,52,18145
18147,55,18146
18148,12,18147
18149,13,18148
18150,13,18147
18151,12,18146
18152,13,18151
18153,17,18115
18154,52,18153
18155,55,18154
18156,12,18155
18157,13,18156
18158,13,18155
18159,12,18154
18160,13,18159
