node_id,class_name,parent_id
19957,100,-1
19958,17,19957
19959,0,19958
19960,73,19957
19961,75,19960
19962,74,19957
19963,75,19962
19964,74,19957
19965,75,19964
19966,74,19957
19967,75,19966
19968,75,19966
19969,74,19957
19970,75,19969
19971,74,19957
19972,75,19971
19973,65,19957
19974,12,19973
19975,14,19974
19976,52,19973
19977,55,19976
19978,12,19977
19979,13,19978
19980,13,19977
19981,12,19976
19982,13,19981
19983,95,19957
19984,17,19983
19985,0,19984
19986,87,19983
19987,89,19986
19988,90,19987
19989,90,19987
19990,90,19987
19991,90,19987
19992,90,19987
19993,65,19986
19994,55,19993
19995,12,19994
19996,13,19995
19997,14,19994
19998,12,19993
19999,13,19998
20000,65,19986
20001,55,20000
20002,12,20001
20003,13,20002
20004,14,20001
20005,12,20000
20006,13,20005
20007,65,19986
20008,55,20007
20009,12,20008
20010,13,20009
20011,14,20008
20012,12,20007
20013,13,20012
20014,65,19986
20015,55,20014
20016,12,20015
20017,13,20016
20018,14,20015
20019,12,20014
20020,13,20019
20021,87,19983
20022,89,20021
20023,90,20022
20024,91,20021
20025,52,20024
20026,12,20025
20027,13,20026
20028,55,20025
20029,12,20028
20030,13,20029
20031,13,20028
20032,55,20025
20033,12,20032
20034,13,20033
20035,13,20032
20036,12,20021
20037,13,20036
20038,87,19983
20039,89,20038
20040,90,20039
20041,91,20038
20042,52,20041
20043,12,20042
20044,13,20043
20045,55,20042
20046,12,20045
20047,13,20046
20048,13,20045
20049,55,20042
20050,12,20049
20051,13,20050
20052,13,20049
20053,12,20038
20054,13,20053
20055,95,19957
20056,65,20055
20057,12,20056
20058,14,20057
20059,0,20056
20060,65,20055
20061,12,20060
20062,14,20061
20063,0,20060
20064,65,20055
20065,12,20064
20066,14,20065
20067,0,20064
20068,65,20055
20069,12,20068
20070,14,20069
20071,0,20068
20072,65,20055
20073,12,20072
20074,14,20073
20075,6,20072
20076,0,20075
20077,13,20075
20078,87,20055
20079,89,20078
20080,90,20079
20081,90,20079
20082,90,20079
20083,0,20079
20084,65,20078
20085,55,20084
20086,12,20085
20087,13,20086
20088,14,20085
20089,38,20084
20090,40,20089
20091,12,20089
20092,13,20091
20093,52,20089
20094,12,20093
20095,13,20094
20096,65,20078
20097,55,20096
20098,12,20097
20099,13,20098
20100,14,20097
20101,55,20096
20102,12,20101
20103,13,20102
20104,13,20101
20105,65,20078
20106,55,20105
20107,12,20106
20108,13,20107
20109,14,20106
20110,55,20105
20111,12,20110
20112,13,20111
20113,13,20110
20114,17,20078
20115,52,20114
20116,55,20115
20117,12,20116
20118,13,20117
20119,13,20116
20120,12,20115
20121,13,20120
20122,65,20078
20123,55,20122
20124,12,20123
20125,13,20124
20126,14,20123
20127,6,20122
20128,13,20127
20129,65,20078
20130,55,20129
20131,12,20130
20132,13,20131
20133,14,20130
20134,6,20129
20135,13,20134
20136,77,20078
20137,7,20136
20138,12,20137
20139,14,20138
20140,12,20137
20141,14,20140
20142,14,20137
20143,52,20136
20144,55,20143
20145,12,20144
20146,13,20145
20147,13,20144
20148,17,20136
20149,52,20148
20150,12,20149
20151,13,20150
20152,12,20149
20153,13,20152
20154,12,20149
20155,13,20154
20156,12,20149
20157,13,20156
20158,87,20055
20159,89,20158
20160,90,20159
20161,90,20159
20162,65,20158
20163,12,20162
20164,14,20163
20165,52,20162
20166,55,20165
20167,12,20166
20168,13,20167
20169,13,20166
20170,0,20165
20171,6,20165
20172,13,20171
20173,65,20158
20174,12,20173
20175,14,20174
20176,52,20173
20177,55,20176
20178,12,20177
20179,13,20178
20180,13,20177
20181,0,20176
20182,6,20176
20183,13,20182
20184,65,20158
20185,12,20184
20186,14,20185
20187,52,20184
20188,55,20187
20189,12,20188
20190,13,20189
20191,13,20188
20192,0,20187
20193,6,20187
20194,13,20193
20195,65,20158
20196,12,20195
20197,14,20196
20198,52,20195
20199,55,20198
20200,12,20199
20201,13,20200
20202,13,20199
20203,0,20198
20204,6,20198
20205,13,20204
20206,76,20158
20207,19,20206
20208,22,20207
20209,52,20207
20210,12,20209
20211,13,20210
20212,12,20209
20213,13,20212
20214,0,20209
20215,76,20206
20216,38,20215
20217,40,20216
20218,12,20216
20219,13,20218
20220,12,20216
20221,13,20220
20222,65,20215
20223,12,20222
20224,14,20223
20225,52,20222
20226,55,20225
20227,0,20226
20228,13,20226
20229,55,20225
20230,55,20229
20231,12,20230
20232,13,20231
20233,13,20230
20234,13,20229
20235,69,20215
20236,52,20235
20237,12,20236
20238,13,20237
20239,12,20236
20240,13,20239
20241,65,20206
20242,7,20241
20243,12,20242
20244,14,20243
20245,12,20242
20246,14,20245
20247,14,20242
20248,7,20241
20249,7,20248
20250,13,20249
20251,7,20248
20252,13,20251
20253,13,20248
20254,65,20158
20255,55,20254
20256,12,20255
20257,13,20256
20258,14,20255
20259,52,20254
20260,12,20259
20261,13,20260
20262,12,20259
20263,13,20262
20264,12,20259
20265,13,20264
20266,12,20259
20267,13,20266
20268,12,20259
20269,13,20268
20270,87,20055
20271,89,20270
20272,90,20271
20273,90,20271
20274,17,20270
20275,52,20274
20276,55,20275
20277,55,20276
20278,12,20277
20279,13,20278
20280,13,20277
20281,13,20276
20282,12,20275
20283,13,20282
20284,87,20055
20285,89,20284
20286,90,20285
20287,90,20285
20288,17,20284
20289,52,20288
20290,55,20289
20291,55,20290
20292,12,20291
20293,13,20292
20294,13,20291
20295,13,20290
20296,12,20289
20297,13,20296
20298,87,20055
20299,89,20298
20300,90,20299
20301,90,20299
20302,17,20298
20303,52,20302
20304,55,20303
20305,55,20304
20306,12,20305
20307,13,20306
20308,13,20305
20309,13,20304
20310,12,20303
20311,13,20310
20312,87,20055
20313,89,20312
20314,90,20313
20315,90,20313
20316,90,20313
20317,17,20312
20318,0,20317
20319,69,20312
20320,52,20319
20321,12,20320
20322,13,20321
20323,0,20320
20324,87,20055
20325,89,20324
20326,90,20325
20327,90,20325
20328,90,20325
20329,17,20324
20330,0,20329
20331,69,20324
20332,52,20331
20333,12,20332
20334,13,20333
20335,0,20332
20336,87,20055
20337,89,20336
20338,90,20337
20339,90,20337
20340,90,20337
20341,90,20337
20342,17,20336
20343,0,20342
20344,76,20336
20345,19,20344
20346,22,20345
20347,41,20345
20348,55,20347
20349,12,20348
20350,13,20349
20351,13,20348
20352,50,20347
20353,6,20347
20354,0,20353
20355,0,20353
20356,0,20353
20357,0,20353
20358,13,20353
20359,91,20344
20360,12,20359
20361,13,20360
20362,17,20336
20363,52,20362
20364,55,20363
20365,12,20364
20366,13,20365
