node_id,class_name,parent_id
21844,100,-1
21845,17,21844
21846,0,21845
21847,73,21844
21848,75,21847
21849,73,21844
21850,75,21849
21851,74,21844
21852,75,21851
21853,75,21851
21854,74,21844
21855,75,21854
21856,65,21844
21857,12,21856
21858,14,21857
21859,52,21856
21860,55,21859
21861,12,21860
21862,13,21861
21863,13,21860
21864,12,21859
21865,13,21864
21866,95,21844
21867,12,21866
21868,13,21867
21869,17,21866
21870,0,21869
21871,87,21866
21872,89,21871
21873,90,21872
21874,90,21872
21875,90,21872
21876,90,21872
21877,0,21872
21878,0,21872
21879,17,21871
21880,52,21879
21881,55,21880
21882,52,21881
21883,12,21882
21884,13,21883
21885,13,21881
21886,12,21880
21887,13,21886
21888,53,21880
21889,12,21888
21890,13,21889
21891,53,21880
21892,12,21891
21893,13,21892
21894,87,21866
21895,89,21894
21896,90,21895
21897,90,21895
21898,90,21895
21899,17,21894
21900,0,21899
21901,65,21894
21902,12,21901
21903,14,21902
21904,52,21901
21905,55,21904
21906,12,21905
21907,13,21906
21908,13,21905
21909,81,21894
21910,17,21909
21911,52,21910
21912,55,21911
21913,12,21912
21914,13,21913
21915,13,21912
21916,0,21911
21917,12,21911
21918,13,21917
21919,17,21909
21920,52,21919
21921,55,21920
21922,12,21921
21923,13,21922
21924,13,21921
21925,12,21920
21926,13,21925
21927,84,21909
21928,55,21927
21929,12,21928
21930,13,21929
21931,13,21928
21932,17,21927
21933,52,21932
21934,55,21933
21935,12,21934
21936,13,21935
21937,13,21934
21938,0,21933
21939,12,21933
21940,13,21939
21941,17,21927
21942,52,21941
21943,55,21942
21944,12,21943
21945,13,21944
21946,13,21943
21947,55,21942
21948,12,21947
21949,13,21948
21950,13,21947
21951,91,21927
21952,7,21951
21953,12,21952
21954,13,21953
21955,55,21952
21956,12,21955
21957,13,21956
21958,13,21955
21959,55,21952
21960,12,21959
21961,13,21960
21962,13,21959
21963,13,21952
21964,65,21894
21965,12,21964
21966,14,21965
21967,52,21964
21968,55,21967
21969,12,21968
21970,13,21969
21971,13,21968
21972,12,21967
21973,13,21972
21974,53,21967
21975,55,21974
21976,12,21975
21977,13,21976
21978,13,21975
21979,77,21894
21980,12,21979
21981,14,21980
21982,55,21979
21983,12,21982
21984,13,21983
21985,13,21982
21986,65,21979
21987,12,21986
21988,14,21987
21989,52,21986
21990,12,21989
21991,13,21990
21992,12,21989
21993,13,21992
21994,17,21894
21995,52,21994
21996,55,21995
21997,55,21996
21998,12,21997
21999,13,21998
22000,13,21997
22001,13,21996
22002,12,21995
22003,13,22002
22004,12,21995
22005,13,22004
22006,17,21894
22007,52,22006
22008,55,22007
22009,12,22008
22010,13,22009
22011,13,22008
22012,0,22007
22013,55,22007
22014,12,22013
22015,13,22014
22016,13,22013
22017,55,22007
22018,12,22017
22019,13,22018
22020,13,22017
22021,12,22007
22022,13,22021
22023,91,21894
22024,7,22023
22025,12,22024
22026,13,22025
22027,52,22024
22028,55,22027
22029,12,22028
22030,13,22029
22031,13,22028
22032,12,22027
22033,13,22032
22034,0,22024
22035,13,22024
22036,87,21866
22037,89,22036
22038,90,22037
22039,90,22037
22040,17,22036
22041,0,22040
22042,76,22036
22043,41,22042
22044,55,22043
22045,12,22044
22046,13,22045
22047,13,22044
22048,43,22043
22049,0,22043
22050,69,22042
22051,52,22050
22052,55,22051
22053,12,22052
22054,13,22053
22055,13,22052
22056,53,22051
22057,12,22056
22058,13,22057
22059,77,22036
22060,12,22059
22061,14,22060
22062,55,22059
22063,55,22062
22064,12,22063
22065,13,22064
22066,13,22063
22067,13,22062
22068,17,22059
22069,52,22068
22070,12,22069
22071,13,22070
22072,12,22069
22073,13,22072
22074,76,22036
22075,41,22074
22076,55,22075
22077,12,22076
