node_id,class_name,parent_id
23837,100,-1
23838,17,23837
23839,0,23838
23840,73,23837
23841,75,23840
23842,73,23837
23843,75,23842
23844,74,23837
23845,75,23844
23846,74,23837
23847,75,23846
23848,74,23837
23849,75,23848
23850,75,23848
23851,74,23837
23852,75,23851
23853,65,23837
23854,12,23853
23855,14,23854
23856,52,23853
23857,55,23856
23858,12,23857
23859,13,23858
23860,13,23857
23861,12,23856
23862,13,23861
23863,95,23837
23864,12,23863
23865,13,23864
23866,17,23863
23867,0,23866
23868,87,23863
23869,89,23868
23870,90,23869
23871,90,23869
23872,65,23868
23873,55,23872
23874,12,23873
23875,13,23874
23876,14,23873
23877,52,23872
23878,12,23877
23879,13,23878
23880,12,23877
23881,13,23880
23882,0,23877
23883,0,23877
23884,0,23877
23885,65,23868
23886,55,23885
23887,12,23886
23888,13,23887
23889,14,23886
23890,12,23885
23891,13,23890
23892,17,23868
23893,52,23892
23894,55,23893
23895,12,23894
23896,13,23895
23897,13,23894
23898,12,23893
23899,13,23898
23900,87,23863
23901,89,23900
23902,90,23901
23903,90,23901
23904,90,23901
23905,90,23901
23906,90,23901
23907,0,23901
23908,0,23901
23909,0,23901
23910,17,23900
23911,0,23910
23912,65,23900
23913,12,23912
23914,14,23913
23915,52,23912
23916,12,23915
23917,13,23916
23918,12,23915
23919,13,23918
23920,12,23915
23921,13,23920
23922,12,23915
23923,13,23922
23924,12,23915
23925,13,23924
23926,65,23900
23927,55,23926
23928,12,23927
23929,13,23928
23930,14,23927
23931,6,23926
23932,0,23931
23933,13,23931
23934,17,23900
23935,52,23934
23936,55,23935
23937,12,23936
23938,13,23937
23939,13,23936
23940,12,23935
23941,13,23940
23942,65,23900
23943,12,23942
23944,14,23943
23945,52,23942
23946,55,23945
23947,55,23946
23948,12,23947
23949,13,23948
23950,13,23947
23951,13,23946
23952,12,23945
23953,13,23952
23954,76,23900
23955,41,23954
23956,12,23955
23957,13,23956
23958,48,23955
23959,0,23955
23960,17,23954
23961,52,23960
23962,55,23961
23963,12,23962
23964,13,23963
23965,13,23962
23966,0,23961
23967,12,23961
23968,13,23967
23969,69,23954
23970,52,23969
23971,55,23970
23972,12,23971
23973,13,23972
23974,13,23971
23975,53,23970
23976,0,23975
23977,76,23900
23978,52,23977
23979,12,23978
23980,13,23979
23981,12,23978
23982,13,23981
23983,12,23978
23984,13,23983
23985,65,23977
23986,12,23985
23987,14,23986
23988,9,23985
23989,0,23988
23990,0,23988
23991,76,23977
23992,41,23991
23993,0,23992
23994,51,23992
23995,12,23992
23996,13,23995
23997,17,23991
23998,52,23997
23999,55,23998
24000,12,23999
24001,13,24000
24002,13,23999
24003,0,23998
24004,12,23998
24005,13,24004
24006,69,23991
24007,52,24006
24008,55,24007
24009,12,24008
24010,13,24009
24011,13,24008
24012,53,24007
24013,0,24012
24014,65,23977
24015,12,24014
24016,14,24015
24017,52,24014
24018,55,24017
24019,12,24018
24020,13,24019
24021,13,24018
24022,12,24017
24023,13,24022
24024,76,23977
24025,52,24024
24026,12,24025
24027,13,24026
24028,12,24025
24029,13,24028
24030,12,24025
24031,13,24030
24032,65,24024
24033,12,24032
24034,14,24033
24035,9,24032
24036,0,24035
24037,0,24035
24038,65,24024
24039,12,24038
24040,14,24039
24041,12,24038
24042,13,24041
24043,17,24024
24044,52,24043
24045,55,24044
24046,12,24045
24047,13,24046
24048,13,24045
24049,0,24044
24050,12,24044
24051,13,24050
24052,69,24024
24053,52,24052
24054,55,24053
24055,12,24054
24056,13,24055
24057,13,24054
24058,53,24053
24059,0,24058
24060,17,23900
24061,52,24060
24062,55,24061
24063,12,24062
24064,13,24063
24065,13,24062
24066,0,24061
24067,12,24061
24068,13,24067
24069,91,23900
24070,7,24069
24071,12,24070
24072,13,24071
24073,12,24070
24074,13,24073
24075,0,24070
24076,13,24070
24077,12,23900
24078,13,24077
24079,87,23863
24080,89,24079
24081,90,24080
24082,90,24080
24083,17,24079
24084,0,24083
24085,76,24079
24086,19,24085
24087,22,24086
24088,52,24086
24089,55,24088
24090,55,24089
24091,12,24090
24092,13,24091
24093,13,24090
24094,13,24089
24095,12,24088
24096,13,24095
24097,69,24085
24098,52,24097
24099,55,24098
24100,12,24099
24101,13,24100
24102,13,24099
24103,76,24079
24104,41,24103
24105,0,24104
24106,51,24104
24107,55,24104
24108,12,24107
24109,13,24108
24110,13,24107
24111,69,24103
24112,52,24111
24113,55,24112
24114,12,24113
24115,13,24114
24116,13,24113
