node_id,class_name,parent_id
23244,100,-1
23245,17,23244
23246,0,23245
23247,74,23244
23248,75,23247
23249,75,23247
23250,95,23244
23251,12,23250
23252,13,23251
23253,65,23250
23254,12,23253
23255,14,23254
23256,7,23253
23257,0,23256
23258,0,23256
23259,0,23256
23260,0,23256
23261,13,23256
23262,87,23250
23263,89,23262
23264,90,23263
23265,90,23263
23266,90,23263
23267,90,23263
23268,90,23263
23269,0,23263
23270,0,23263
23271,0,23263
23272,0,23263
23273,65,23262
23274,55,23273
23275,12,23274
23276,13,23275
23277,14,23274
23278,12,23273
23279,13,23278
23280,65,23262
23281,55,23280
23282,12,23281
23283,13,23282
23284,14,23281
23285,38,23280
23286,40,23285
23287,12,23285
23288,13,23287
23289,12,23285
23290,13,23289
23291,65,23262
23292,55,23291
23293,12,23292
23294,13,23293
23295,14,23292
23296,38,23291
23297,40,23296
23298,12,23296
23299,13,23298
23300,55,23296
23301,12,23300
23302,13,23301
23303,13,23300
23304,65,23262
23305,55,23304
23306,12,23305
23307,13,23306
23308,14,23305
23309,38,23304
23310,40,23309
23311,12,23309
23312,13,23311
23313,0,23309
23314,87,23250
23315,89,23314
23316,90,23315
23317,90,23315
23318,90,23315
23319,0,23315
23320,17,23314
23321,0,23320
23322,76,23314
23323,52,23322
23324,12,23323
23325,13,23324
23326,55,23323
23327,12,23326
23328,13,23327
23329,13,23326
23330,65,23322
23331,12,23330
23332,14,23331
23333,52,23330
23334,55,23333
23335,12,23334
23336,13,23335
23337,13,23334
23338,12,23333
23339,13,23338
23340,65,23322
23341,12,23340
23342,14,23341
23343,55,23340
23344,12,23343
23345,13,23344
23346,13,23343
23347,65,23314
23348,55,23347
23349,12,23348
23350,13,23349
23351,14,23348
23352,12,23347
23353,13,23352
23354,91,23314
23355,52,23354
23356,55,23355
23357,55,23356
23358,12,23357
23359,13,23358
23360,13,23357
23361,13,23356
23362,0,23355
23363,0,23355
23364,12,23355
23365,13,23364
23366,87,23250
23367,89,23366
23368,90,23367
23369,90,23367
23370,65,23366
23371,12,23370
23372,14,23371
23373,0,23370
23374,76,23366
23375,41,23374
23376,0,23375
23377,50,23375
23378,55,23375
23379,12,23378
23380,13,23379
23381,13,23378
23382,65,23374
23383,12,23382
23384,14,23383
23385,56,23382
23386,52,23385
23387,55,23386
23388,55,23387
23389,12,23388
23390,13,23389
23391,13,23388
23392,13,23387
23393,0,23386
23394,58,23385
23395,0,23394
23396,13,23385
23397,65,23374
23398,12,23397
23399,14,23398
23400,55,23397
23401,12,23400
23402,13,23401
23403,13,23400
23404,91,23366
23405,52,23404
23406,55,23405
23407,55,23406
23408,12,23407
23409,13,23408
23410,13,23407
23411,13,23406
23412,12,23405
23413,13,23412
23414,55,23405
23415,12,23414
23416,13,23415
23417,13,23414
23418,12,23405
23419,13,23418
23420,87,23250
23421,89,23420
23422,90,23421
23423,90,23421
23424,65,23420
23425,12,23424
23426,14,23425
23427,56,23424
23428,52,23427
23429,55,23428
23430,55,23429
23431,12,23430
23432,13,23431
23433,13,23430
23434,13,23429
23435,0,23428
23436,0,23428
23437,58,23427
23438,0,23437
23439,13,23427
23440,76,23420
23441,38,23440
23442,39,23441
23443,52,23441
23444,55,23443
23445,12,23444
23446,13,23445
23447,13,23444
23448,0,23443
23449,41,23441
23450,52,23449
23451,55,23450
23452,12,23451
23453,13,23452
23454,13,23451
23455,0,23450
23456,50,23449
23457,7,23449
23458,0,23457
23459,0,23457
23460,13,23457
23461,91,23440
23462,0,23461
23463,91,23440
23464,0,23463
