node_id,class_name,parent_id,Generator
14094,100,-1,0
14095,17,14094,0
14096,0,14095,0
14097,74,14094,0
14098,75,14097,0
14099,74,14094,0
14100,75,14099,0
14101,95,14094,0
14102,12,14101,0
14103,13,14102,0
14104,17,14101,0
14105,0,14104,0
14106,65,14101,0
14107,12,14106,0
14108,14,14107,0
14109,0,14106,0
14110,87,14101,0
14111,89,14110,0
14112,90,14111,0
14113,90,14111,0
14114,90,14111,0
14115,17,14110,0
14116,52,14115,0
14117,55,14116,0
14118,52,14117,0
14119,12,14118,0
14120,13,14119,0
14121,13,14117,0
14122,12,14116,0
14123,13,14122,0
14124,53,14116,0
14125,12,14124,0
14126,13,14125,0
14127,87,14101,0
14128,89,14127,0
14129,90,14128,0
14130,90,14128,0
14131,90,14128,0
14132,90,14128,0
14133,90,14128,0
14134,90,14128,0
14135,90,14128,0
14136,0,14128,0
14137,0,14128,0
14138,0,14128,0
14139,17,14127,0
14140,0,14139,0
14141,65,14127,0
14142,56,14141,0
14143,12,14142,0
14144,13,14143,0
14145,57,14142,0
14146,0,14145,0
14147,14,14142,0
14148,55,14141,0
14149,12,14148,0
14150,13,14149,0
14151,13,14148,0
14152,65,14127,0
14153,56,14152,0
14154,12,14153,0
14155,13,14154,0
14156,57,14153,0
14157,0,14156,0
14158,14,14153,0
14159,12,14152,0
14160,13,14159,0
14161,65,14127,0
14162,12,14161,0
14163,14,14162,0
14164,54,14161,0
14165,41,14164,0
14166,12,14165,0
14167,13,14166,0
14168,48,14165,0
14169,0,14165,0
14170,55,14164,0
14171,12,14170,0
14172,13,14171,0
14173,13,14170,0
14174,12,14164,0
14175,13,14174,0
14176,91,14127,0
14177,52,14176,0
14178,12,14177,0
14179,13,14178,0
14180,55,14177,0
14181,12,14180,0
14182,13,14181,0
14183,13,14180,0
14184,53,14177,0
14185,12,14184,0
14186,13,14185,0
14187,53,14177,0
14188,12,14187,0
14189,13,14188,0
14190,53,14177,0
14191,12,14190,0
14192,13,14191,0
14193,53,14177,0
14194,12,14193,0
14195,13,14194,0
14196,53,14177,0
14197,12,14196,0
14198,13,14197,0
