node_id,class_name,parent_id,Generator
18161,100,-1,0
18162,17,18161,0
18163,0,18162,0
18164,73,18161,0
18165,75,18164,0
18166,74,18161,0
18167,75,18166,0
18168,74,18161,0
18169,75,18168,0
18170,74,18161,0
18171,75,18170,0
18172,75,18170,0
18173,65,18161,0
18174,12,18173,0
18175,14,18174,0
18176,52,18173,0
18177,55,18176,0
18178,12,18177,0
18179,13,18178,0
18180,13,18177,0
18181,12,18176,0
18182,13,18181,0
18183,95,18161,0
18184,12,18183,0
18185,13,18184,0
18186,17,18183,0
18187,0,18186,0
18188,65,18183,0
18189,12,18188,0
18190,14,18189,0
18191,7,18188,0
18192,0,18191,0
18193,13,18191,0
18194,87,18183,0
18195,89,18194,0
18196,90,18195,0
18197,90,18195,0
18198,90,18195,0
18199,90,18195,0
18200,17,18194,0
18201,52,18200,0
18202,55,18201,0
18203,12,18202,0
18204,13,18203,0
18205,13,18202,0
18206,12,18201,0
18207,13,18206,0
18208,65,18194,0
18209,55,18208,0
18210,12,18209,0
18211,13,18210,0
18212,14,18209,0
18213,12,18208,0
18214,13,18213,0
18215,65,18194,0
18216,55,18215,0
18217,12,18216,0
18218,13,18217,0
18219,14,18216,0
18220,12,18215,0
18221,13,18220,0
18222,65,18194,0
18223,55,18222,0
18224,12,18223,0
18225,13,18224,0
18226,14,18223,0
18227,12,18222,0
18228,13,18227,0
18229,87,18183,0
18230,89,18229,0
18231,90,18230,0
18232,91,18229,0
18233,55,18232,0
18234,12,18233,0
18235,13,18234,0
18236,13,18233,0
18237,12,18229,0
18238,13,18237,0
18239,87,18183,0
18240,89,18239,0
18241,90,18240,0
18242,91,18239,0
18243,55,18242,0
18244,12,18243,0
18245,13,18244,0
18246,13,18243,0
18247,12,18239,0
18248,13,18247,0
18249,87,18183,0
18250,89,18249,0
18251,90,18250,0
18252,91,18249,0
18253,52,18252,0
18254,55,18253,0
18255,55,18254,0
18256,12,18255,0
18257,13,18256,0
18258,13,18255,0
18259,13,18254,0
18260,55,18253,0
18261,12,18260,0
18262,13,18261,0
18263,13,18260,0
18264,12,18249,0
18265,13,18264,0
18266,87,18183,0
18267,89,18266,0
18268,90,18267,0
18269,91,18266,0
18270,55,18269,0
18271,12,18270,0
18272,13,18271,0
18273,13,18270,0
18274,12,18266,0
18275,13,18274,0
18276,87,18183,0
18277,89,18276,0
18278,90,18277,0
18279,90,18277,0
18280,90,18277,0
18281,90,18277,0
18282,90,18277,0
18283,90,18277,0
18284,90,18277,0
18285,90,18277,0
18286,0,18277,0
18287,0,18277,0
18288,0,18277,0
18289,0,18277,0
18290,0,18277,0
18291,0,18277,0
18292,17,18276,0
18293,0,18292,0
18294,65,18276,0
18295,12,18294,0
18296,14,18295,0
18297,52,18294,0
18298,12,18297,0
18299,13,18298,0
18300,12,18297,0
18301,13,18300,0
18302,53,18297,0
18303,12,18302,0
18304,13,18303,0
18305,53,18297,0
18306,12,18305,0
18307,13,18306,0
18308,53,18297,0
18309,12,18308,0
18310,13,18309,0
18311,17,18276,0
18312,52,18311,0
18313,55,18312,0
18314,12,18313,0
18315,13,18314,0
18316,13,18313,0
18317,12,18312,0
18318,13,18317,0
18319,65,18276,0
18320,55,18319,0
18321,12,18320,0
18322,13,18321,0
18323,14,18320,0
18324,52,18319,0
18325,55,18324,0
18326,12,18325,0
18327,13,18326,0
18328,13,18325,0
18329,55,18324,0
18330,12,18329,0
18331,13,18330,0
18332,13,18329,0
18333,65,18276,0
18334,55,18333,0
18335,12,18334,0
18336,13,18335,0
18337,14,18334,0
18338,12,18333,0
18339,13,18338,0
18340,76,18276,0
18341,12,18340,0
18342,13,18341,0
18343,65,18340,0
18344,55,18343,0
18345,12,18344,0
18346,13,18345,0
18347,14,18344,0
18348,12,18343,0
18349,13,18348,0
18350,76,18276,0
18351,12,18350,0
18352,13,18351,0
18353,65,18350,0
18354,55,18353,0
18355,12,18354,0
18356,13,18355,0
18357,14,18354,0
18358,12,18353,0
18359,13,18358,0
18360,65,18276,0
18361,12,18360,0
18362,14,18361,0
18363,52,18360,0
18364,55,18363,0
18365,55,18364,0
18366,12,18365,0
18367,13,18366,0
18368,13,18365,0
18369,13,18364,0
18370,55,18363,0
18371,12,18370,0
18372,13,18371,0
18373,13,18370,0
18374,55,18363,0
18375,12,18374,0
18376,13,18375,0
18377,13,18374,0
18378,17,18276,0
18379,52,18378,0
18380,55,18379,0
18381,12,18380,0
18382,13,18381,0
18383,13,18380,0
18384,0,18379,0
18385,55,18379,0
18386,12,18385,0
18387,13,18386,0
18388,13,18385,0
18389,12,18379,0
18390,13,18389,0
18391,91,18276,0
18392,52,18391,0
18393,55,18392,0
18394,12,18393,0
18395,13,18394,0
18396,13,18393,0
18397,12,18392,0
18398,13,18397,0
18399,55,18392,0
18400,12,18399,0
18401,13,18400,0
18402,13,18399,0
18403,12,18276,0
18404,13,18403,0
18405,87,18183,0
18406,89,18405,0
18407,90,18406,0
18408,90,18406,0
18409,17,18405,0
18410,52,18409,0
18411,55,18410,0
18412,12,18411,0
18413,13,18412,0
18414,13,18411,0
18415,12,18410,0
18416,13,18415,0
18417,17,18405,0
18418,52,18417,0
18419,55,18418,0
18420,12,18419,0
18421,13,18420,0
18422,13,18419,0
18423,12,18418,0
18424,13,18423,0
