node_id,class_name,parent_id,Generator
9001,100,-1,0
9002,17,9001,0
9003,0,9002,0
9004,73,9001,0
9005,75,9004,0
9006,74,9001,0
9007,75,9006,0
9008,75,9006,0
9009,95,9001,0
9010,12,9009,0
9011,13,9010,0
9012,65,9009,0
9013,12,9012,0
9014,14,9013,0
9015,0,9012,0
9016,65,9009,0
9017,12,9016,0
9018,14,9017,0
9019,0,9016,0
9020,65,9009,0
9021,12,9020,0
9022,14,9021,0
9023,0,9020,0
9024,87,9009,0
9025,89,9024,0
9026,90,9025,0
9027,90,9025,0
9028,90,9025,0
9029,90,9025,0
9030,90,9025,0
9031,90,9025,0
9032,0,9025,0
9033,0,9025,0
9034,0,9025,0
9035,0,9025,0
9036,0,9025,0
9037,17,9024,0
9038,0,9037,0
9039,76,9024,0
9040,41,9039,0
9041,12,9040,0
9042,13,9041,0
9043,49,9040,0
9044,0,9040,0
9045,65,9039,0
9046,55,9045,0
9047,12,9046,0
9048,13,9047,0
9049,14,9046,0
9050,12,9045,0
9051,13,9050,0
9052,65,9024,0
9053,12,9052,0
9054,14,9053,0
9055,52,9052,0
9056,55,9055,0
9057,0,9056,0
9058,13,9056,0
9059,55,9055,0
9060,12,9059,0
9061,13,9060,0
9062,13,9059,0
9063,55,9055,0
9064,12,9063,0
9065,13,9064,0
9066,13,9063,0
9067,76,9024,0
9068,12,9067,0
9069,13,9068,0
9070,67,9067,0
9071,12,9070,0
9072,14,9071,0
9073,25,9070,0
9074,24,9070,0
9075,0,9074,0
9076,25,9074,0
9077,52,9074,0
9078,12,9077,0
9079,13,9078,0
9080,12,9077,0
9081,13,9080,0
9082,17,9024,0
9083,52,9082,0
9084,55,9083,0
9085,52,9084,0
9086,12,9085,0
9087,13,9086,0
9088,13,9084,0
9089,12,9083,0
9090,13,9089,0
9091,65,9024,0
9092,55,9091,0
9093,12,9092,0
9094,13,9093,0
9095,14,9092,0
9096,12,9091,0
9097,13,9096,0
9098,65,9024,0
9099,55,9098,0
9100,12,9099,0
9101,13,9100,0
9102,14,9099,0
9103,12,9098,0
9104,13,9103,0
9105,76,9024,0
9106,12,9105,0
9107,13,9106,0
9108,65,9105,0
9109,55,9108,0
9110,12,9109,0
9111,13,9110,0
9112,14,9109,0
9113,12,9108,0
9114,13,9113,0
9115,76,9024,0
9116,12,9115,0
9117,13,9116,0
9118,65,9115,0
9119,55,9118,0
9120,12,9119,0
9121,13,9120,0
9122,14,9119,0
9123,55,9118,0
9124,12,9123,0
9125,13,9124,0
9126,13,9123,0
9127,65,9115,0
9128,55,9127,0
9129,12,9128,0
9130,13,9129,0
9131,14,9128,0
9132,55,9127,0
9133,12,9132,0
9134,13,9133,0
9135,13,9132,0
9136,65,9115,0
9137,55,9136,0
9138,12,9137,0
9139,13,9138,0
9140,14,9137,0
9141,55,9136,0
9142,12,9141,0
9143,13,9142,0
9144,13,9141,0
9145,65,9115,0
9146,55,9145,0
9147,12,9146,0
9148,13,9147,0
9149,14,9146,0
9150,55,9145,0
9151,12,9150,0
9152,13,9151,0
9153,13,9150,0
9154,65,9115,0
9155,55,9154,0
9156,12,9155,0
9157,13,9156,0
9158,14,9155,0
9159,55,9154,0
9160,12,9159,0
9161,13,9160,0
9162,13,9159,0
9163,65,9115,0
9164,55,9163,0
9165,12,9164,0
9166,13,9165,0
9167,14,9164,0
9168,55,9163,0
9169,12,9168,0
9170,13,9169,0
9171,13,9168,0
9172,76,9115,0
9173,19,9172,0
9174,22,9173,0
9175,12,9173,0
9176,13,9175,0
9177,65,9172,0
9178,55,9177,0
9179,12,9178,0
9180,13,9179,0
9181,14,9178,0
9182,55,9177,0
9183,12,9182,0
9184,13,9183,0
9185,13,9182,0
9186,65,9115,0
9187,55,9186,0
9188,12,9187,0
9189,13,9188,0
9190,14,9187,0
9191,0,9186,0
9192,65,9115,0
9193,55,9192,0
9194,12,9193,0
9195,13,9194,0
9196,14,9193,0
9197,0,9192,0
9198,65,9115,0
9199,55,9198,0
9200,12,9199,0
9201,13,9200,0
9202,14,9199,0
9203,0,9198,0
9204,65,9115,0
