node_id,class_name,parent_id
5114,100,-1
5115,74,5114
5116,75,5115
5117,75,5115
5118,74,5114
5119,75,5118
5120,73,5114
5121,75,5120
5122,95,5114
5123,12,5122
5124,13,5123
5125,65,5122
5126,12,5125
5127,14,5126
5128,12,5125
5129,13,5128
5130,87,5122
5131,89,5130
5132,90,5131
5133,90,5131
5134,72,5130
5135,87,5122
5136,89,5135
5137,90,5136
5138,90,5136
5139,65,5135
5140,12,5139
5141,14,5140
5142,52,5139
5143,12,5142
5144,13,5143
5145,53,5142
5146,55,5145
5147,12,5146
5148,13,5147
5149,13,5146
5150,65,5135
5151,55,5150
5152,12,5151
5153,13,5152
5154,14,5151
5155,55,5150
5156,12,5155
5157,13,5156
5158,13,5155
5159,65,5135
5160,55,5159
5161,12,5160
5162,13,5161
5163,14,5160
5164,55,5159
5165,12,5164
5166,13,5165
5167,13,5164
5168,91,5135
5169,12,5168
5170,13,5169
5171,87,5122
5172,89,5171
5173,90,5172
5174,72,5171
5175,12,5171
5176,13,5175
5177,87,5122
5178,89,5177
5179,90,5178
5180,90,5178
5181,90,5178
5182,0,5178
5183,72,5177
5184,12,5177
5185,13,5184
5186,65,5122
5187,12,5186
5188,14,5187
5189,0,5186
5190,65,5122
5191,12,5190
5192,14,5191
5193,0,5190
5194,87,5122
5195,89,5194
5196,90,5195
5197,90,5195
5198,90,5195
5199,0,5195
5200,76,5194
5201,55,5200
5202,12,5201
5203,13,5202
5204,13,5201
5205,91,5200
5206,52,5205
5207,12,5206
5208,13,5207
5209,62,5206
5210,12,5209
5211,13,5210
5212,64,5209
5213,12,5212
5214,14,5213
5215,52,5212
5216,55,5215
5217,12,5216
5218,13,5217
5219,13,5216
5220,12,5215
5221,13,5220
5222,12,5215
5223,13,5222
5224,91,5200
5225,60,5224
5226,12,5225
5227,13,5226
5228,64,5225
5229,12,5228
5230,14,5229
5231,52,5228
5232,55,5231
5233,12,5232
5234,13,5233
5235,13,5232
5236,12,5231
5237,13,5236
5238,12,5231
5239,13,5238
5240,95,5114
5241,12,5240
5242,13,5241
5243,87,5240
5244,89,5243
5245,90,5244
5246,90,5244
5247,65,5243
5248,55,5247
5249,12,5248
5250,13,5249
5251,14,5248
5252,9,5247
5253,87,5240
5254,89,5253
5255,90,5254
5256,90,5254
5257,17,5253
5258,0,5257
5259,77,5253
5260,12,5259
5261,14,5260
5262,52,5259
5263,55,5262
5264,55,5263
5265,12,5264
5266,13,5265
5267,13,5264
5268,13,5263
5269,24,5262
5270,52,5269
5271,12,5270
5272,13,5271
5273,12,5270
5274,13,5273
5275,26,5269
5276,0,5269
5277,0,5262
5278,19,5262
5279,21,5278
5280,0,5278
5281,65,5259
5282,12,5281
5283,14,5282
5284,56,5281
5285,12,5284
5286,13,5285
5287,58,5284
5288,0,5287
5289,12,5287
5290,13,5289
5291,13,5284
5292,76,5259
5293,41,5292
5294,12,5293
5295,13,5294
5296,50,5293
5297,55,5293
5298,12,5297
5299,13,5298
5300,13,5297
5301,91,5292
5302,62,5301
5303,12,5302
5304,13,5303
5305,64,5302
5306,7,5305
5307,12,5306
5308,14,5307
5309,12,5306
5310,14,5309
5311,12,5306
5312,14,5311
5313,14,5306
5314,56,5305
5315,55,5314
5316,12,5315
5317,13,5316
5318,13,5315
5319,57,5314
5320,12,5319
5321,13,5320
5322,13,5314
5323,91,5253
5324,0,5323
5325,87,5240
5326,89,5325
5327,90,5326
5328,90,5326
5329,76,5325
5330,41,5329
5331,12,5330
5332,13,5331
5333,50,5330
5334,55,5330
5335,12,5334
5336,13,5335
5337,13,5334
5338,91,5329
5339,56,5338
5340,55,5339
5341,12,5340
5342,13,5341
5343,13,5340
5344,57,5339
5345,12,5344
5346,13,5345
5347,13,5339
5348,65,5325
5349,12,5348
5350,14,5349
5351,38,5348
5352,40,5351
5353,52,5351
5354,55,5353
5355,12,5354
5356,13,5355
5357,13,5354
5358,12,5353
5359,13,5358
5360,55,5351
5361,12,5360
5362,13,5361
5363,13,5360
5364,91,5325
5365,52,5364
5366,55,5365
5367,12,5366
5368,13,5367
5369,13,5366
5370,12,5365
5371,13,5370
5372,12,5365
5373,13,5372
5374,12,5365
5375,13,5374
5376,95,5114
5377,12,5376
5378,13,5377
5379,87,5376
5380,89,5379
5381,90,5380
5382,90,5380
5383,90,5380
5384,0,5380
5385,17,5379
5386,52,5385
5387,55,5386
5388,12,5387
5389,13,5388
5390,13,5387
5391,12,5386
5392,13,5391
5393,65,5379
5394,55,5393
5395,12,5394
5396,13,5395
5397,14,5394
5398,12,5393
5399,13,5398
5400,65,5379
5401,55,5400
5402,12,5401
5403,13,5402
5404,14,5401
5405,12,5400
5406,13,5405
5407,87,5376
5408,89,5407
5409,90,5408
5410,90,5408
5411,65,5407
5412,12,5411
5413,14,5412
5414,52,5411
5415,55,5414
5416,12,5415
5417,13,5416
5418,13,5415
5419,12,5414
5420,13,5419
5421,12,5414
5422,13,5421
5423,65,5407
5424,55,5423
5425,12,5424
5426,13,5425
5427,14,5424
5428,55,5423
5429,12,5428
5430,13,5429
5431,13,5428
5432,65,5407
5433,55,5432
5434,12,5433
5435,13,5434
5436,14,5433
5437,55,5432
5438,12,5437
5439,13,5438
5440,13,5437
5441,91,5407
5442,12,5441
5443,13,5442
5444,65,5376
5445,12,5444
5446,14,5445
5447,0,5444
5448,65,5376
5449,12,5448
5450,14,5449
5451,0,5448
5452,65,5376
5453,12,5452
5454,14,5453
5455,6,5452
5456,6,5455
5457,0,5456
5458,6,5456
5459,7,5458
5460,0,5459
5461,0,5459
5462,13,5459
5463,13,5458
5464,13,5456
5465,13,5455
5466,87,5376
5467,89,5466
5468,90,5467
5469,90,5467
5470,90,5467
5471,0,5467
5472,65,5466
5473,12,5472
5474,14,5473
5475,41,5472
5476,12,5475
5477,13,5476
5478,42,5475
5479,0,5475
5480,76,5466
5481,55,5480
5482,12,5481
5483,13,5482
5484,13,5481
5485,65,5480
5486,12,5485
5487,14,5486
5488,52,5485
5489,55,5488
5490,12,5489
5491,13,5490
5492,13,5489
5493,76,5466
5494,55,5493
5495,12,5494
5496,13,5495
5497,13,5494
5498,65,5493
5499,12,5498
5500,14,5499
5501,60,5498
5502,52,5501
5503,55,5502
5504,12,5503
5505,13,5504
5506,13,5503
5507,12,5502
5508,13,5507
5509,64,5501
5510,12,5509
5511,14,5510
5512,52,5509
5513,55,5512
5514,12,5513
5515,13,5514
5516,13,5513
5517,55,5512
5518,12,5517
5519,13,5518
5520,13,5517
5521,65,5493
5522,12,5521
5523,14,5522
5524,6,5521
5525,52,5524
5526,55,5525
5527,12,5526
5528,13,5527
5529,13,5526
5530,12,5525
5531,13,5530
5532,13,5524
5533,76,5466
5534,41,5533
5535,12,5534
5536,13,5535
5537,48,5534
5538,0,5534
5539,65,5533
5540,12,5539
5541,14,5540
5542,55,5539
5543,12,5542
5544,13,5543
5545,13,5542
5546,77,5466
5547,7,5546
5548,12,5547
5549,14,5548
5550,12,5547
5551,14,5550
5552,14,5547
5553,52,5546
5554,12,5553
5555,13,5554
5556,12,5553
5557,13,5556
5558,76,5546
5559,12,5558
5560,13,5559
5561,65,5558
5562,12,5561
5563,14,5562
5564,55,5561
5565,12,5564
5566,13,5565
5567,13,5564
5568,76,5558
5569,55,5568
5570,12,5569
5571,13,5570
5572,13,5569
5573,65,5568
5574,12,5573
5575,14,5574
5576,52,5573
5577,55,5576
5578,12,5577
5579,13,5578
5580,13,5577
5581,65,5568
5582,12,5581
5583,14,5582
5584,12,5581
5585,13,5584
5586,65,5558
5587,12,5586
5588,14,5587
5589,52,5586
5590,55,5589
5591,12,5590
5592,13,5591
5593,13,5590
5594,12,5589
5595,13,5594
5596,12,5589
5597,13,5596
5598,76,5558
5599,55,5598
5600,12,5599
5601,13,5600
5602,13,5599
5603,65,5598
5604,12,5603
5605,14,5604
5606,54,5603
5607,12,5606
5608,13,5607
5609,0,5606
5610,55,5606
5611,12,5610
5612,13,5611
5613,13,5610
5614,76,5546
5615,12,5614
5616,13,5615
5617,17,5614
5618,92,5617
5619,7,5618
5620,12,5619
5621,13,5620
5622,12,5619
5623,13,5622
5624,12,5619
5625,13,5624
5626,13,5619
5627,65,5376
5628,12,5627
5629,14,5628
5630,0,5627
5631,87,5376
5632,89,5631
5633,90,5632
5634,90,5632
5635,90,5632
5636,65,5631
5637,12,5636
5638,14,5637
5639,6,5636
5640,13,5639
5641,65,5631
5642,12,5641
5643,14,5642
5644,55,5641
5645,12,5644
5646,13,5645
5647,13,5644
5648,77,5631
5649,12,5648
5650,14,5649
5651,12,5648
5652,13,5651
5653,76,5648
5654,12,5653
5655,13,5654
5656,65,5653
5657,12,5656
5658,14,5657
5659,52,5656
5660,55,5659
5661,12,5660
5662,13,5661
5663,13,5660
5664,12,5659
5665,13,5664
5666,12,5659
5667,13,5666
5668,76,5653
5669,12,5668
5670,13,5669
5671,17,5668
5672,52,5671
5673,55,5672
5674,12,5673
5675,13,5674
5676,13,5673
5677,7,5672
5678,12,5677
5679,13,5678
5680,12,5677
5681,13,5680
5682,13,5677
5683,76,5668
5684,12,5683
5685,13,5684
5686,91,5683
5687,0,5686
5688,91,5631
5689,12,5688
5690,13,5689
5691,87,5376
5692,89,5691
5693,90,5692
5694,90,5692
5695,90,5692
5696,72,5691
5697,12,5691
5698,13,5697
5699,87,5376
5700,89,5699
5701,90,5700
5702,90,5700
5703,91,5699
5704,12,5703
5705,13,5704
5706,95,5114
5707,12,5706
5708,13,5707
5709,87,5706
5710,89,5709
5711,90,5710
5712,91,5709
5713,0,5712
5714,65,5706
5715,12,5714
5716,14,5715
5717,0,5714
5718,87,5706
5719,89,5718
5720,90,5719
5721,90,5719
5722,90,5719
5723,65,5718
5724,12,5723
5725,14,5724
5726,52,5723
5727,12,5726
5728,13,5727
5729,12,5726
5730,13,5729
5731,65,5718
5732,12,5731
5733,14,5732
5734,0,5731
5735,65,5718
5736,12,5735
5737,14,5736
5738,6,5735
5739,13,5738
5740,78,5718
5741,0,5740
5742,65,5740
5743,12,5742
5744,14,5743
5745,52,5742
5746,55,5745
5747,12,5746
5748,13,5747
5749,13,5746
5750,12,5745
5751,13,5750
5752,12,5745
5753,13,5752
5754,76,5740
5755,41,5754
5756,12,5755
5757,13,5756
5758,44,5755
5759,0,5755
5760,79,5754
5761,17,5740
5762,52,5761
5763,55,5762
5764,12,5763
5765,13,5764
5766,13,5763
5767,7,5762
5768,12,5767
5769,13,5768
5770,12,5767
5771,13,5770
5772,13,5767
5773,65,5740
5774,12,5773
5775,14,5774
5776,24,5773
5777,12,5776
5778,13,5777
5779,25,5776
5780,12,5776
5781,13,5780
5782,91,5718
5783,12,5782
5784,13,5783
5785,95,5114
5786,12,5785
5787,13,5786
5788,87,5785
5789,89,5788
5790,90,5789
5791,91,5788
5792,0,5791
5793,87,5785
5794,89,5793
5795,90,5794
5796,90,5794
5797,81,5793
5798,73,5797
5799,75,5798
5800,91,5797
5801,52,5800
5802,55,5801
5803,12,5802
5804,13,5803
5805,13,5802
5806,12,5801
5807,13,5806
5808,84,5797
5809,91,5808
5810,0,5809
5811,87,5785
5812,89,5811
5813,90,5812
5814,90,5812
5815,90,5812
5816,81,5811
5817,65,5816
5818,12,5817
5819,14,5818
5820,52,5817
5821,55,5820
5822,12,5821
5823,13,5822
5824,13,5821
5825,12,5820
5826,13,5825
5827,91,5816
5828,6,5827
5829,7,5828
5830,52,5829
5831,55,5830
5832,12,5831
5833,13,5832
5834,13,5831
5835,24,5829
5836,52,5835
5837,55,5836
5838,12,5837
5839,13,5838
5840,13,5837
5841,26,5835
5842,52,5835
5843,55,5842
5844,12,5843
5845,13,5844
5846,13,5843
5847,13,5829
5848,13,5828
5849,84,5816
5850,91,5849
5851,0,5850
5852,95,5114
5853,12,5852
5854,13,5853
5855,87,5852
5856,89,5855
5857,90,5856
5858,91,5855
5859,0,5858
5860,65,5852
5861,12,5860
5862,14,5861
5863,0,5860
5864,65,5852
5865,12,5864
5866,14,5865
5867,0,5864
5868,65,5852
5869,12,5868
5870,14,5869
5871,6,5868
5872,0,5871
5873,0,5871
5874,0,5871
5875,0,5871
5876,13,5871
5877,87,5852
5878,89,5877
5879,90,5878
5880,73,5877
5881,75,5880
5882,77,5877
5883,12,5882
5884,14,5883
5885,24,5882
5886,6,5885
5887,55,5886
5888,12,5887
5889,13,5888
5890,13,5887
5891,13,5886
5892,25,5885
5893,55,5885
5894,12,5893
5895,13,5894
5896,13,5893
5897,65,5882
5898,12,5897
5899,14,5898
5900,52,5897
5901,55,5900
5902,55,5901
5903,12,5902
5904,13,5903
5905,13,5902
5906,13,5901
5907,12,5900
5908,13,5907
5909,76,5882
5910,52,5909
5911,55,5910
5912,12,5911
5913,13,5912
5914,13,5911
5915,12,5910
5916,13,5915
5917,55,5910
5918,12,5917
5919,13,5918
5920,13,5917
5921,91,5909
5922,12,5921
5923,13,5922
5924,91,5877
5925,0,5924
5926,65,5852
5927,12,5926
5928,14,5927
5929,0,5926
5930,87,5852
5931,89,5930
5932,90,5931
5933,73,5930
5934,75,5933
5935,75,5933
5936,76,5930
5937,41,5936
5938,55,5937
5939,12,5938
5940,13,5939
5941,13,5938
5942,48,5937
5943,0,5937
5944,65,5936
5945,12,5944
5946,14,5945
5947,52,5944
5948,55,5947
5949,12,5948
5950,13,5949
5951,13,5948
5952,76,5936
5953,41,5952
5954,12,5953
5955,13,5954
5956,48,5953
5957,0,5953
5958,69,5952
5959,52,5958
5960,12,5959
5961,13,5960
5962,0,5959
5963,65,5936
5964,55,5963
5965,12,5964
5966,13,5965
5967,14,5964
5968,52,5963
5969,55,5968
5970,12,5969
5971,13,5970
5972,13,5969
5973,12,5968
5974,13,5973
5975,91,5930
5976,55,5975
5977,12,5976
5978,13,5977
5979,13,5976
5980,12,5930
5981,13,5980
5982,87,5852
5983,89,5982
5984,90,5983
5985,90,5983
5986,76,5982
5987,41,5986
5988,52,5987
5989,12,5988
5990,13,5989
5991,12,5988
5992,13,5991
5993,47,5987
5994,55,5987
5995,12,5994
5996,13,5995
5997,13,5994
5998,65,5986
5999,12,5998
6000,14,5999
6001,52,5998
6002,55,6001
6003,55,6002
6004,12,6003
6005,13,6004
6006,13,6003
6007,13,6002
6008,12,6001
6009,13,6008
6010,65,5986
6011,12,6010
6012,14,6011
6013,12,6010
6014,13,6013
6015,73,5982
6016,75,6015
6017,91,5982
6018,52,6017
6019,55,6018
6020,12,6019
6021,13,6020
6022,13,6019
6023,12,6018
6024,13,6023
6025,87,5852
6026,89,6025
6027,90,6026
6028,90,6026
6029,90,6026
6030,81,6025
6031,65,6030
6032,12,6031
6033,14,6032
6034,52,6031
6035,55,6034
6036,12,6035
6037,13,6036
6038,13,6035
6039,12,6034
6040,13,6039
6041,91,6030
6042,6,6041
6043,7,6042
6044,52,6043
6045,55,6044
6046,12,6045
6047,13,6046
6048,13,6045
6049,24,6043
6050,52,6049
6051,55,6050
6052,12,6051
6053,13,6052
6054,13,6051
6055,26,6049
6056,52,6049
6057,55,6056
6058,12,6057
6059,13,6058
6060,13,6057
6061,13,6043
6062,13,6042
6063,84,6030
6064,91,6063
6065,0,6064
6066,95,5114
6067,12,6066
6068,13,6067
6069,17,6066
6070,0,6069
6071,87,6066
6072,89,6071
6073,90,6072
6074,91,6071
6075,0,6074
6076,87,6066
6077,89,6076
6078,90,6077
6079,90,6077
6080,90,6077
6081,81,6076
6082,73,6081
6083,75,6082
6084,65,6081
6085,12,6084
6086,14,6085
6087,52,6084
6088,55,6087
6089,12,6088
6090,13,6089
6091,13,6088
6092,12,6087
6093,13,6092
6094,0,6087
6095,65,6081
6096,12,6095
6097,14,6096
6098,52,6095
6099,12,6098
6100,13,6099
6101,12,6098
6102,13,6101
6103,65,6081
6104,12,6103
6105,14,6104
6106,0,6103
6107,65,6081
6108,12,6107
6109,14,6108
6110,6,6107
6111,13,6110
6112,78,6081
6113,0,6112
6114,65,6112
6115,12,6114
6116,14,6115
6117,52,6114
6118,55,6117
6119,12,6118
6120,13,6119
6121,13,6118
6122,12,6117
6123,13,6122
6124,12,6117
6125,13,6124
6126,76,6112
6127,41,6126
6128,12,6127
6129,13,6128
6130,44,6127
6131,0,6127
6132,79,6126
6133,17,6112
6134,52,6133
6135,55,6134
6136,12,6135
6137,13,6136
6138,13,6135
6139,7,6134
6140,12,6139
6141,13,6140
6142,12,6139
6143,13,6142
6144,13,6139
6145,65,6112
6146,12,6145
6147,14,6146
6148,24,6145
6149,12,6148
6150,13,6149
6151,25,6148
6152,12,6148
6153,13,6152
6154,91,6081
6155,12,6154
6156,13,6155
6157,84,6081
6158,91,6157
6159,0,6158
