node_id,class_name,parent_id
7834,100,-1
7835,95,7834
7836,12,7835
7837,13,7836
7838,87,7835
7839,89,7838
7840,90,7839
7841,72,7838
7842,87,7835
7843,89,7842
7844,90,7843
7845,90,7843
7846,17,7842
7847,52,7846
7848,55,7847
7849,12,7848
7850,13,7849
7851,13,7848
7852,12,7847
7853,13,7852
7854,17,7842
7855,52,7854
7856,55,7855
7857,12,7856
7858,13,7857
7859,13,7856
7860,17,7842
7861,52,7860
7862,55,7861
7863,12,7862
7864,13,7863
7865,13,7862
7866,91,7842
7867,55,7866
7868,12,7867
7869,13,7868
7870,13,7867
7871,87,7835
7872,89,7871
7873,90,7872
7874,90,7872
7875,65,7871
7876,55,7875
7877,12,7876
7878,13,7877
7879,14,7876
7880,12,7875
7881,13,7880
7882,65,7871
7883,55,7882
7884,12,7883
7885,13,7884
7886,14,7883
7887,0,7882
7888,65,7871
7889,55,7888
7890,12,7889
7891,13,7890
7892,14,7889
7893,6,7888
7894,13,7893
7895,65,7871
7896,55,7895
7897,12,7896
7898,13,7897
7899,14,7896
7900,6,7895
7901,13,7900
7902,65,7871
7903,55,7902
7904,12,7903
7905,13,7904
7906,14,7903
7907,6,7902
7908,13,7907
7909,87,7835
7910,89,7909
7911,90,7910
7912,76,7909
7913,55,7912
7914,12,7913
7915,13,7914
7916,13,7913
7917,17,7912
7918,52,7917
7919,55,7918
7920,55,7919
7921,12,7920
7922,13,7921
7923,13,7920
7924,13,7919
7925,7,7918
7926,52,7925
7927,55,7926
7928,0,7927
7929,13,7927
7930,55,7926
7931,12,7930
7932,13,7931
7933,13,7930
7934,52,7925
7935,12,7934
7936,13,7935
7937,55,7934
7938,12,7937
7939,13,7938
7940,13,7937
7941,13,7925
7942,65,7912
7943,56,7942
7944,55,7943
7945,12,7944
7946,13,7945
7947,13,7944
7948,58,7943
7949,14,7943
7950,6,7942
7951,13,7950
7952,87,7835
7953,89,7952
7954,90,7953
7955,81,7952
7956,65,7955
7957,12,7956
7958,14,7957
7959,55,7956
7960,12,7959
7961,13,7960
7962,13,7959
7963,67,7955
7964,55,7963
7965,12,7964
7966,13,7965
7967,14,7964
7968,25,7963
7969,0,7963
7970,91,7955
7971,56,7970
7972,55,7971
7973,12,7972
7974,13,7973
7975,13,7972
7976,57,7971
7977,12,7976
7978,13,7977
7979,13,7971
7980,84,7955
7981,12,7980
7982,13,7981
7983,91,7980
7984,0,7983
7985,87,7835
7986,89,7985
7987,90,7986
7988,65,7985
7989,12,7988
7990,14,7989
7991,52,7988
7992,12,7991
7993,13,7992
7994,55,7991
7995,12,7994
7996,13,7995
7997,13,7994
7998,78,7985
7999,41,7998
8000,55,7999
8001,12,8000
8002,13,8001
8003,13,8000
8004,44,7999
8005,12,7999
8006,13,8005
