node_id,class_name,parent_id
9295,100,-1
9296,73,9295
9297,75,9296
9298,73,9295
9299,75,9298
9300,87,9295
9301,89,9300
9302,77,9300
9303,12,9302
9304,14,9303
9305,7,9302
9306,55,9305
9307,12,9306
9308,13,9307
9309,13,9306
9310,55,9305
9311,12,9310
9312,13,9311
9313,13,9310
9314,55,9305
9315,12,9314
9316,13,9315
9317,13,9314
9318,13,9305
9319,76,9302
9320,52,9319
9321,55,9320
9322,12,9321
9323,13,9322
9324,13,9321
9325,91,9319
9326,52,9325
9327,55,9326
9328,12,9327
9329,13,9328
9330,13,9327
9331,52,9326
9332,55,9331
9333,12,9332
9334,13,9333
9335,13,9332
9336,91,9300
9337,0,9336
9338,87,9295
9339,89,9338
9340,90,9339
9341,65,9338
9342,12,9341
9343,14,9342
9344,9,9341
9345,65,9338
9346,12,9345
9347,14,9346
9348,7,9345
9349,7,9348
9350,0,9349
9351,0,9349
9352,13,9349
9353,7,9348
9354,0,9353
9355,0,9353
9356,13,9353
9357,7,9348
9358,0,9357
9359,0,9357
9360,13,9357
9361,13,9348
9362,65,9338
9363,12,9362
9364,14,9363
9365,52,9362
9366,55,9365
9367,12,9366
9368,13,9367
9369,13,9366
9370,77,9338
9371,7,9370
9372,12,9371
9373,14,9372
9374,12,9371
9375,14,9374
9376,14,9371
9377,12,9370
9378,13,9377
9379,65,9370
9380,12,9379
9381,14,9380
9382,52,9379
9383,12,9382
9384,13,9383
9385,12,9382
9386,13,9385
9387,12,9382
9388,13,9387
9389,76,9370
9390,52,9389
9391,55,9390
9392,12,9391
9393,13,9392
9394,13,9391
9395,65,9389
9396,56,9395
9397,12,9396
9398,13,9397
9399,57,9396
9400,12,9399
9401,13,9400
9402,14,9396
9403,12,9395
9404,13,9403
9405,65,9389
9406,12,9405
9407,14,9406
9408,52,9405
9409,55,9408
9410,12,9409
9411,13,9410
9412,13,9409
9413,65,9389
9414,12,9413
9415,14,9414
9416,52,9413
9417,55,9416
9418,12,9417
9419,13,9418
9420,13,9417
9421,12,9416
9422,13,9421
9423,17,9389
9424,52,9423
9425,55,9424
9426,12,9425
9427,13,9426
9428,13,9425
9429,12,9424
9430,13,9429
9431,12,9424
9432,13,9431
9433,81,9389
9434,65,9433
9435,56,9434
9436,12,9435
9437,13,9436
9438,57,9435
9439,12,9438
9440,13,9439
9441,14,9435
9442,52,9434
9443,55,9442
9444,12,9443
9445,13,9444
9446,13,9443
9447,12,9442
9448,13,9447
9449,12,9442
9450,13,9449
9451,17,9433
9452,52,9451
9453,12,9452
9454,13,9453
9455,12,9452
9456,13,9455
9457,12,9452
9458,13,9457
9459,56,9452
9460,12,9459
9461,13,9460
9462,57,9459
9463,12,9462
9464,13,9463
9465,13,9459
9466,84,9433
9467,12,9466
9468,13,9467
9469,65,9466
9470,56,9469
9471,12,9470
9472,13,9471
9473,57,9470
9474,12,9473
9475,13,9474
9476,14,9470
9477,0,9469
9478,17,9466
9479,52,9478
9480,12,9479
9481,13,9480
9482,52,9479
9483,55,9482
9484,0,9483
9485,13,9483
9486,12,9482
9487,13,9486
9488,91,9338
9489,12,9488
9490,13,9489
