node_id,class_name,parent_id
9491,100,-1
9492,73,9491
9493,75,9492
9494,73,9491
9495,75,9494
9496,73,9491
9497,75,9496
9498,73,9491
9499,75,9498
9500,74,9491
9501,75,9500
9502,74,9491
9503,75,9502
9504,75,9502
9505,95,9491
9506,12,9505
9507,13,9506
9508,87,9505
9509,89,9508
9510,90,9509
9511,90,9509
9512,0,9509
9513,65,9508
9514,55,9513
9515,12,9514
9516,13,9515
9517,14,9514
9518,12,9513
9519,13,9518
9520,65,9508
9521,55,9520
9522,12,9521
9523,13,9522
9524,14,9521
9525,55,9520
9526,12,9525
9527,13,9526
9528,13,9525
9529,65,9508
9530,55,9529
9531,12,9530
9532,13,9531
9533,14,9530
9534,55,9529
9535,12,9534
9536,13,9535
9537,13,9534
9538,65,9505
9539,12,9538
9540,14,9539
9541,7,9538
9542,0,9541
9543,0,9541
9544,13,9541
9545,65,9505
9546,12,9545
9547,14,9546
9548,7,9545
9549,0,9548
9550,0,9548
9551,0,9548
9552,13,9548
9553,65,9505
9554,12,9553
9555,14,9554
9556,7,9553
9557,0,9556
9558,0,9556
9559,0,9556
9560,13,9556
9561,65,9505
9562,12,9561
9563,14,9562
9564,7,9561
9565,0,9564
9566,0,9564
9567,13,9564
9568,65,9505
9569,12,9568
9570,14,9569
9571,7,9568
9572,0,9571
9573,0,9571
9574,13,9571
9575,87,9505
9576,89,9575
9577,90,9576
9578,91,9575
9579,24,9578
9580,55,9579
9581,55,9580
9582,12,9581
9583,13,9582
9584,13,9581
9585,13,9580
9586,26,9579
9587,55,9579
9588,55,9587
9589,12,9588
9590,13,9589
9591,13,9588
9592,13,9587
9593,12,9575
9594,13,9593
9595,87,9505
9596,89,9595
9597,90,9596
9598,91,9595
9599,55,9598
9600,55,9599
9601,12,9600
9602,13,9601
9603,13,9600
9604,13,9599
9605,12,9595
9606,13,9605
9607,87,9505
9608,89,9607
9609,90,9608
9610,91,9607
9611,24,9610
9612,52,9611
9613,12,9612
9614,13,9613
9615,24,9612
9616,55,9615
9617,55,9616
9618,12,9617
9619,13,9618
9620,13,9617
9621,13,9616
9622,28,9615
9623,55,9615
9624,12,9623
9625,13,9624
9626,13,9623
9627,25,9611
9628,0,9611
9629,12,9607
9630,13,9629
9631,87,9505
9632,89,9631
9633,90,9632
9634,91,9631
9635,52,9634
9636,12,9635
9637,13,9636
9638,52,9635
9639,12,9638
9640,13,9639
9641,52,9638
9642,55,9641
9643,12,9642
9644,13,9643
9645,13,9642
9646,24,9641
9647,24,9646
9648,0,9647
9649,27,9647
9650,55,9647
9651,55,9650
9652,12,9651
9653,13,9652
9654,13,9651
9655,13,9650
9656,28,9646
9657,55,9646
9658,12,9657
9659,13,9658
9660,13,9657
9661,0,9635
9662,12,9631
9663,13,9662
9664,87,9505
9665,89,9664
9666,90,9665
9667,91,9664
9668,24,9667
9669,55,9668
9670,12,9669
9671,13,9670
9672,13,9669
9673,27,9668
9674,52,9668
9675,12,9674
9676,13,9675
9677,24,9674
9678,55,9677
9679,55,9678
9680,12,9679
9681,13,9680
9682,13,9679
9683,13,9678
9684,28,9677
9685,55,9677
9686,12,9685
9687,13,9686
9688,13,9685
9689,12,9664
9690,13,9689
9691,87,9505
9692,89,9691
9693,90,9692
9694,91,9691
9695,24,9694
9696,55,9695
9697,12,9696
9698,13,9697
9699,13,9696
9700,25,9695
9701,55,9695
9702,12,9701
9703,13,9702
9704,13,9701
9705,12,9691
9706,13,9705
9707,87,9505
9708,89,9707
9709,90,9708
9710,85,9707
9711,86,9710
9712,55,9711
9713,55,9712
9714,12,9713
9715,13,9714
9716,13,9713
9717,13,9712
9718,17,9710
9719,52,9718
9720,55,9719
9721,55,9720
9722,12,9721
9723,13,9722
9724,13,9721
9725,13,9720
9726,17,9710
9727,52,9726
9728,55,9727
9729,12,9728
9730,13,9729
9731,13,9728
9732,17,9710
9733,52,9732
9734,55,9733
9735,12,9734
9736,13,9735
9737,13,9734
9738,17,9710
9739,52,9738
9740,55,9739
9741,55,9740
9742,12,9741
9743,13,9742
9744,13,9741
9745,13,9740
9746,87,9505
9747,89,9746
9748,90,9747
9749,90,9747
9750,90,9747
9751,90,9747
9752,90,9747
9753,0,9747
9754,76,9746
9755,41,9754
9756,12,9755
9757,13,9756
9758,48,9755
9759,0,9755
9760,65,9754
9761,12,9760
9762,14,9761
9763,55,9760
9764,12,9763
9765,13,9764
9766,13,9763
9767,17,9746
9768,52,9767
9769,55,9768
9770,55,9769
9771,12,9770
9772,13,9771
9773,13,9770
9774,13,9769
9775,12,9768
9776,13,9775
9777,53,9768
9778,12,9777
9779,13,9778
9780,53,9768
9781,12,9780
9782,13,9781
9783,53,9768
9784,12,9783
9785,13,9784
9786,53,9768
9787,0,9786
9788,87,9505
9789,89,9788
9790,90,9789
9791,90,9789
9792,90,9789
9793,90,9789
9794,90,9789
9795,0,9789
9796,0,9789
9797,65,9788
9798,7,9797
9799,12,9798
9800,14,9799
9801,12,9798
9802,14,9801
9803,12,9798
9804,14,9803
9805,14,9798
9806,12,9797
9807,13,9806
9808,76,9788
9809,12,9808
9810,13,9809
9811,65,9808
9812,12,9811
9813,14,9812
9814,55,9811
9815,12,9814
9816,13,9815
9817,13,9814
9818,76,9808
9819,12,9818
9820,13,9819
9821,65,9818
9822,12,9821
9823,14,9822
9824,55,9821
9825,12,9824
9826,13,9825
9827,13,9824
9828,65,9818
9829,12,9828
9830,14,9829
9831,55,9828
9832,12,9831
9833,13,9832
9834,13,9831
9835,65,9788
9836,12,9835
9837,14,9836
9838,24,9835
9839,55,9838
9840,12,9839
9841,13,9840
9842,13,9839
9843,25,9838
9844,12,9838
9845,13,9844
9846,17,9788
9847,52,9846
9848,55,9847
9849,12,9848
9850,13,9849
9851,13,9848
9852,12,9847
9853,13,9852
9854,0,9847
9855,12,9847
9856,13,9855
9857,53,9847
9858,12,9857
9859,13,9858
9860,76,9788
9861,41,9860
9862,12,9861
9863,13,9862
9864,48,9861
9865,0,9861
9866,91,9860
9867,77,9788
9868,7,9867
9869,12,9868
9870,14,9869
9871,12,9868
9872,14,9871
9873,14,9868
9874,12,9867
9875,13,9874
9876,77,9867
9877,7,9876
9878,12,9877
9879,14,9878
9880,12,9877
9881,14,9880
9882,14,9877
9883,12,9876
9884,13,9883
9885,81,9876
9886,65,9885
9887,12,9886
9888,14,9887
9889,52,9886
9890,55,9889
9891,12,9890
9892,13,9891
9893,13,9890
9894,12,9889
9895,13,9894
9896,53,9889
9897,0,9896
9898,53,9889
9899,12,9898
9900,13,9899
9901,17,9885
9902,52,9901
9903,55,9902
9904,55,9903
9905,12,9904
9906,13,9905
9907,13,9904
9908,13,9903
9909,56,9902
9910,12,9909
9911,13,9910
9912,58,9909
9913,12,9912
9914,13,9913
9915,24,9912
9916,12,9915
9917,13,9916
9918,25,9915
9919,12,9915
9920,13,9919
9921,13,9909
9922,53,9902
9923,12,9922
9924,13,9923
9925,53,9902
9926,12,9925
9927,13,9926
9928,53,9902
9929,12,9928
9930,13,9929
9931,84,9885
9932,55,9931
9933,12,9932
9934,13,9933
9935,13,9932
9936,17,9931
9937,52,9936
9938,55,9937
9939,12,9938
9940,13,9939
9941,13,9938
9942,0,9937
9943,24,9937
9944,52,9943
9945,12,9944
9946,13,9945
9947,12,9944
9948,13,9947
9949,25,9943
9950,52,9943
9951,55,9950
9952,0,9951
9953,13,9951
9954,12,9950
9955,13,9954
9956,87,9505
9957,89,9956
9958,90,9957
9959,90,9957
9960,17,9956
9961,52,9960
9962,55,9961
9963,12,9962
9964,13,9963
9965,13,9962
9966,55,9961
9967,12,9966
9968,13,9967
9969,13,9966
9970,0,9961
9971,12,9961
9972,13,9971
9973,53,9961
9974,55,9973
9975,12,9974
9976,13,9975
9977,13,9974
9978,87,9505
9979,89,9978
9980,90,9979
9981,65,9978
9982,12,9981
9983,14,9982
9984,55,9981
9985,12,9984
9986,13,9985
9987,13,9984
9988,65,9978
9989,12,9988
9990,14,9989
9991,54,9988
9992,55,9991
9993,12,9992
9994,13,9993
9995,13,9992
9996,0,9991
9997,19,9991
9998,21,9997
9999,0,9997
10000,65,9978
10001,12,10000
10002,14,10001
10003,52,10000
10004,12,10003
10005,13,10004
10006,52,10003
10007,12,10006
10008,13,10007
10009,55,10006
10010,55,10009
10011,12,10010
10012,13,10011
10013,13,10010
10014,13,10009
10015,55,10003
10016,12,10015
10017,13,10016
10018,13,10015
10019,55,10003
10020,12,10019
10021,13,10020
10022,13,10019
10023,81,9978
10024,77,10023
10025,7,10024
10026,12,10025
10027,14,10026
10028,12,10025
10029,14,10028
10030,14,10025
10031,12,10024
10032,13,10031
10033,81,10024
10034,17,10033
10035,52,10034
10036,55,10035
10037,12,10036
10038,13,10037
10039,13,10036
10040,12,10035
10041,13,10040
10042,12,10035
10043,13,10042
10044,53,10035
10045,41,10044
10046,12,10045
10047,13,10046
10048,42,10045
10049,55,10045
10050,55,10049
10051,12,10050
10052,13,10051
10053,13,10050
10054,13,10049
10055,53,10035
10056,52,10055
