node_id,class_name,parent_id,Generator
1947,100,-1,0
1948,73,1947,0
1949,75,1948,0
1950,73,1947,0
1951,75,1950,0
1952,95,1947,0
1953,12,1952,0
1954,13,1953,0
1955,17,1952,0
1956,0,1955,0
1957,87,1952,0
1958,89,1957,0
1959,90,1958,0
1960,90,1958,0
1961,90,1958,0
1962,65,1957,0
1963,55,1962,0
1964,12,1963,0
1965,13,1964,0
1966,14,1963,0
1967,12,1962,0
1968,13,1967,0
1969,65,1957,0
1970,55,1969,0
1971,12,1970,0
1972,13,1971,0
1973,14,1970,0
1974,12,1969,0
1975,13,1974,0
1976,65,1957,0
1977,55,1976,0
1978,12,1977,0
1979,13,1978,0
1980,14,1977,0
1981,0,1976,0
1982,87,1952,0
1983,89,1982,0
1984,90,1983,0
1985,90,1983,0
1986,0,1983,0
1987,65,1982,0
1988,12,1987,0
1989,14,1988,0
1990,12,1987,0
1991,13,1990,0
1992,78,1982,0
1993,0,1992,0
1994,65,1992,0
1995,12,1994,0
1996,14,1995,0
1997,52,1994,0
1998,55,1997,0
1999,55,1998,0
2000,12,1999,0
2001,13,2000,0
2002,13,1999,0
2003,13,1998,0
2004,24,1997,0
2005,55,2004,0
2006,55,2005,0
2007,12,2006,0
2008,13,2007,0
2009,13,2006,0
2010,13,2005,0
2011,25,2004,0
2012,12,2004,0
2013,13,2012,0
2014,76,1992,0
2015,41,2014,0
2016,12,2015,0
2017,13,2016,0
2018,48,2015,0
2019,0,2015,0
2020,91,2014,0
2021,12,2020,0
2022,13,2021,0
2023,76,1992,0
2024,38,2023,0
2025,40,2024,0
2026,19,2024,0
2027,22,2026,0
2028,12,2026,0
2029,13,2028,0
2030,38,2024,0
2031,39,2030,0
2032,55,2030,0
2033,12,2032,0
2034,13,2033,0
2035,13,2032,0
2036,52,2030,0
2037,55,2036,0
2038,12,2037,0
2039,13,2038,0
2040,13,2037,0
2041,55,2036,0
2042,12,2041,0
2043,13,2042,0
2044,13,2041,0
2045,12,2036,0
2046,13,2045,0
2047,67,2023,0
2048,12,2047,0
2049,14,2048,0
2050,25,2047,0
2051,12,2047,0
2052,13,2051,0
2053,80,2023,0
2054,79,1992,0
2055,91,1982,0
2056,12,2055,0
2057,13,2056,0
2058,87,1952,0
