node_id,class_name,parent_id
0,100,-1
1,74,0
2,75,1
3,87,0
4,89,3
5,65,3
6,12,5
7,14,6
8,52,5
9,12,8
10,13,9
11,53,8
12,0,11
13,17,3
14,52,13
15,12,14
16,13,15
17,4,14
18,0,17
19,3,17
20,52,19
21,55,20
22,55,21
23,12,22
24,13,23
25,13,22
26,13,21
27,0,20
28,0,17
29,3,17
30,52,29
31,55,30
32,55,31
33,12,32
34,13,33
35,13,32
36,13,31
37,0,30
38,0,17
39,3,17
40,52,39
41,55,40
42,55,41
43,12,42
44,13,43
45,13,42
46,13,41
47,0,40
48,0,17
49,3,17
50,52,49
51,55,50
52,55,51
53,12,52
54,13,53
55,13,52
56,13,51
57,0,50
58,0,17
59,3,17
60,52,59
61,55,60
62,55,61
63,12,62
64,13,63
65,13,62
66,13,61
67,0,60
68,0,17
69,3,17
70,52,69
71,55,70
72,55,71
73,12,72
74,13,73
75,13,72
76,13,71
77,0,70
78,0,17
79,3,17
80,52,79
81,55,80
82,55,81
83,12,82
84,13,83
85,13,82
86,13,81
87,0,80
88,0,17
89,3,17
90,52,89
91,55,90
92,55,91
93,12,92
94,13,93
95,13,92
96,13,91
97,0,90
98,0,17
99,3,17
100,52,99
101,55,100
102,55,101
103,12,102
104,13,103
105,13,102
106,13,101
107,0,100
108,0,17
109,76,0
110,41,109
111,12,110
112,13,111
113,42,110
114,0,110
115,17,109
116,52,115
117,12,116
118,13,117
