node_id,class_name,parent_id
1751,100,-1
1752,73,1751
1753,75,1752
1754,74,1751
1755,75,1754
1756,74,1751
1757,75,1756
1758,95,1751
1759,12,1758
1760,13,1759
1761,17,1758
1762,0,1761
1763,65,1758
1764,12,1763
1765,14,1764
1766,0,1763
1767,65,1758
1768,12,1767
1769,14,1768
1770,0,1767
1771,87,1758
1772,89,1771
1773,90,1772
1774,90,1772
1775,17,1771
1776,0,1775
1777,65,1771
1778,12,1777
1779,14,1778
1780,52,1777
1781,55,1780
1782,12,1781
1783,13,1782
1784,13,1781
1785,12,1780
1786,13,1785
1787,65,1771
1788,12,1787
1789,14,1788
1790,52,1787
1791,55,1790
1792,12,1791
1793,13,1792
1794,13,1791
1795,55,1790
1796,12,1795
1797,13,1796
1798,13,1795
1799,53,1790
1800,9,1799
1801,0,1800
1802,0,1800
1803,55,1800
1804,12,1803
1805,13,1804
1806,13,1803
1807,12,1800
1808,13,1807
1809,81,1771
1810,65,1809
1811,12,1810
1812,14,1811
1813,52,1810
1814,55,1813
1815,12,1814
1816,13,1815
1817,13,1814
1818,84,1809
1819,55,1818
1820,55,1819
1821,12,1820
1822,13,1821
1823,13,1820
1824,13,1819
1825,69,1818
1826,52,1825
1827,12,1826
1828,13,1827
1829,0,1826
1830,81,1771
1831,65,1830
1832,12,1831
1833,14,1832
1834,56,1831
1835,56,1834
1836,12,1835
1837,13,1836
1838,57,1835
1839,0,1838
1840,13,1835
1841,57,1834
1842,0,1841
1843,13,1834
1844,84,1830
1845,12,1844
1846,13,1845
1847,69,1844
1848,52,1847
1849,12,1848
1850,13,1849
1851,0,1848
1852,76,1771
1853,41,1852
1854,12,1853
1855,13,1854
1856,42,1853
1857,55,1853
1858,12,1857
1859,13,1858
1860,13,1857
1861,17,1852
1862,0,1861
1863,69,1852
1864,52,1863
1865,12,1864
1866,13,1865
1867,0,1864
1868,81,1771
1869,65,1868
1870,12,1869
1871,14,1870
1872,56,1869
1873,56,1872
1874,12,1873
1875,13,1874
1876,57,1873
1877,0,1876
1878,13,1873
1879,57,1872
1880,0,1879
1881,13,1872
1882,84,1868
1883,12,1882
1884,13,1883
1885,69,1882
1886,52,1885
1887,12,1886
1888,13,1887
1889,0,1886
1890,91,1771
1891,12,1890
1892,13,1891
