node_id,class_name,parent_id
2159,100,-1
2160,74,2159
2161,75,2160
2162,74,2159
2163,75,2162
2164,95,2159
2165,12,2164
2166,13,2165
2167,17,2164
2168,0,2167
2169,65,2164
2170,12,2169
2171,14,2170
2172,0,2169
2173,87,2164
2174,89,2173
2175,90,2174
2176,90,2174
2177,17,2173
2178,0,2177
2179,65,2173
2180,12,2179
2181,14,2180
2182,52,2179
2183,55,2182
2184,12,2183
2185,13,2184
2186,13,2183
2187,12,2182
2188,13,2187
2189,65,2173
2190,12,2189
2191,14,2190
2192,9,2189
2193,0,2192
2194,0,2192
2195,0,2192
2196,12,2192
2197,13,2196
2198,65,2173
2199,12,2198
2200,14,2199
2201,52,2198
2202,55,2201
2203,12,2202
2204,13,2203
2205,13,2202
2206,55,2201
2207,12,2206
2208,13,2207
2209,13,2206
2210,53,2201
2211,12,2210
2212,13,2211
2213,76,2173
2214,55,2213
2215,12,2214
2216,13,2215
2217,13,2214
2218,91,2213
2219,52,2218
2220,55,2219
2221,55,2220
2222,12,2221
2223,13,2222
2224,13,2221
2225,13,2220
2226,69,2173
2227,52,2226
2228,12,2227
2229,13,2228
2230,55,2227
2231,12,2230
2232,13,2231
2233,13,2230
