node_id,class_name,parent_id
489,100,-1
490,95,489
491,87,490
492,89,491
493,90,492
494,90,492
495,90,492
496,73,491
497,75,496
498,73,491
499,75,498
500,65,491
501,12,500
502,14,501
503,52,500
504,55,503
505,12,504
506,13,505
507,13,504
508,17,491
509,52,508
510,12,509
511,13,510
512,0,509
513,17,491
514,52,513
515,12,514
516,13,515
517,52,514
518,55,517
519,0,518
520,13,518
521,52,517
522,55,521
523,12,522
524,13,523
525,13,522
526,16,521
527,38,526
528,40,527
529,12,527
530,13,529
531,52,527
532,55,531
533,12,532
534,13,533
535,13,532
536,13,526
537,17,491
538,52,537
539,12,538
540,13,539
541,0,538
