node_id,class_name,parent_id
12018,100,-1
12019,17,12018
12020,0,12019
12021,74,12018
12022,75,12021
12023,75,12021
12024,81,12018
12025,74,12024
12026,75,12025
12027,84,12024
12028,12,12027
12029,13,12028
12030,72,12027
12031,74,12018
12032,75,12031
12033,74,12018
12034,75,12033
12035,74,12018
12036,75,12035
12037,74,12018
12038,75,12037
12039,95,12018
12040,12,12039
12041,13,12040
12042,17,12039
12043,0,12042
12044,65,12039
12045,12,12044
12046,14,12045
12047,9,12044
12048,0,12047
12049,52,12047
12050,12,12049
12051,13,12050
12052,0,12049
12053,87,12039
12054,89,12053
12055,90,12054
12056,90,12054
12057,90,12054
12058,90,12054
12059,0,12054
12060,17,12053
12061,0,12060
12062,65,12053
12063,55,12062
12064,12,12063
12065,13,12064
12066,14,12063
12067,12,12062
12068,13,12067
12069,65,12053
12070,55,12069
12071,12,12070
12072,13,12071
12073,14,12070
12074,12,12069
12075,13,12074
12076,17,12053
12077,52,12076
12078,55,12077
12079,52,12078
12080,12,12079
12081,13,12080
12082,12,12079
12083,13,12082
12084,12,12079
12085,13,12084
12086,13,12078
12087,53,12077
12088,12,12087
12089,13,12088
12090,87,12039
12091,89,12090
12092,90,12091
12093,90,12091
12094,90,12091
12095,0,12091
12096,76,12090
12097,52,12096
12098,12,12097
12099,13,12098
12100,12,12097
12101,13,12100
12102,55,12097
12103,12,12102
12104,13,12103
12105,13,12102
12106,91,12096
12107,12,12106
12108,13,12107
12109,65,12096
12110,12,12109
12111,14,12110
12112,52,12109
12113,55,12112
12114,12,12113
12115,13,12114
12116,13,12113
12117,12,12112
12118,13,12117
12119,76,12096
12120,12,12119
12121,13,12120
12122,91,12119
12123,12,12122
12124,13,12123
12125,65,12096
12126,12,12125
12127,14,12126
12128,52,12125
12129,55,12128
12130,12,12129
12131,13,12130
12132,13,12129
12133,12,12128
12134,13,12133
12135,76,12096
12136,12,12135
12137,13,12136
12138,91,12135
12139,12,12138
12140,13,12139
12141,69,12090
12142,52,12141
12143,12,12142
12144,13,12143
12145,52,12142
12146,55,12145
12147,56,12146
12148,55,12147
12149,12,12148
12150,13,12149
12151,13,12148
12152,57,12147
12153,0,12152
12154,13,12147
12155,13,12146
12156,12,12145
12157,13,12156
12158,55,12145
12159,12,12158
12160,13,12159
12161,13,12158
12162,87,12039
12163,89,12162
12164,90,12163
12165,90,12163
12166,76,12162
12167,52,12166
12168,12,12167
12169,13,12168
12170,12,12167
12171,13,12170
12172,12,12167
12173,13,12172
12174,81,12166
12175,91,12174
12176,56,12175
12177,55,12176
12178,12,12177
12179,13,12178
12180,13,12177
12181,57,12176
12182,12,12181
12183,13,12182
12184,13,12176
12185,84,12174
12186,12,12185
12187,13,12186
12188,72,12185
12189,87,12039
12190,89,12189
12191,90,12190
12192,90,12190
12193,76,12189
12194,19,12193
12195,22,12194
12196,55,12194
12197,12,12196
12198,13,12197
12199,13,12196
12200,91,12193
12201,77,12189
12202,12,12201
12203,14,12202
12204,55,12201
12205,12,12204
12206,13,12205
12207,13,12204
12208,76,12201
12209,41,12208
12210,55,12209
12211,12,12210
12212,13,12211
12213,13,12210
12214,42,12209
12215,12,12209
12216,13,12215
12217,91,12208
12218,12,12217
12219,13,12218
12220,87,12039
12221,89,12220
12222,90,12221
12223,90,12221
12224,90,12221
12225,0,12221
12226,76,12220
12227,52,12226
12228,12,12227
12229,13,12228
12230,12,12227
12231,13,12230
12232,12,12227
12233,13,12232
12234,76,12226
12235,55,12234
12236,12,12235
12237,13,12236
12238,13,12235
12239,91,12234
12240,55,12239
12241,12,12240
12242,13,12241
12243,13,12240
12244,91,12234
12245,55,12244
12246,12,12245
12247,13,12246
12248,13,12245
12249,91,12226
12250,52,12249
12251,12,12250
12252,13,12251
12253,12,12250
12254,13,12253
