node_id,class_name,parent_id
12641,100,-1
12642,17,12641
12643,0,12642
12644,74,12641
12645,75,12644
12646,75,12644
12647,73,12641
12648,75,12647
12649,74,12641
12650,75,12649
12651,74,12641
12652,75,12651
12653,74,12641
12654,75,12653
12655,74,12641
12656,75,12655
12657,65,12641
12658,12,12657
12659,14,12658
12660,6,12657
12661,0,12660
12662,13,12660
12663,95,12641
12664,12,12663
12665,13,12664
12666,17,12663
12667,0,12666
12668,65,12663
12669,12,12668
12670,14,12669
12671,9,12668
12672,0,12671
12673,52,12671
12674,12,12673
12675,13,12674
12676,0,12673
12677,87,12663
12678,89,12677
12679,90,12678
12680,90,12678
12681,90,12678
12682,0,12678
12683,65,12677
12684,55,12683
12685,12,12684
12686,13,12685
12687,14,12684
12688,12,12683
12689,13,12688
12690,17,12677
12691,52,12690
12692,55,12691
12693,52,12692
12694,12,12693
12695,13,12694
12696,12,12693
12697,13,12696
12698,12,12693
12699,13,12698
12700,13,12692
12701,53,12691
12702,12,12701
12703,13,12702
12704,87,12663
12705,89,12704
12706,90,12705
12707,90,12705
12708,90,12705
12709,0,12705
12710,76,12704
12711,19,12710
12712,22,12711
12713,52,12711
12714,12,12713
12715,13,12714
12716,12,12713
12717,13,12716
12718,55,12713
12719,55,12718
12720,12,12719
12721,13,12720
12722,13,12719
12723,13,12718
12724,81,12710
12725,65,12724
12726,12,12725
12727,14,12726
12728,52,12725
12729,55,12728
12730,55,12729
12731,12,12730
12732,13,12731
12733,13,12730
12734,13,12729
12735,52,12728
12736,12,12735
12737,13,12736
12738,12,12735
12739,13,12738
12740,84,12724
12741,55,12740
12742,55,12741
12743,12,12742
12744,13,12743
12745,13,12742
12746,13,12741
12747,69,12740
12748,52,12747
12749,12,12748
12750,13,12749
12751,56,12748
12752,55,12751
12753,12,12752
12754,13,12753
12755,13,12752
12756,57,12751
12757,0,12756
12758,13,12751
12759,91,12704
12760,12,12759
12761,13,12760
12762,87,12663
12763,89,12762
12764,90,12763
12765,90,12763
12766,90,12763
12767,0,12763
12768,91,12762
12769,52,12768
12770,12,12769
12771,13,12770
12772,12,12769
12773,13,12772
12774,76,12641
12775,12,12774
12776,13,12775
12777,65,12774
12778,12,12777
12779,14,12778
12780,60,12777
12781,52,12780
12782,55,12781
12783,12,12782
12784,13,12783
12785,13,12782
12786,0,12781
12787,64,12780
12788,12,12787
12789,14,12788
12790,12,12787
12791,13,12790
