node_id,class_name,parent_id
2233,100,-1
2234,17,2233
2235,0,2234
2236,74,2233
2237,75,2236
2238,75,2236
2239,74,2233
2240,75,2239
2241,74,2233
2242,75,2241
2243,74,2233
2244,75,2243
2245,65,2233
2246,12,2245
2247,14,2246
2248,52,2245
2249,12,2248
2250,13,2249
2251,0,2248
2252,0,2248
2253,65,2233
2254,12,2253
2255,14,2254
2256,52,2253
2257,12,2256
2258,13,2257
2259,0,2256
2260,0,2256
2261,65,2233
2262,12,2261
2263,14,2262
2264,52,2261
2265,12,2264
2266,13,2265
2267,0,2264
2268,0,2264
2269,65,2233
2270,12,2269
2271,14,2270
2272,52,2269
2273,12,2272
2274,13,2273
2275,0,2272
2276,0,2272
2277,65,2233
2278,12,2277
2279,14,2278
2280,52,2277
2281,12,2280
2282,13,2281
2283,0,2280
2284,0,2280
2285,65,2233
2286,12,2285
2287,14,2286
2288,52,2285
2289,12,2288
2290,13,2289
2291,0,2288
2292,0,2288
2293,65,2233
2294,12,2293
2295,14,2294
2296,52,2293
2297,12,2296
2298,13,2297
2299,0,2296
2300,0,2296
2301,65,2233
2302,12,2301
2303,14,2302
2304,24,2301
2305,6,2304
2306,0,2305
2307,0,2305
2308,0,2305
2309,0,2305
2310,0,2305
2311,0,2305
2312,0,2305
2313,13,2305
2314,25,2304
2315,12,2304
2316,13,2315
2317,76,2233
2318,12,2317
2319,13,2318
2320,65,2317
2321,12,2320
2322,14,2321
2323,60,2320
2324,52,2323
2325,55,2324
2326,12,2325
2327,13,2326
2328,13,2325
2329,0,2324
2330,64,2323
2331,12,2330
2332,14,2331
2333,12,2330
2334,13,2333
