node_id,class_name,parent_id
8623,100,-1
8624,73,8623
8625,75,8624
8626,73,8623
8627,75,8626
8628,74,8623
8629,75,8628
8630,74,8623
8631,75,8630
8632,74,8623
8633,75,8632
8634,75,8632
8635,74,8623
8636,75,8635
8637,74,8623
8638,75,8637
8639,95,8623
8640,12,8639
8641,13,8640
8642,87,8639
8643,89,8642
8644,90,8643
8645,90,8643
8646,90,8643
8647,90,8643
8648,65,8642
8649,55,8648
8650,12,8649
8651,13,8650
8652,14,8649
8653,12,8648
8654,13,8653
8655,65,8642
8656,55,8655
8657,12,8656
8658,13,8657
8659,14,8656
8660,52,8655
8661,55,8660
8662,12,8661
8663,13,8662
8664,13,8661
8665,0,8660
8666,0,8660
8667,65,8642
8668,55,8667
8669,12,8668
8670,13,8669
8671,14,8668
8672,52,8667
8673,55,8672
8674,12,8673
8675,13,8674
8676,13,8673
8677,0,8672
8678,52,8672
8679,12,8678
8680,13,8679
8681,65,8642
8682,55,8681
8683,12,8682
8684,13,8683
8685,14,8682
8686,52,8681
8687,55,8686
8688,12,8687
8689,13,8688
8690,13,8687
8691,0,8686
8692,9,8686
8693,65,8642
8694,55,8693
8695,12,8694
8696,13,8695
8697,14,8694
8698,52,8693
8699,12,8698
8700,13,8699
8701,77,8642
8702,12,8701
8703,14,8702
8704,12,8701
8705,13,8704
8706,17,8701
8707,52,8706
8708,55,8707
8709,12,8708
8710,13,8709
8711,13,8708
8712,12,8707
8713,13,8712
8714,87,8639
8715,89,8714
8716,90,8715
8717,91,8714
8718,52,8717
8719,12,8718
8720,13,8719
8721,52,8718
8722,55,8721
8723,12,8722
8724,13,8723
8725,13,8722
8726,16,8721
8727,62,8726
8728,52,8727
8729,55,8728
8730,12,8729
8731,13,8730
8732,13,8729
8733,64,8727
8734,12,8733
8735,14,8734
8736,52,8733
8737,12,8736
8738,13,8737
8739,55,8736
8740,12,8739
8741,13,8740
8742,13,8739
8743,13,8726
8744,12,8714
8745,13,8744
8746,87,8639
8747,89,8746
8748,90,8747
8749,90,8747
8750,65,8746
8751,56,8750
8752,55,8751
8753,12,8752
8754,13,8753
8755,13,8752
8756,57,8751
8757,55,8756
8758,12,8757
8759,13,8758
8760,13,8757
8761,14,8751
8762,55,8750
8763,12,8762
8764,13,8763
8765,13,8762
8766,17,8746
8767,52,8766
8768,55,8767
8769,55,8768
8770,12,8769
8771,13,8770
8772,13,8769
8773,13,8768
8774,55,8767
8775,12,8774
8776,13,8775
8777,13,8774
8778,55,8767
8779,12,8778
8780,13,8779
8781,13,8778
8782,95,8623
8783,12,8782
8784,13,8783
8785,87,8782
8786,89,8785
8787,90,8786
8788,90,8786
8789,90,8786
8790,90,8786
8791,90,8786
8792,90,8786
8793,90,8786
8794,0,8786
8795,0,8786
8796,12,8786
8797,13,8796
8798,0,8786
8799,0,8786
8800,0,8786
8801,65,8785
8802,55,8801
8803,12,8802
8804,13,8803
8805,14,8802
8806,12,8801
8807,13,8806
8808,65,8785
8809,55,8808
8810,12,8809
8811,13,8810
8812,14,8809
8813,38,8808
8814,40,8813
8815,12,8813
8816,13,8815
8817,9,8813
8818,65,8785
8819,55,8818
8820,12,8819
8821,13,8820
8822,14,8819
8823,12,8818
8824,13,8823
8825,76,8785
8826,41,8825
8827,12,8826
8828,13,8827
8829,48,8826
8830,0,8826
8831,65,8825
8832,55,8831
8833,12,8832
8834,13,8833
8835,14,8832
8836,12,8831
8837,13,8836
8838,76,8825
8839,41,8838
8840,12,8839
8841,13,8840
8842,48,8839
8843,0,8839
8844,65,8838
8845,55,8844
8846,12,8845
8847,13,8846
8848,14,8845
8849,12,8844
8850,13,8849
8851,65,8785
8852,55,8851
8853,12,8852
8854,13,8853
8855,14,8852
8856,12,8851
8857,13,8856
8858,65,8785
8859,55,8858
8860,12,8859
8861,13,8860
8862,14,8859
8863,38,8858
8864,40,8863
8865,12,8863
8866,13,8865
8867,9,8863
8868,77,8785
8869,7,8868
8870,12,8869
8871,14,8870
8872,12,8869
8873,14,8872
8874,14,8869
8875,52,8868
8876,55,8875
8877,55,8876
8878,12,8877
8879,13,8878
8880,13,8877
8881,13,8876
8882,17,8868
8883,52,8882
8884,12,8883
8885,13,8884
8886,12,8883
8887,13,8886
8888,12,8883
8889,13,8888
8890,12,8883
8891,13,8890
8892,87,8782
8893,89,8892
8894,90,8893
8895,77,8892
8896,7,8895
8897,12,8896
8898,14,8897
8899,12,8896
8900,14,8899
8901,14,8896
8902,52,8895
8903,55,8902
8904,12,8903
8905,13,8904
8906,13,8903
8907,12,8902
8908,13,8907
8909,76,8895
8910,19,8909
8911,22,8910
8912,52,8910
8913,55,8912
8914,12,8913
8915,13,8914
8916,13,8913
8917,0,8912
8918,17,8909
8919,92,8918
8920,7,8919
8921,12,8920
8922,13,8921
8923,12,8920
8924,13,8923
8925,13,8920
8926,95,8623
8927,12,8926
8928,13,8927
8929,65,8926
8930,12,8929
8931,14,8930
8932,7,8929
8933,0,8932
8934,0,8932
8935,13,8932
8936,87,8926
8937,89,8936
8938,90,8937
8939,90,8937
8940,90,8937
8941,70,8936
8942,52,8941
8943,12,8942
8944,13,8943
8945,12,8942
8946,13,8945
8947,7,8942
8948,12,8947
8949,13,8948
8950,12,8947
8951,13,8950
8952,13,8947
8953,65,8936
8954,55,8953
8955,12,8954
8956,13,8955
8957,14,8954
8958,12,8953
8959,13,8958
8960,65,8936
8961,55,8960
8962,12,8961
8963,13,8962
8964,14,8961
8965,12,8960
8966,13,8965
8967,87,8926
8968,89,8967
8969,90,8968
8970,91,8967
8971,41,8970
8972,52,8971
8973,12,8972
8974,13,8973
8975,55,8972
8976,12,8975
8977,13,8976
8978,13,8975
8979,0,8972
8980,0,8972
8981,49,8971
8982,0,8971
