node_id,class_name,parent_id
8983,100,-1
8984,74,8983
8985,75,8984
8986,75,8984
8987,73,8983
8988,75,8987
8989,73,8983
8990,75,8989
8991,74,8983
8992,75,8991
8993,74,8983
8994,75,8993
8995,74,8983
8996,75,8995
8997,74,8983
8998,75,8997
8999,74,8983
9000,75,8999
9001,74,8983
9002,75,9001
9003,74,8983
9004,75,9003
9005,75,9003
9006,74,8983
9007,75,9006
9008,65,8983
9009,12,9008
9010,14,9009
9011,6,9008
9012,13,9011
9013,87,8983
9014,89,9013
9015,90,9014
9016,90,9014
9017,90,9014
9018,90,9014
9019,90,9014
9020,90,9014
9021,90,9014
9022,90,9014
9023,90,9014
9024,90,9014
9025,90,9014
9026,90,9014
9027,90,9014
9028,90,9014
9029,90,9014
9030,90,9014
9031,90,9014
9032,0,9014
9033,0,9014
9034,0,9014
9035,0,9014
9036,0,9014
9037,0,9014
9038,0,9014
9039,0,9014
9040,0,9014
9041,0,9014
9042,0,9014
9043,0,9014
9044,0,9014
9045,0,9014
9046,0,9014
9047,17,9013
9048,0,9047
9049,76,9013
9050,41,9049
9051,12,9050
9052,13,9051
9053,48,9050
9054,0,9050
9055,65,9049
9056,12,9055
9057,14,9056
9058,12,9055
9059,13,9058
9060,65,9013
9061,12,9060
9062,14,9061
9063,41,9060
9064,12,9063
9065,13,9064
9066,49,9063
9067,0,9063
9068,65,9013
9069,12,9068
9070,14,9069
9071,52,9068
9072,55,9071
9073,12,9072
9074,13,9073
9075,13,9072
9076,12,9071
9077,13,9076
9078,81,9013
9079,17,9078
9080,55,9079
9081,12,9080
9082,13,9081
9083,13,9080
9084,84,9078
9085,76,9084
9086,41,9085
9087,52,9086
9088,12,9087
9089,13,9088
9090,12,9087
9091,13,9090
9092,48,9086
9093,55,9086
9094,12,9093
9095,13,9094
9096,13,9093
9097,65,9085
9098,12,9097
9099,14,9098
9100,52,9097
9101,12,9100
9102,13,9101
9103,12,9100
9104,13,9103
9105,17,9084
9106,52,9105
9107,55,9106
9108,12,9107
9109,13,9108
9110,13,9107
9111,9,9106
9112,0,9111
9113,0,9111
9114,0,9111
9115,0,9111
9116,0,9111
9117,0,9111
9118,0,9111
9119,0,9111
9120,0,9111
9121,0,9111
9122,0,9111
9123,0,9111
9124,0,9111
9125,0,9111
9126,0,9111
9127,12,9111
9128,13,9127
9129,38,9111
9130,40,9129
9131,12,9129
9132,13,9131
9133,9,9129
9134,38,9111
9135,40,9134
9136,12,9134
9137,13,9136
9138,9,9134
9139,12,9111
9140,13,9139
9141,12,9111
9142,13,9141
9143,12,9111
9144,13,9143
9145,12,9111
9146,13,9145
9147,12,9111
9148,13,9147
9149,12,9111
9150,13,9149
9151,12,9111
9152,13,9151
9153,12,9111
9154,13,9153
9155,12,9111
9156,13,9155
9157,54,9111
9158,41,9157
9159,12,9158
9160,13,9159
9161,49,9158
9162,0,9158
9163,12,9157
9164,13,9163
9165,9,9157
9166,65,9013
9167,12,9166
9168,14,9167
9169,52,9166
9170,55,9169
9171,55,9170
9172,12,9171
9173,13,9172
9174,13,9171
9175,13,9170
9176,12,9169
9177,13,9176
9178,12,9169
9179,13,9178
9180,12,9169
9181,13,9180
9182,65,9013
9183,12,9182
9184,14,9183
9185,55,9182
9186,12,9185
9187,13,9186
9188,13,9185
9189,65,9013
9190,12,9189
9191,14,9190
9192,52,9189
9193,55,9192
9194,55,9193
9195,12,9194
9196,13,9195
9197,13,9194
9198,13,9193
9199,0,9192
9200,65,9013
9201,12,9200
9202,14,9201
9203,54,9200
9204,55,9203
9205,12,9204
9206,13,9205
9207,13,9204
9208,52,9203
9209,12,9208
9210,13,9209
9211,55,9208
9212,12,9211
9213,13,9212
9214,13,9211
9215,9,9203
9216,65,9013
9217,12,9216
9218,14,9217
9219,9,9216
9220,76,9013
9221,38,9220
9222,39,9221
9223,12,9221
9224,13,9223
9225,55,9221
9226,12,9225
9227,13,9226
9228,13,9225
9229,65,9220
9230,12,9229
9231,14,9230
9232,52,9229
9233,12,9232
9234,13,9233
9235,12,9232
9236,13,9235
9237,12,9232
9238,13,9237
9239,12,9232
9240,13,9239
9241,12,9232
9242,13,9241
9243,76,9013
9244,12,9243
9245,13,9244
9246,65,9243
9247,12,9246
9248,14,9247
9249,55,9246
9250,12,9249
9251,13,9250
9252,13,9249
9253,76,9243
9254,55,9253
9255,12,9254
9256,13,9255
9257,13,9254
9258,65,9253
9259,12,9258
9260,14,9259
9261,52,9258
9262,12,9261
9263,13,9262
9264,52,9261
9265,55,9264
9266,12,9265
9267,13,9266
9268,13,9265
9269,16,9264
9270,62,9269
9271,52,9270
9272,12,9271
9273,13,9272
9274,12,9271
9275,13,9274
9276,64,9270
9277,7,9276
9278,12,9277
9279,14,9278
9280,12,9277
9281,14,9280
9282,14,9277
9283,52,9276
9284,55,9283
9285,55,9284
9286,12,9285
9287,13,9286
9288,13,9285
9289,13,9284
9290,41,9276
9291,12,9290
9292,13,9291
9293,43,9290
9294,0,9290
9295,13,9269
9296,65,9253
9297,12,9296
9298,14,9297
9299,24,9296
9300,12,9299
9301,13,9300
9302,34,9299
9303,12,9299
9304,13,9303
9305,76,9243
9306,55,9305
9307,12,9306
9308,13,9307
9309,13,9306
9310,65,9305
9311,12,9310
9312,14,9311
9313,24,9310
9314,52,9313
9315,12,9314
9316,13,9315
9317,12,9314
9318,13,9317
9319,26,9313
9320,12,9313
9321,13,9320
9322,76,9305
9323,12,9322
9324,13,9323
9325,77,9322
9326,12,9325
9327,14,9326
9328,12,9325
9329,13,9328
9330,65,9325
9331,56,9330
9332,12,9331
9333,13,9332
9334,57,9331
9335,12,9334
9336,13,9335
9337,14,9331
9338,0,9330
9339,65,9013
9340,12,9339
9341,14,9340
9342,0,9339
9343,76,9013
9344,19,9343
9345,22,9344
9346,55,9344
9347,12,9346
9348,13,9347
9349,13,9346
9350,65,9343
9351,12,9350
9352,14,9351
9353,55,9350
9354,12,9353
9355,13,9354
9356,13,9353
9357,77,9013
9358,7,9357
9359,12,9358
9360,14,9359
9361,12,9358
9362,14,9361
9363,12,9358
9364,14,9363
9365,14,9358
9366,52,9357
9367,12,9366
9368,13,9367
9369,12,9366
9370,13,9369
9371,12,9366
9372,13,9371
9373,53,9366
9374,12,9373
9375,13,9374
9376,65,9357
9377,12,9376
9378,14,9377
9379,38,9376
9380,40,9379
9381,55,9379
9382,12,9381
9383,13,9382
9384,13,9381
9385,12,9379
9386,13,9385
9387,76,9357
9388,38,9387
9389,39,9388
9390,12,9388
9391,13,9390
9392,41,9388
9393,12,9392
9394,13,9393
9395,48,9392
9396,12,9392
9397,13,9396
9398,77,9387
9399,12,9398
9400,14,9399
9401,52,9398
9402,55,9401
9403,12,9402
9404,13,9403
9405,13,9402
9406,55,9401
9407,12,9406
9408,13,9407
9409,13,9406
9410,76,9398
9411,38,9410
9412,39,9411
9413,12,9411
9414,13,9413
9415,41,9411
9416,12,9415
9417,13,9416
9418,43,9415
9419,12,9415
9420,13,9419
9421,41,9411
9422,12,9421
9423,13,9422
9424,50,9421
9425,12,9421
9426,13,9425
9427,65,9410
9428,12,9427
9429,14,9428
9430,56,9427
9431,12,9430
9432,13,9431
9433,57,9430
9434,12,9433
9435,13,9434
9436,13,9430
9437,79,9410
9438,76,9357
9439,41,9438
9440,12,9439
9441,13,9440
9442,48,9439
9443,12,9439
9444,13,9443
9445,76,9438
9446,41,9445
9447,12,9446
9448,13,9447
9449,50,9446
9450,12,9446
9451,13,9450
9452,80,9445
9453,76,9438
9454,55,9453
9455,12,9454
9456,13,9455
9457,13,9454
9458,65,9453
9459,12,9458
9460,14,9459
9461,55,9458
9462,12,9461
9463,13,9462
9464,13,9461
9465,76,9357
9466,38,9465
9467,39,9466
9468,41,9466
9469,12,9468
9470,13,9469
9471,48,9468
9472,12,9468
9473,13,9472
9474,55,9466
9475,12,9474
9476,13,9475
9477,13,9474
9478,65,9465
9479,12,9478
9480,14,9479
9481,0,9478
9482,76,9357
9483,12,9482
9484,13,9483
9485,76,9482
9486,55,9485
9487,12,9486
9488,13,9487
9489,13,9486
9490,76,9485
9491,38,9490
9492,39,9491
9493,55,9491
9494,12,9493
9495,13,9494
9496,13,9493
9497,55,9491
9498,12,9497
9499,13,9498
9500,13,9497
9501,65,9490
9502,12,9501
9503,14,9502
9504,52,9501
9505,55,9504
9506,55,9505
9507,12,9506
9508,13,9507
9509,13,9506
9510,13,9505
9511,12,9504
9512,13,9511
9513,76,9490
9514,19,9513
9515,22,9514
9516,52,9514
9517,12,9516
9518,13,9517
9519,62,9516
9520,52,9519
9521,12,9520
9522,13,9521
9523,12,9520
9524,13,9523
9525,12,9520
9526,13,9525
9527,64,9519
9528,12,9527
9529,14,9528
9530,7,9527
9531,0,9530
9532,0,9530
9533,13,9530
9534,65,9513
9535,12,9534
9536,14,9535
9537,9,9534
9538,12,9537
9539,13,9538
9540,12,9537
9541,13,9540
9542,65,9490
9543,12,9542
9544,14,9543
9545,9,9542
9546,76,9485
9547,12,9546
9548,13,9547
9549,65,9546
9550,12,9549
9551,14,9550
9552,52,9549
9553,55,9552
9554,12,9553
9555,13,9554
9556,13,9553
9557,12,9552
9558,13,9557
9559,65,9546
9560,12,9559
9561,14,9560
9562,9,9559
9563,65,9485
9564,12,9563
9565,14,9564
9566,52,9563
9567,55,9566
9568,12,9567
9569,13,9568
9570,13,9567
9571,53,9566
9572,12,9571
9573,13,9572
9574,53,9566
9575,12,9574
9576,13,9575
9577,65,9485
9578,12,9577
9579,14,9578
9580,12,9577
9581,13,9580
