node_id,class_name,parent_id
10757,100,-1
10758,17,10757
10759,0,10758
10760,74,10757
10761,75,10760
10762,75,10760
10763,95,10757
10764,12,10763
10765,13,10764
10766,65,10763
10767,12,10766
10768,14,10767
10769,0,10766
10770,87,10763
10771,89,10770
10772,90,10771
10773,91,10770
10774,0,10773
10775,87,10763
10776,89,10775
10777,90,10776
10778,91,10775
10779,0,10778
10780,87,10763
10781,89,10780
10782,90,10781
10783,90,10781
10784,91,10780
10785,41,10784
10786,12,10785
10787,13,10786
10788,48,10785
10789,12,10785
10790,13,10789
10791,87,10763
10792,89,10791
10793,90,10792
10794,90,10792
10795,91,10791
10796,41,10795
10797,12,10796
10798,13,10797
10799,49,10796
10800,12,10796
10801,13,10800
10802,87,10763
10803,89,10802
10804,90,10803
10805,91,10802
10806,0,10805
10807,65,10763
10808,12,10807
10809,14,10808
10810,12,10807
10811,13,10810
10812,87,10763
10813,89,10812
10814,90,10813
10815,90,10813
10816,17,10812
10817,52,10816
10818,55,10817
10819,12,10818
10820,13,10819
10821,13,10818
10822,12,10817
10823,13,10822
10824,0,10817
10825,87,10763
10826,89,10825
10827,90,10826
10828,90,10826
10829,17,10825
10830,52,10829
10831,55,10830
10832,12,10831
10833,13,10832
10834,13,10831
10835,12,10830
10836,13,10835
10837,0,10830
10838,87,10763
10839,89,10838
10840,90,10839
10841,90,10839
10842,17,10838
10843,52,10842
10844,55,10843
10845,12,10844
10846,13,10845
10847,13,10844
10848,12,10843
10849,13,10848
10850,0,10843
10851,87,10763
10852,89,10851
10853,90,10852
10854,90,10852
10855,17,10851
10856,52,10855
10857,55,10856
10858,12,10857
10859,13,10858
10860,13,10857
10861,12,10856
10862,13,10861
10863,0,10856
10864,87,10763
10865,89,10864
10866,90,10865
10867,90,10865
10868,90,10865
10869,69,10864
10870,52,10869
10871,12,10870
10872,13,10871
10873,52,10870
10874,55,10873
10875,0,10874
10876,13,10874
10877,55,10873
10878,55,10877
10879,12,10878
10880,13,10879
10881,13,10878
10882,13,10877
10883,12,10873
10884,13,10883
10885,55,10873
10886,55,10885
10887,12,10886
10888,13,10887
10889,13,10886
10890,13,10885
10891,87,10763
10892,89,10891
10893,90,10892
10894,90,10892
10895,90,10892
10896,76,10891
10897,41,10896
10898,55,10897
10899,12,10898
10900,13,10899
10901,13,10898
10902,48,10897
10903,0,10897
10904,65,10896
10905,55,10904
10906,12,10905
10907,13,10906
10908,14,10905
10909,52,10904
10910,55,10909
10911,12,10910
10912,13,10911
10913,13,10910
10914,12,10909
10915,13,10914
10916,76,10896
10917,41,10916
10918,12,10917
10919,13,10918
10920,49,10917
10921,12,10917
10922,13,10921
10923,69,10916
10924,52,10923
10925,12,10924
10926,13,10925
10927,0,10924
10928,91,10891
10929,55,10928
10930,12,10929
10931,13,10930
10932,13,10929
10933,87,10763
10934,89,10933
10935,90,10934
10936,72,10933
10937,87,10763
10938,89,10937
10939,90,10938
10940,90,10938
10941,90,10938
10942,69,10937
10943,52,10942
10944,12,10943
10945,13,10944
10946,0,10943
10947,65,10757
10948,12,10947
10949,14,10948
10950,52,10947
10951,12,10950
10952,13,10951
