node_id,class_name,parent_id,Generator
12018,100,-1,0
12019,17,12018,0
12020,0,12019,0
12021,74,12018,0
12022,75,12021,0
12023,75,12021,0
12024,81,12018,0
12025,74,12024,0
12026,75,12025,0
12027,84,12024,0
12028,12,12027,0
12029,13,12028,0
12030,72,12027,0
12031,74,12018,0
12032,75,12031,0
12033,74,12018,0
12034,75,12033,0
12035,74,12018,0
12036,75,12035,0
12037,74,12018,0
12038,75,12037,0
12039,95,12018,0
12040,12,12039,0
12041,13,12040,0
12042,17,12039,0
12043,0,12042,0
12044,65,12039,0
12045,12,12044,0
12046,14,12045,0
12047,9,12044,0
12048,0,12047,0
12049,52,12047,0
12050,12,12049,0
12051,13,12050,0
12052,0,12049,0
12053,87,12039,0
12054,89,12053,0
12055,90,12054,0
12056,90,12054,0
12057,90,12054,0
12058,90,12054,0
12059,0,12054,0
12060,17,12053,0
12061,0,12060,0
12062,65,12053,0
12063,55,12062,0
12064,12,12063,0
12065,13,12064,0
12066,14,12063,0
12067,12,12062,0
12068,13,12067,0
12069,65,12053,0
12070,55,12069,0
12071,12,12070,0
12072,13,12071,0
12073,14,12070,0
12074,12,12069,0
12075,13,12074,0
12076,17,12053,0
12077,52,12076,0
12078,55,12077,0
12079,52,12078,0
12080,12,12079,0
12081,13,12080,0
12082,12,12079,0
12083,13,12082,0
12084,12,12079,0
12085,13,12084,0
12086,13,12078,0
12087,53,12077,0
12088,12,12087,0
12089,13,12088,0
12090,87,12039,0
12091,89,12090,0
12092,90,12091,0
12093,90,12091,0
12094,90,12091,0
12095,0,12091,0
12096,76,12090,0
12097,52,12096,0
12098,12,12097,0
12099,13,12098,0
12100,12,12097,0
12101,13,12100,0
12102,55,12097,0
12103,12,12102,0
12104,13,12103,0
12105,13,12102,0
12106,91,12096,0
12107,12,12106,0
12108,13,12107,0
12109,65,12096,0
12110,12,12109,0
12111,14,12110,0
12112,52,12109,0
12113,55,12112,0
12114,12,12113,0
12115,13,12114,0
12116,13,12113,0
12117,12,12112,0
12118,13,12117,0
12119,76,12096,0
12120,12,12119,0
12121,13,12120,0
12122,91,12119,0
12123,12,12122,0
12124,13,12123,0
12125,65,12096,0
12126,12,12125,0
12127,14,12126,0
12128,52,12125,0
12129,55,12128,0
12130,12,12129,0
12131,13,12130,0
12132,13,12129,0
12133,12,12128,0
12134,13,12133,0
12135,76,12096,0
12136,12,12135,0
12137,13,12136,0
12138,91,12135,0
12139,12,12138,0
12140,13,12139,0
12141,69,12090,0
12142,52,12141,0
12143,12,12142,0
12144,13,12143,0
12145,52,12142,0
12146,55,12145,0
12147,56,12146,0
12148,55,12147,0
12149,12,12148,0
12150,13,12149,0
12151,13,12148,0
12152,57,12147,0
12153,0,12152,0
12154,13,12147,0
12155,13,12146,0
12156,12,12145,0
12157,13,12156,0
12158,55,12145,0
12159,12,12158,0
12160,13,12159,0
12161,13,12158,0
12162,87,12039,0
12163,89,12162,0
12164,90,12163,0
12165,90,12163,0
12166,76,12162,0
12167,52,12166,0
12168,12,12167,0
12169,13,12168,0
12170,12,12167,0
12171,13,12170,0
12172,12,12167,0
12173,13,12172,0
12174,81,12166,0
12175,91,12174,0
12176,56,12175,0
12177,55,12176,0
12178,12,12177,0
12179,13,12178,0
12180,13,12177,0
12181,57,12176,0
12182,12,12181,0
12183,13,12182,0
12184,13,12176,0
12185,84,12174,0
12186,12,12185,0
12187,13,12186,0
12188,72,12185,0
12189,87,12039,0
12190,89,12189,0
12191,90,12190,0
12192,90,12190,0
12193,76,12189,0
12194,19,12193,0
12195,22,12194,0
12196,55,12194,0
12197,12,12196,0
12198,13,12197,0
12199,13,12196,0
12200,91,12193,0
12201,77,12189,0
12202,12,12201,0
12203,14,12202,0
12204,55,12201,0
12205,12,12204,0
12206,13,12205,0
12207,13,12204,0
12208,76,12201,0
12209,41,12208,0
12210,55,12209,0
12211,12,12210,0
12212,13,12211,0
12213,13,12210,0
12214,42,12209,0
12215,12,12209,0
12216,13,12215,0
12217,91,12208,0
12218,12,12217,0
12219,13,12218,0
12220,87,12039,0
12221,89,12220,0
12222,90,12221,0
12223,90,12221,0
12224,90,12221,0
12225,0,12221,0
12226,76,12220,0
12227,52,12226,0
12228,12,12227,0
12229,13,12228,0
12230,12,12227,0
12231,13,12230,0
12232,12,12227,0
12233,13,12232,0
12234,76,12226,0
12235,55,12234,0
12236,12,12235,0
12237,13,12236,0
12238,13,12235,0
12239,91,12234,0
12240,55,12239,0
12241,12,12240,0
12242,13,12241,0
12243,13,12240,0
12244,91,12234,0
12245,55,12244,0
12246,12,12245,0
12247,13,12246,0
12248,13,12245,0
12249,91,12226,0
12250,52,12249,0
12251,12,12250,0
12252,13,12251,0
12253,12,12250,0
12254,13,12253,0
