node_id,class_name,parent_id,Generator
4264,100,-1,0
4265,73,4264,0
4266,75,4265,0
4267,73,4264,0
4268,75,4267,0
4269,74,4264,0
4270,75,4269,0
4271,74,4264,0
4272,75,4271,0
4273,74,4264,0
4274,75,4273,0
4275,74,4264,0
4276,75,4275,0
4277,95,4264,0
4278,12,4277,0
4279,13,4278,0
4280,72,4277,0
4281,87,4264,0
4282,89,4281,0
4283,90,4282,0
4284,87,4281,0
4285,89,4284,0
4286,90,4285,0
4287,90,4285,0
4288,17,4284,0
4289,52,4288,0
4290,55,4289,0
4291,12,4290,0
4292,13,4291,0
4293,13,4290,0
4294,52,4289,0
4295,55,4294,0
4296,0,4295,0
4297,13,4295,0
4298,55,4294,0
4299,12,4298,0
4300,13,4299,0
4301,13,4298,0
4302,53,4289,0
4303,12,4302,0
4304,13,4303,0
4305,53,4289,0
4306,0,4305,0
4307,91,4284,0
4308,52,4307,0
4309,12,4308,0
4310,13,4309,0
4311,16,4308,0
4312,12,4311,0
4313,13,4312,0
4314,13,4311,0
4315,53,4308,0
4316,12,4315,0
4317,13,4316,0
4318,52,4284,0
4319,55,4318,0
4320,12,4319,0
4321,13,4320,0
4322,13,4319,0
4323,12,4318,0
4324,13,4323,0
4325,91,4281,0
4326,12,4325,0
4327,13,4326,0
4328,95,4264,0
4329,12,4328,0
4330,13,4329,0
4331,17,4328,0
4332,0,4331,0
4333,87,4328,0
4334,89,4333,0
4335,90,4334,0
4336,91,4333,0
4337,55,4336,0
4338,12,4337,0
4339,13,4338,0
4340,13,4337,0
4341,12,4333,0
4342,13,4341,0
4343,12,4333,0
4344,13,4343,0
4345,87,4328,0
4346,89,4345,0
4347,90,4346,0
4348,91,4345,0
4349,55,4348,0
4350,12,4349,0
4351,13,4350,0
4352,13,4349,0
4353,12,4345,0
4354,13,4353,0
4355,12,4345,0
4356,13,4355,0
4357,87,4328,0
4358,89,4357,0
4359,90,4358,0
4360,91,4357,0
4361,55,4360,0
4362,12,4361,0
4363,13,4362,0
4364,13,4361,0
4365,12,4357,0
4366,13,4365,0
4367,12,4357,0
4368,13,4367,0
4369,87,4328,0
4370,89,4369,0
4371,90,4370,0
4372,91,4369,0
4373,55,4372,0
4374,12,4373,0
4375,13,4374,0
4376,13,4373,0
4377,12,4369,0
4378,13,4377,0
4379,12,4369,0
4380,13,4379,0
4381,87,4328,0
4382,89,4381,0
4383,90,4382,0
4384,91,4381,0
4385,55,4384,0
4386,12,4385,0
4387,13,4386,0
4388,13,4385,0
4389,12,4381,0
4390,13,4389,0
4391,12,4381,0
4392,13,4391,0
4393,87,4328,0
4394,89,4393,0
4395,90,4394,0
4396,91,4393,0
4397,52,4396,0
4398,12,4397,0
4399,13,4398,0
4400,62,4397,0
4401,7,4400,0
4402,12,4401,0
4403,13,4402,0
4404,12,4401,0
4405,13,4404,0
4406,13,4401,0
4407,64,4400,0
4408,7,4407,0
4409,12,4408,0
4410,14,4409,0
4411,12,4408,0
4412,14,4411,0
4413,14,4408,0
4414,52,4407,0
