node_id,class_name,parent_id,Generator
22474,100,-1,0
22475,74,22474,0
22476,75,22475,0
22477,75,22475,0
22478,73,22474,0
22479,75,22478,0
22480,74,22474,0
22481,75,22480,0
22482,74,22474,0
22483,75,22482,0
22484,74,22474,0
22485,75,22484,0
22486,74,22474,0
22487,75,22486,0
22488,74,22474,0
22489,75,22488,0
22490,75,22488,0
22491,74,22474,0
22492,75,22491,0
22493,65,22474,0
22494,12,22493,0
22495,14,22494,0
22496,6,22493,0
22497,0,22496,0
22498,13,22496,0
22499,87,22474,0
22500,89,22499,0
22501,90,22500,0
22502,65,22499,0
22503,12,22502,0
22504,14,22503,0
22505,52,22502,0
22506,12,22505,0
22507,13,22506,0
22508,77,22499,0
22509,12,22508,0
22510,14,22509,0
22511,55,22508,0
22512,12,22511,0
22513,13,22512,0
22514,13,22511,0
22515,81,22508,0
22516,65,22515,0
22517,12,22516,0
22518,14,22517,0
22519,56,22516,0
22520,55,22519,0
22521,52,22520,0
22522,55,22521,0
22523,12,22522,0
22524,13,22523,0
22525,13,22522,0
22526,55,22521,0
22527,12,22526,0
22528,13,22527,0
22529,13,22526,0
22530,13,22520,0
22531,58,22519,0
22532,0,22531,0
22533,13,22519,0
22534,84,22515,0
22535,12,22534,0
22536,13,22535,0
22537,65,22534,0
22538,12,22537,0
22539,14,22538,0
22540,56,22537,0
22541,55,22540,0
22542,52,22541,0
22543,55,22542,0
22544,12,22543,0
22545,13,22544,0
22546,13,22543,0
22547,55,22542,0
22548,12,22547,0
22549,13,22548,0
22550,13,22547,0
22551,13,22541,0
22552,58,22540,0
22553,0,22552,0
22554,13,22540,0
22555,17,22508,0
22556,52,22555,0
22557,55,22556,0
22558,12,22557,0
22559,13,22558,0
22560,13,22557,0
22561,12,22556,0
22562,13,22561,0
22563,76,22508,0
22564,41,22563,0
22565,12,22564,0
22566,13,22565,0
22567,48,22564,0
22568,12,22564,0
22569,13,22568,0
22570,79,22563,0
22571,91,22499,0
22572,12,22571,0
22573,13,22572,0
22574,87,22474,0
22575,89,22574,0
22576,90,22575,0
22577,90,22575,0
22578,91,22574,0
22579,52,22578,0
22580,12,22579,0
22581,13,22580,0
22582,62,22579,0
22583,7,22582,0
22584,12,22583,0
22585,13,22584,0
22586,12,22583,0
22587,13,22586,0
22588,13,22583,0
22589,64,22582,0
22590,7,22589,0
22591,12,22590,0
22592,14,22591,0
22593,12,22590,0
22594,14,22593,0
22595,14,22590,0
22596,52,22589,0
22597,55,22596,0
22598,12,22597,0
22599,13,22598,0
22600,13,22597,0
22601,41,22589,0
22602,12,22601,0
22603,13,22602,0
22604,50,22601,0
22605,12,22601,0
22606,13,22605,0
22607,95,22474,0
22608,12,22607,0
22609,13,22608,0
22610,65,22607,0
22611,12,22610,0
22612,14,22611,0
22613,0,22610,0
22614,65,22607,0
22615,12,22614,0
22616,14,22615,0
22617,9,22614,0
22618,0,22617,0
22619,52,22617,0
22620,12,22619,0
22621,13,22620,0
22622,0,22619,0
22623,65,22607,0
22624,12,22623,0
22625,14,22624,0
22626,52,22623,0
22627,12,22626,0
22628,13,22627,0
22629,12,22626,0
22630,13,22629,0
22631,87,22607,0
22632,89,22631,0
22633,90,22632,0
22634,90,22632,0
22635,90,22632,0
22636,90,22632,0
22637,0,22632,0
22638,0,22632,0
22639,65,22631,0
22640,55,22639,0
22641,12,22640,0
22642,13,22641,0
22643,14,22640,0
22644,52,22639,0
22645,12,22644,0
22646,13,22645,0
22647,65,22631,0
22648,12,22647,0
22649,14,22648,0
22650,38,22647,0
22651,40,22650,0
22652,12,22650,0
22653,13,22652,0
22654,55,22650,0
