node_id,path,class_name,name,line_number,end_line_number,col_offset,end_col_offset,parent_id,Generator
0,setup.py,Module,None,None,None,None,None,-1,0
1,setup.py,Import,None,4,4,0,9,0,0
2,setup.py,alias,os,None,None,None,None,1,0
3,setup.py,Import,None,5,5,0,9,0,0
4,setup.py,alias,re,None,None,None,None,3,0
5,setup.py,ImportFrom,None,7,7,0,28,0,0
6,setup.py,alias,setup,None,None,None,None,5,0
7,setup.py,With,None,10,12,0,42,0,0
8,setup.py,withitem,None,None,None,None,None,7,0
9,setup.py,Call,open,10,10,5,76,8,0
10,setup.py,Name,open,10,10,5,9,9,0
11,setup.py,Load,None,None,None,None,None,10,0
12,setup.py,Call,join,10,10,10,75,9,0
13,setup.py,Attribute,None,10,10,10,22,12,0
14,setup.py,Attribute,os,10,10,10,17,13,0
15,setup.py,Name,os,10,10,10,12,14,0
16,setup.py,Load,None,None,None,None,None,15,0
17,setup.py,Load,None,None,None,None,None,14,0
18,setup.py,Load,None,None,None,None,None,13,0
19,setup.py,Call,dirname,10,10,23,48,12,0
20,setup.py,Attribute,None,10,10,23,38,19,0
21,setup.py,Attribute,os,10,10,23,30,20,0
22,setup.py,Name,os,10,10,23,25,21,0
23,setup.py,Load,None,None,None,None,None,22,0
24,setup.py,Load,None,None,None,None,None,21,0
25,setup.py,Load,None,None,None,None,None,20,0
26,setup.py,Name,__file__,10,10,39,47,19,0
27,setup.py,Load,None,None,None,None,None,26,0
28,setup.py,Constant,None,10,10,50,74,12,0
29,setup.py,Name,f,10,10,80,81,8,0
30,setup.py,Store,None,None,None,None,None,29,0
31,setup.py,Assign,version,11,12,4,42,7,0
32,setup.py,Name,version,11,11,4,11,31,0
33,setup.py,Store,None,None,None,None,None,32,0
34,setup.py,Call,group,11,12,14,42,31,0
35,setup.py,Attribute,None,11,12,14,39,34,0
36,setup.py,Call,search,11,12,14,33,35,0
37,setup.py,Attribute,re,11,11,14,23,36,0
38,setup.py,Name,re,11,11,14,16,37,0
39,setup.py,Load,None,None,None,None,None,38,0
40,setup.py,Load,None,None,None,None,None,37,0
41,setup.py,Constant,None,11,11,24,79,36,0
42,setup.py,Call,read,12,12,18,26,36,0
43,setup.py,Attribute,f,12,12,18,24,42,0
44,setup.py,Name,f,12,12,18,19,43,0
45,setup.py,Load,None,None,None,None,None,44,0
46,setup.py,Load,None,None,None,None,None,43,0
47,setup.py,Attribute,re,12,12,28,32,36,0
48,setup.py,Name,re,12,12,28,30,47,0
49,setup.py,Load,None,None,None,None,None,48,0
50,setup.py,Load,None,None,None,None,None,47,0
51,setup.py,Load,None,None,None,None,None,35,0
52,setup.py,Constant,None,12,12,40,41,34,0
53,setup.py,Expr,None,14,39,0,1,0,0
54,setup.py,Call,setup,14,39,0,1,53,0
55,setup.py,Name,setup,14,14,0,5,54,0
56,setup.py,Load,None,None,None,None,None,55,0
57,setup.py,keyword,None,None,None,None,None,54,0
58,setup.py,Constant,None,15,15,9,21,57,0
59,setup.py,keyword,None,None,None,None,None,54,0
60,setup.py,Constant,None,16,16,12,17,59,0
61,setup.py,keyword,version,None,None,None,None,54,0
62,setup.py,Name,version,17,17,12,19,61,0
63,setup.py,Load,None,None,None,None,None,62,0
64,setup.py,keyword,None,None,None,None,None,54,0
65,setup.py,Constant,None,18,18,16,51,64,0
66,setup.py,keyword,None,None,None,None,None,54,0
67,setup.py,Constant,None,19,19,11,116,66,0
68,setup.py,keyword,None,None,None,None,None,54,0
69,setup.py,Constant,None,20,20,17,134,68,0
70,setup.py,keyword,None,None,None,None,None,54,0
71,setup.py,Constant,None,21,21,8,50,70,0
72,setup.py,keyword,None,None,None,None,None,54,0
73,setup.py,BinOp,None,22,22,17,88,72,0
74,setup.py,Constant,None,22,22,17,78,73,0
75,setup.py,Mod,None,None,None,None,None,73,0
76,setup.py,Name,version,22,22,81,88,73,0
77,setup.py,Load,None,None,None,None,None,76,0
78,setup.py,keyword,None,None,None,None,None,54,0
79,setup.py,List,None,23,23,13,69,78,0
80,setup.py,Constant,None,23,23,14,26,79,0
81,setup.py,Constant,None,23,23,28,46,79,0
82,setup.py,Constant,None,23,23,48,68,79,0
83,setup.py,Load,None,None,None,None,None,79,0
84,setup.py,keyword,None,None,None,None,None,54,0
85,setup.py,List,None,24,37,16,5,84,0
86,setup.py,Constant,None,25,25,8,41,85,0
87,setup.py,Constant,None,26,26,8,48,85,0
88,setup.py,Constant,None,27,27,8,40,85,0
89,setup.py,Constant,None,28,28,8,45,85,0
90,setup.py,Constant,None,29,29,8,47,85,0
91,setup.py,Constant,None,30,30,8,45,85,0
92,setup.py,Constant,None,31,31,8,47,85,0
93,setup.py,Constant,None,32,32,8,47,85,0
94,setup.py,Constant,None,33,33,8,47,85,0
95,setup.py,Constant,None,34,34,8,47,85,0
96,setup.py,Constant,None,35,35,8,47,85,0
97,setup.py,Constant,None,36,36,8,47,85,0
98,setup.py,Load,None,None,None,None,None,85,0
99,setup.py,keyword,None,None,None,None,None,54,0
100,setup.py,List,None,38,38,21,23,99,0
101,setup.py,Load,None,None,None,None,None,100,0
102,docs\conf.py,Module,None,None,None,None,None,-1,0
103,docs\conf.py,Import,None,14,14,0,10,102,0
104,docs\conf.py,alias,sys,None,None,None,None,103,0
105,docs\conf.py,Import,None,15,15,0,9,102,0
106,docs\conf.py,alias,os,None,None,None,None,105,0
107,docs\conf.py,ImportFrom,None,22,22,0,34,102,0
108,docs\conf.py,alias,__version__,None,None,None,None,107,0
109,docs\conf.py,Assign,on_rtd,25,25,0,44,102,0
110,docs\conf.py,Name,on_rtd,25,25,0,6,109,0
111,docs\conf.py,Store,None,None,None,None,None,110,0
112,docs\conf.py,Call,bool,25,25,9,44,109,0
113,docs\conf.py,Name,bool,25,25,9,13,112,0
114,docs\conf.py,Load,None,None,None,None,None,113,0
115,docs\conf.py,Call,get,25,25,14,43,112,0
116,docs\conf.py,Attribute,None,25,25,14,28,115,0
117,docs\conf.py,Attribute,os,25,25,14,24,116,0
118,docs\conf.py,Name,os,25,25,14,16,117,0
119,docs\conf.py,Load,None,None,None,None,None,118,0
120,docs\conf.py,Load,None,None,None,None,None,117,0
121,docs\conf.py,Load,None,None,None,None,None,116,0
122,docs\conf.py,Constant,None,25,25,29,42,115,0
123,docs\conf.py,Assign,extensions,35,35,0,57,102,0
124,docs\conf.py,Name,extensions,35,35,0,10,123,0
125,docs\conf.py,Store,None,None,None,None,None,124,0
126,docs\conf.py,List,None,35,35,13,57,123,0
127,docs\conf.py,Constant,None,35,35,14,34,126,0
128,docs\conf.py,Constant,None,35,35,36,56,126,0
129,docs\conf.py,Load,None,None,None,None,None,126,0
130,docs\conf.py,Assign,doctest_path,37,37,0,38,102,0
131,docs\conf.py,Name,doctest_path,37,37,0,12,130,0
132,docs\conf.py,Store,None,None,None,None,None,131,0
133,docs\conf.py,List,None,37,37,15,38,130,0
134,docs\conf.py,Call,abspath,37,37,16,37,133,0
135,docs\conf.py,Attribute,None,37,37,16,31,134,0
136,docs\conf.py,Attribute,os,37,37,16,23,135,0
137,docs\conf.py,Name,os,37,37,16,18,136,0
138,docs\conf.py,Load,None,None,None,None,None,137,0
139,docs\conf.py,Load,None,None,None,None,None,136,0
140,docs\conf.py,Load,None,None,None,None,None,135,0
141,docs\conf.py,Constant,None,37,37,32,36,134,0
142,docs\conf.py,Load,None,None,None,None,None,133,0
143,docs\conf.py,Assign,doctest_test_doctest_blocks,38,38,0,39,102,0
144,docs\conf.py,Name,doctest_test_doctest_blocks,38,38,0,27,143,0
145,docs\conf.py,Store,None,None,None,None,None,144,0
146,docs\conf.py,Constant,None,38,38,30,39,143,0
147,docs\conf.py,Assign,templates_path,41,41,0,31,102,0
148,docs\conf.py,Name,templates_path,41,41,0,14,147,0
149,docs\conf.py,Store,None,None,None,None,None,148,0
150,docs\conf.py,List,None,41,41,17,31,147,0
151,docs\conf.py,Constant,None,41,41,18,30,150,0
152,docs\conf.py,Load,None,None,None,None,None,150,0
153,docs\conf.py,Assign,source_suffix,44,44,0,22,102,0
154,docs\conf.py,Name,source_suffix,44,44,0,13,153,0
155,docs\conf.py,Store,None,None,None,None,None,154,0
156,docs\conf.py,Constant,None,44,44,16,22,153,0
157,docs\conf.py,Assign,master_doc,50,50,0,20,102,0
158,docs\conf.py,Name,master_doc,50,50,0,10,157,0
159,docs\conf.py,Store,None,None,None,None,None,158,0
160,docs\conf.py,Constant,None,50,50,13,20,157,0
161,docs\conf.py,Assign,project,53,53,0,23,102,0
162,docs\conf.py,Name,project,53,53,0,7,161,0
163,docs\conf.py,Store,None,None,None,None,None,162,0
164,docs\conf.py,Constant,None,53,53,10,23,161,0
165,docs\conf.py,Assign,copyright,54,54,0,65,102,0
166,docs\conf.py,Name,copyright,54,54,0,9,165,0
167,docs\conf.py,Store,None,None,None,None,None,166,0
168,docs\conf.py,Constant,None,54,54,12,65,165,0
169,docs\conf.py,Assign,__version__,61,61,0,21,102,0
170,docs\conf.py,Name,version,61,61,0,7,169,0
171,docs\conf.py,Store,None,None,None,None,None,170,0
172,docs\conf.py,Name,__version__,61,61,10,21,169,0
173,docs\conf.py,Load,None,None,None,None,None,172,0
174,docs\conf.py,Assign,__version__,63,63,0,21,102,0
175,docs\conf.py,Name,release,63,63,0,7,174,0
176,docs\conf.py,Store,None,None,None,None,None,175,0
177,docs\conf.py,Name,__version__,63,63,10,21,174,0
178,docs\conf.py,Load,None,None,None,None,None,177,0
179,docs\conf.py,Assign,exclude_patterns,77,77,0,29,102,0
180,docs\conf.py,Name,exclude_patterns,77,77,0,16,179,0
181,docs\conf.py,Store,None,None,None,None,None,180,0
182,docs\conf.py,List,None,77,77,19,29,179,0
183,docs\conf.py,Constant,None,77,77,20,28,182,0
184,docs\conf.py,Load,None,None,None,None,None,182,0
185,docs\conf.py,Assign,add_function_parentheses,83,83,0,31,102,0
186,docs\conf.py,Name,add_function_parentheses,83,83,0,24,185,0
187,docs\conf.py,Store,None,None,None,None,None,186,0
188,docs\conf.py,Constant,None,83,83,27,31,185,0
189,docs\conf.py,Assign,add_module_names,87,87,0,24,102,0
190,docs\conf.py,Name,add_module_names,87,87,0,16,189,0
191,docs\conf.py,Store,None,None,None,None,None,190,0
192,docs\conf.py,Constant,None,87,87,19,24,189,0
193,docs\conf.py,Assign,pygments_style,94,94,0,25,102,0
194,docs\conf.py,Name,pygments_style,94,94,0,14,193,0
195,docs\conf.py,Store,None,None,None,None,None,194,0
196,docs\conf.py,Constant,None,94,94,17,25,193,0
197,docs\conf.py,If,None,104,105,0,35,102,0
198,docs\conf.py,UnaryOp,None,104,104,3,13,197,0
199,docs\conf.py,Not,None,None,None,None,None,198,0
200,docs\conf.py,Name,on_rtd,104,104,7,13,198,0
201,docs\conf.py,Load,None,None,None,None,None,200,0
202,docs\conf.py,Assign,html_theme,105,105,4,35,197,0
203,docs\conf.py,Name,html_theme,105,105,4,14,202,0
204,docs\conf.py,Store,None,None,None,None,None,203,0
205,docs\conf.py,Constant,None,105,105,17,35,202,0
206,docs\conf.py,Assign,html_static_path,134,134,0,30,102,0
207,docs\conf.py,Name,html_static_path,134,134,0,16,206,0
208,docs\conf.py,Store,None,None,None,None,None,207,0
209,docs\conf.py,List,None,134,134,19,30,206,0
210,docs\conf.py,Constant,None,134,134,20,29,209,0
211,docs\conf.py,Load,None,None,None,None,None,209,0
212,docs\conf.py,Assign,htmlhelp_basename,178,178,0,35,102,0
213,docs\conf.py,Name,htmlhelp_basename,178,178,0,17,212,0
214,docs\conf.py,Store,None,None,None,None,None,213,0
215,docs\conf.py,Constant,None,178,178,20,35,212,0
216,docs\conf.py,Assign,latex_elements,183,192,0,1,102,0
217,docs\conf.py,Name,latex_elements,183,183,0,14,216,0
218,docs\conf.py,Store,None,None,None,None,None,217,0
219,docs\conf.py,Dict,None,183,192,17,1,216,0
220,docs\conf.py,Assign,latex_documents,196,199,0,1,102,0
221,docs\conf.py,Name,latex_documents,196,196,0,15,220,0
222,docs\conf.py,Store,None,None,None,None,None,221,0
223,docs\conf.py,List,None,196,199,18,1,220,0
224,docs\conf.py,Tuple,None,197,198,4,14,223,0
225,docs\conf.py,Constant,None,197,197,5,12,224,0
226,docs\conf.py,Constant,None,197,197,14,30,224,0
227,docs\conf.py,Constant,None,197,197,32,58,224,0
228,docs\conf.py,Constant,None,197,197,60,80,224,0
229,docs\conf.py,Constant,None,198,198,5,13,224,0
230,docs\conf.py,Load,None,None,None,None,None,224,0
231,docs\conf.py,Load,None,None,None,None,None,223,0
232,docs\conf.py,Assign,man_pages,226,228,0,1,102,0
233,docs\conf.py,Name,man_pages,226,226,0,9,232,0
234,docs\conf.py,Store,None,None,None,None,None,233,0
235,docs\conf.py,List,None,226,228,12,1,232,0
236,docs\conf.py,Tuple,None,227,227,4,80,235,0
237,docs\conf.py,Constant,None,227,227,5,12,236,0
238,docs\conf.py,Constant,None,227,227,14,26,236,0
239,docs\conf.py,Constant,None,227,227,28,54,236,0
240,docs\conf.py,Constant,None,227,227,56,76,236,0
241,docs\conf.py,Constant,None,227,227,78,79,236,0
242,docs\conf.py,Load,None,None,None,None,None,236,0
243,docs\conf.py,Load,None,None,None,None,None,235,0
244,docs\conf.py,Assign,texinfo_documents,239,242,0,1,102,0
245,docs\conf.py,Name,texinfo_documents,239,239,0,17,244,0
246,docs\conf.py,Store,None,None,None,None,None,245,0
247,docs\conf.py,List,None,239,242,20,1,244,0
248,docs\conf.py,Tuple,None,240,241,4,72,247,0
249,docs\conf.py,Constant,None,240,240,5,12,248,0
250,docs\conf.py,Constant,None,240,240,14,26,248,0
251,docs\conf.py,Constant,None,240,240,28,54,248,0
252,docs\conf.py,Constant,None,240,240,56,76,248,0
253,docs\conf.py,Constant,None,241,241,5,17,248,0
254,docs\conf.py,Constant,None,241,241,19,54,248,0
255,docs\conf.py,Constant,None,241,241,56,71,248,0
256,docs\conf.py,Load,None,None,None,None,None,248,0
257,docs\conf.py,Load,None,None,None,None,None,247,0
258,examples\django\linkify\manage.py,Module,None,None,None,None,None,-1,0
259,examples\django\linkify\manage.py,Import,None,2,2,0,9,258,0
260,examples\django\linkify\manage.py,alias,os,None,None,None,None,259,0
261,examples\django\linkify\manage.py,Import,None,3,3,0,10,258,0
262,examples\django\linkify\manage.py,alias,sys,None,None,None,None,261,0
263,examples\django\linkify\manage.py,If,None,5,10,0,39,258,0
264,examples\django\linkify\manage.py,Compare,None,5,5,3,25,263,0
265,examples\django\linkify\manage.py,Name,__name__,5,5,3,11,264,0
266,examples\django\linkify\manage.py,Load,None,None,None,None,None,265,0
267,examples\django\linkify\manage.py,Eq,None,None,None,None,None,264,0
268,examples\django\linkify\manage.py,Constant,None,5,5,15,25,264,0
269,examples\django\linkify\manage.py,Expr,None,6,6,4,71,263,0
270,examples\django\linkify\manage.py,Call,setdefault,6,6,4,71,269,0
271,examples\django\linkify\manage.py,Attribute,None,6,6,4,25,270,0
272,examples\django\linkify\manage.py,Attribute,os,6,6,4,14,271,0
273,examples\django\linkify\manage.py,Name,os,6,6,4,6,272,0
274,examples\django\linkify\manage.py,Load,None,None,None,None,None,273,0
275,examples\django\linkify\manage.py,Load,None,None,None,None,None,272,0
276,examples\django\linkify\manage.py,Load,None,None,None,None,None,271,0
277,examples\django\linkify\manage.py,Constant,None,6,6,26,50,270,0
278,examples\django\linkify\manage.py,Constant,None,6,6,52,70,270,0
279,examples\django\linkify\manage.py,ImportFrom,None,8,8,4,64,263,0
280,examples\django\linkify\manage.py,alias,execute_from_command_line,None,None,None,None,279,0
281,examples\django\linkify\manage.py,Expr,None,10,10,4,39,263,0
282,examples\django\linkify\manage.py,Call,execute_from_command_line,10,10,4,39,281,0
283,examples\django\linkify\manage.py,Name,execute_from_command_line,10,10,4,29,282,0
284,examples\django\linkify\manage.py,Load,None,None,None,None,None,283,0
285,examples\django\linkify\manage.py,Attribute,sys,10,10,30,38,282,0
286,examples\django\linkify\manage.py,Name,sys,10,10,30,33,285,0
287,examples\django\linkify\manage.py,Load,None,None,None,None,None,286,0
288,examples\django\linkify\manage.py,Load,None,None,None,None,None,285,0
289,examples\django\linkify\linkify\settings.py,Module,None,None,None,None,None,-1,0
290,examples\django\linkify\linkify\settings.py,Expr,None,1,9,0,3,289,0
291,examples\django\linkify\linkify\settings.py,Constant,None,1,9,0,3,290,0
292,examples\django\linkify\linkify\settings.py,Import,None,12,12,0,9,289,0
293,examples\django\linkify\linkify\settings.py,alias,os,None,None,None,None,292,0
294,examples\django\linkify\linkify\settings.py,Assign,BASE_DIR,13,13,0,53,289,0
295,examples\django\linkify\linkify\settings.py,Name,BASE_DIR,13,13,0,8,294,0
296,examples\django\linkify\linkify\settings.py,Store,None,None,None,None,None,295,0
297,examples\django\linkify\linkify\settings.py,Call,dirname,13,13,11,53,294,0
298,examples\django\linkify\linkify\settings.py,Attribute,None,13,13,11,26,297,0
299,examples\django\linkify\linkify\settings.py,Attribute,os,13,13,11,18,298,0
300,examples\django\linkify\linkify\settings.py,Name,os,13,13,11,13,299,0
301,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,300,0
302,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,299,0
303,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,298,0
304,examples\django\linkify\linkify\settings.py,Call,dirname,13,13,27,52,297,0
305,examples\django\linkify\linkify\settings.py,Attribute,None,13,13,27,42,304,0
306,examples\django\linkify\linkify\settings.py,Attribute,os,13,13,27,34,305,0
307,examples\django\linkify\linkify\settings.py,Name,os,13,13,27,29,306,0
308,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,307,0
309,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,306,0
310,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,305,0
311,examples\django\linkify\linkify\settings.py,Name,__file__,13,13,43,51,304,0
312,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,311,0
313,examples\django\linkify\linkify\settings.py,Assign,SECRET_KEY,20,20,0,65,289,0
314,examples\django\linkify\linkify\settings.py,Name,SECRET_KEY,20,20,0,10,313,0
315,examples\django\linkify\linkify\settings.py,Store,None,None,None,None,None,314,0
316,examples\django\linkify\linkify\settings.py,Constant,None,20,20,13,65,313,0
317,examples\django\linkify\linkify\settings.py,Assign,DEBUG,23,23,0,12,289,0
318,examples\django\linkify\linkify\settings.py,Name,DEBUG,23,23,0,5,317,0
319,examples\django\linkify\linkify\settings.py,Store,None,None,None,None,None,318,0
320,examples\django\linkify\linkify\settings.py,Constant,None,23,23,8,12,317,0
321,examples\django\linkify\linkify\settings.py,Assign,TEMPLATE_DEBUG,25,25,0,21,289,0
322,examples\django\linkify\linkify\settings.py,Name,TEMPLATE_DEBUG,25,25,0,14,321,0
323,examples\django\linkify\linkify\settings.py,Store,None,None,None,None,None,322,0
324,examples\django\linkify\linkify\settings.py,Constant,None,25,25,17,21,321,0
325,examples\django\linkify\linkify\settings.py,Assign,ALLOWED_HOSTS,27,27,0,18,289,0
326,examples\django\linkify\linkify\settings.py,Name,ALLOWED_HOSTS,27,27,0,13,325,0
327,examples\django\linkify\linkify\settings.py,Store,None,None,None,None,None,326,0
328,examples\django\linkify\linkify\settings.py,List,None,27,27,16,18,325,0
329,examples\django\linkify\linkify\settings.py,Load,None,None,None,None,None,328,0
330,examples\django\linkify\linkify\settings.py,Assign,INSTALLED_APPS,32,41,0,1,289,0
331,examples\django\linkify\linkify\settings.py,Name,INSTALLED_APPS,32,32,0,14,330,0
332,examples\django\linkify\linkify\settings.py,Store,None,None,None,None,None,331,0
333,examples\django\linkify\linkify\settings.py,Tuple,None,32,41,17,1,330,0
334,examples\django\linkify\linkify\settings.py,Constant,None,33,33,4,26,333,0
335,examples\django\linkify\linkify\settings.py,Constant,None,34,34,4,25,333,0
336,examples\django\linkify\linkify\settings.py,Constant,None,35,35,4,33,333,0
337,examples\django\linkify\linkify\settings.py,Constant,None,36,36,4,29,333,0
338,examples\django\linkify\linkify\settings.py,Constant,None,37,37,4,29,333,0
339,examples\django\linkify\linkify\settings.py,Constant,None,38,38,4,32,333,0
